Time,solitaire
2023-04-10,87.94113712374582
2023-04-11,94.29832775919733
2023-04-12,91.11973244147157
2023-04-13,93.23879598662208
2023-04-14,92.17926421404682
2023-04-15,70.98862876254181
2023-04-16,72.04816053511706
2023-04-17,92.17926421404682
2023-04-18,95.35785953177258
2023-04-19,95.35785953177258
2023-04-20,96.41739130434783
2023-04-21,92.17926421404682
2023-04-22,73.10769230769232
2023-04-23,75.22675585284281
2023-04-24,94.29832775919733
2023-04-25,100.65551839464884
2023-04-26,92.64942120308294
2023-04-27,91.13944923056246
2023-04-28,89.09971137175438
2023-04-29,70.78173348565285
2023-04-30,73.84134027386497
2023-05-01,95.70902799129505
2023-05-02,94.1990560187746
2023-05-03,91.13944923056246
2023-05-04,91.62955227367888
2023-05-05,93.17918708937056
2023-05-06,68.74199562684477
2023-05-07,68.74199562684477
2023-05-08,95.70902799129505
2023-05-09,95.21892494817862
2023-05-10,91.13944923056246
2023-05-11,92.15931815996652
2023-05-12,93.66929013248696
2023-05-13,70.78173348565285
2023-05-14,69.76186455624881
2023-05-15,93.17918708937056
2023-05-16,92.64942120308294
2023-05-17,89.09971137175438
2023-05-18,89.09971137175438
2023-05-19,93.17918708937056
2023-05-20,71.80160241505689
2023-05-21,73.31157438757735
2023-05-22,92.15931815996652
2023-05-23,91.62955227367888
2023-05-24,91.13944923056246
2023-05-25,88.07984244235035
2023-05-26,84.29772341602354
2023-05-27,70.5748382087639
2023-05-28,71.55504429499673
2023-05-29,71.55504429499673
2023-05-30,85.27792950225637
2023-05-31,83.31751732979072
2023-06-01,79.39669298485938
2023-06-02,81.35710515732505
2023-06-03,70.5748382087639
2023-06-04,72.53525038122956
2023-06-05,80.37689907109221
2023-06-06,82.33731124355788
2023-06-07,81.35710515732505
2023-06-08,83.31751732979072
2023-06-09,82.33731124355788
2023-06-10,72.53525038122956
2023-06-11,64.69360169136691
2023-06-12,89.1987538471877
2023-06-13,79.39669298485938
2023-06-14,80.37689907109221
2023-06-15,78.41648689862654
2023-06-16,76.45607472616089
2023-06-17,70.5748382087639
2023-06-18,69.59463212253107
2023-06-19,79.39669298485938
2023-06-20,74.49566255369523
2023-06-21,78.41648689862654
2023-06-22,76.45607472616089
2023-06-23,78.41648689862654
2023-06-24,72.53525038122956
2023-06-25,73.51545646746239
2023-06-26,77.43628081239372
2023-06-27,77.43628081239372
2023-06-28,78.41648689862654
2023-06-29,79.39669298485938
2023-06-30,70.5748382087639
2023-07-01,70.5748382087639
2023-07-02,74.49566255369523
2023-07-03,75.47586863992805
2023-07-04,73.51545646746239
2023-07-05,76.45607472616089
2023-07-06,79.39669298485938
2023-07-07,78.41648689862654
2023-07-08,72.53525038122956
2023-07-09,72.53525038122956
2023-07-10,76.45607472616089
2023-07-11,76.45607472616089
2023-07-12,77.43628081239372
2023-07-13,78.41648689862654
2023-07-14,80.37689907109221
2023-07-15,69.59463212253107
2023-07-16,69.59463212253107
2023-07-17,76.45607472616089
2023-07-18,79.39669298485938
2023-07-19,82.33731124355788
2023-07-20,78.41648689862654
2023-07-21,75.47586863992805
2023-07-22,72.53525038122956
2023-07-23,71.55504429499673
2023-07-24,77.43628081239372
2023-07-25,90.17895993342053
2023-07-26,74.49566255369523
2023-07-27,79.39669298485938
2023-07-28,78.41648689862654
2023-07-29,71.55504429499673
2023-07-30,70.5748382087639
2023-07-31,75.47586863992805
2023-08-01,80.37689907109221
2023-08-02,76.45607472616089
2023-08-03,78.41648689862654
2023-08-04,75.47586863992805
2023-08-05,71.55504429499673
2023-08-06,73.51545646746239
2023-08-07,82.33731124355788
2023-08-08,80.37689907109221
2023-08-09,82.33731124355788
2023-08-10,78.41648689862654
2023-08-11,83.31751732979072
2023-08-12,69.59463212253107
2023-08-13,72.53525038122956
2023-08-14,81.35710515732505
2023-08-15,84.29772341602354
2023-08-16,86.25813558848921
2023-08-17,87.23834167472204
2023-08-18,82.33731124355788
2023-08-19,75.47586863992805
2023-08-20,70.5748382087639
2023-08-21,87.23834167472204
2023-08-22,86.25813558848921
2023-08-23,90.17895993342053
2023-08-24,90.17895993342053
2023-08-25,87.23834167472204
2023-08-26,70.5748382087639
2023-08-27,70.5748382087639
2023-08-28,96.06019645081753
2023-08-29,90.17895993342053
2023-08-30,87.23834167472204
2023-08-31,87.23834167472204
2023-09-01,85.27792950225637
2023-09-02,61.75298343266841
2023-09-03,69.59463212253107
2023-09-04,72.53525038122956
2023-09-05,91.15916601965337
2023-09-06,89.1987538471877
2023-09-07,96.06019645081753
2023-09-08,90.17895993342053
2023-09-09,66.65401386383257
2023-09-10,64.69360169136691
2023-09-11,91.15916601965337
2023-09-12,95.07999036458469
2023-09-13,92.1393721058862
2023-09-14,97.04040253705035
2023-09-15,89.1987538471877
2023-09-16,73.51545646746239
2023-09-17,67.6342199500654
2023-09-18,89.1987538471877
2023-09-19,96.06019645081753
2023-09-20,90.17895993342053
2023-09-21,98.0206086232832
2023-09-22,96.06019645081753
2023-09-23,69.59463212253107
2023-09-24,70.5748382087639
2023-09-25,96.06019645081753
2023-09-26,96.06019645081753
2023-09-27,94.09978427835186
2023-09-28,96.06019645081753
2023-09-29,90.17895993342053
2023-09-30,68.61442603629823
2023-10-01,69.59463212253107
2023-10-02,91.15916601965337
2023-10-03,93.11957819211904
2023-10-04,94.09978427835186
2023-10-05,92.1393721058862
2023-10-06,90.17895993342053
2023-10-07,69.59463212253107
2023-10-08,66.65401386383257
2023-10-09,85.27792950225637
2023-10-10,92.1393721058862
2023-10-11,93.11957819211904
2023-10-12,89.1987538471877
2023-10-13,93.11957819211904
2023-10-14,68.61442603629823
2023-10-15,73.51545646746239
2023-10-16,89.1987538471877
2023-10-17,93.11957819211904
2023-10-18,93.11957819211904
2023-10-19,91.15916601965337
2023-10-20,90.17895993342053
2023-10-21,67.6342199500654
2023-10-22,71.55504429499673
2023-10-23,92.1393721058862
2023-10-24,95.07999036458469
2023-10-25,97.04040253705035
2023-10-26,93.11957819211904
2023-10-27,96.06019645081753
2023-10-28,66.65401386383257
2023-10-29,70.5748382087639
2023-10-30,93.11957819211904
2023-10-31,90.17895993342053
2023-11-01,91.15916601965337
2023-11-02,92.1393721058862
2023-11-03,89.1987538471877
2023-11-04,69.59463212253107
2023-11-05,68.61442603629823
2023-11-06,92.1393721058862
2023-11-07,98.0206086232832
2023-11-08,95.07999036458469
2023-11-09,94.09978427835186
2023-11-10,85.27792950225637
2023-11-11,69.59463212253107
2023-11-12,68.61442603629823
2023-11-13,91.15916601965337
2023-11-14,96.06019645081753
2023-11-15,96.06019645081753
2023-11-16,97.04040253705035
2023-11-17,94.09978427835186
2023-11-18,69.59463212253107
2023-11-19,69.59463212253107
2023-11-20,86.25813558848921
2023-11-21,91.15916601965337
2023-11-22,77.43628081239372
2023-11-23,64.69360169136691
2023-11-24,67.6342199500654
2023-11-25,64.69360169136691
2023-11-26,70.5748382087639
2023-11-27,88.21854776095488
2023-11-28,92.1393721058862
2023-11-29,90.17895993342053
2023-11-30,91.15916601965337
2023-12-01,88.21854776095488
2023-12-02,69.59463212253107
2023-12-03,66.65401386383257
2023-12-04,88.21854776095488
2023-12-05,93.11957819211904
2023-12-06,92.1393721058862
2023-12-07,91.15916601965337
2023-12-08,94.09978427835186
2023-12-09,71.55504429499673
