Time,chase
2023-12-22,78
2023-12-23,76
2023-12-24,53
2023-12-25,46
2023-12-26,76
2023-12-27,81
2023-12-28,80
2023-12-29,84
2023-12-30,72
2023-12-31,61
2024-01-01,58
2024-01-02,82
2024-01-03,83
2024-01-04,80
2024-01-05,85
2024-01-06,74
2024-01-07,58
2024-01-08,73
2024-01-09,68
2024-01-10,72
2024-01-11,68
2024-01-12,75
2024-01-13,70
2024-01-14,51
2024-01-15,63
2024-01-16,70
2024-01-17,70
2024-01-18,72
2024-01-19,71
2024-01-20,68
2024-01-21,55
2024-01-22,67
2024-01-23,71
2024-01-24,73
2024-01-25,69
2024-01-26,67
2024-01-27,67
2024-01-28,52
2024-01-29,69
2024-01-30,76
2024-01-31,77
2024-02-01,78
2024-02-02,84
2024-02-03,74
2024-02-04,58
2024-02-05,72
2024-02-06,72
2024-02-07,69
2024-02-08,72
2024-02-09,72
2024-02-10,67
2024-02-11,54
2024-02-12,61
2024-02-13,69
2024-02-14,67
2024-02-15,75
2024-02-16,77
2024-02-17,72
2024-02-18,56
2024-02-19,67
2024-02-20,72
2024-02-21,76
2024-02-22,70
2024-02-23,74
2024-02-24,71
2024-02-25,58
2024-02-26,69
2024-02-27,71
2024-02-28,72
2024-02-29,74
2024-03-01,84
2024-03-02,81
2024-03-03,62
2024-03-04,77
2024-03-05,75
2024-03-06,74
2024-03-07,70
2024-03-08,75
2024-03-09,70
2024-03-10,53
2024-03-11,73
2024-03-12,75
2024-03-13,72
2024-03-14,71
2024-03-15,73
2024-03-16,70
2024-03-17,57
2024-03-18,76
2024-03-19,74
2024-03-20,73
2024-03-21,67
2024-03-22,68
2024-03-23,69
2024-03-24,57
2024-03-25,74
2024-03-26,69
2024-03-27,72
2024-03-28,72
2024-03-29,76
2024-03-30,72
2024-03-31,51
2024-04-01,82
2024-04-02,78
2024-04-03,75
2024-04-04,71
2024-04-05,75
2024-04-06,71
2024-04-07,53
2024-04-08,65
2024-04-09,74
2024-04-10,72
2024-04-11,77
2024-04-12,83
2024-04-13,72
2024-04-14,57
2024-04-15,76
2024-04-16,75
2024-04-17,69
2024-04-18,67
2024-04-19,70
2024-04-20,62
2024-04-21,51
2024-04-22,66
2024-04-23,68
2024-04-24,100
2024-04-25,75
2024-04-26,72
2024-04-27,66
2024-04-28,51
2024-04-29,71
2024-04-30,72
2024-05-01,73
2024-05-02,71
2024-05-03,78
2024-05-04,70
2024-05-05,52
2024-05-06,68
2024-05-07,68
2024-05-08,66
2024-05-09,69
2024-05-10,69
2024-05-11,66
2024-05-12,48
2024-05-13,69
2024-05-14,70
2024-05-15,71
2024-05-16,69
2024-05-17,71
2024-05-18,67
2024-05-19,51
2024-05-20,69
2024-05-21,64
2024-05-22,66
2024-05-23,69
2024-05-24,72
2024-05-25,67
2024-05-26,48
2024-05-27,57
2024-05-28,73
2024-05-29,79
2024-05-30,72
2024-05-31,81
2024-06-01,77
2024-06-02,58
2024-06-03,79
2024-06-04,79
2024-06-05,79
2024-06-06,74
2024-06-07,77
2024-06-08,68
2024-06-09,53
2024-06-10,79
2024-06-11,73
2024-06-12,74
2024-06-13,68
2024-06-14,81
2024-06-15,68
2024-06-16,52
2024-06-17,73
2024-06-18,71
2024-06-19,75
2024-06-20,71
2024-06-21,75
2024-06-22,66
2024-06-23,53
2024-06-24,71
2024-06-25,75
2024-06-26,73
2024-06-27,73
2024-06-28,75
2024-06-29,72
2024-06-30,56
2024-07-01,81
2024-07-02,81
2024-07-03,81
2024-07-04,58
2024-07-05,73
2024-07-06,73
2024-07-07,62
2024-07-08,78
2024-07-09,74
2024-07-10,75
2024-07-11,75
2024-07-12,76
2024-07-13,67
2024-07-14,50
2024-07-15,74
2024-07-16,72
2024-07-17,71
2024-07-18,74
2024-07-19,79
2024-07-20,70
2024-07-21,52
2024-07-22,72
2024-07-23,70
2024-07-24,69
2024-07-25,71
2024-07-26,74
2024-07-27,66
2024-07-28,54
2024-07-29,79
2024-07-30,77
2024-07-31,76
2024-08-01,81
2024-08-02,84
2024-08-03,76
2024-08-04,57
2024-08-05,78
2024-08-06,74
2024-08-07,78
2024-08-08,74
2024-08-09,78
2024-08-10,68
2024-08-11,55
2024-08-12,74
2024-08-13,76
2024-08-14,76
2024-08-15,78
2024-08-16,79
2024-08-17,72
2024-08-18,53
2024-08-19,73
2024-08-20,76
2024-08-21,73
2024-08-22,72
2024-08-23,76
2024-08-24,73
2024-08-25,61
2024-08-26,74
2024-08-27,75
2024-08-28,77
2024-08-29,73
2024-08-30,92
2024-08-31,89
2024-09-01,78
2024-09-02,79
2024-09-03,97
2024-09-04,94
2024-09-05,85
2024-09-06,84
2024-09-07,78
2024-09-08,87
2024-09-09,75
2024-09-10,72
2024-09-11,69
2024-09-12,73
2024-09-13,76
2024-09-14,71
2024-09-15,64
2024-09-16,71
