Time,chase
2025-12-11,55
2025-12-12,55
2025-12-13,51
2025-12-14,42
2025-12-15,53
2025-12-16,54
2025-12-17,53
2025-12-18,56
2025-12-19,58
2025-12-20,72
2025-12-21,81
2025-12-22,100
2025-12-23,97
2025-12-24,98
2025-12-25,65
2025-12-26,73
2025-12-27,65
2025-12-28,53
2025-12-29,65
2025-12-30,70
2025-12-31,67
2026-01-01,56
2026-01-02,74
2026-01-03,66
2026-01-04,55
2026-01-05,67
2026-01-06,61
2026-01-07,62
2026-01-08,56
2026-01-09,61
2026-01-10,56
2026-01-11,49
2026-01-12,62
2026-01-13,60
2026-01-14,54
2026-01-15,55
2026-01-16,58
2026-01-17,56
2026-01-18,44
2026-01-19,52
2026-01-20,54
2026-01-21,56
2026-01-22,58
2026-01-23,55
2026-01-24,45
2026-01-25,40
2026-01-26,52
2026-01-27,53
2026-01-28,52
2026-01-29,53
2026-01-30,58
2026-01-31,56
2026-02-01,49
2026-02-02,57
2026-02-03,55
2026-02-04,55
2026-02-05,53
2026-02-06,55
2026-02-07,53
2026-02-08,42
2026-02-09,47
2026-02-10,57
2026-02-11,50
2026-02-12,54
2026-02-13,59
2026-02-14,55
2026-02-15,49
2026-02-16,56
2026-02-17,56
2026-02-18,55
2026-02-19,54
2026-02-20,55
2026-02-21,56
2026-02-22,47
2026-02-23,59
2026-02-24,56
2026-02-25,60
2026-02-26,60
2026-02-27,61
2026-02-28,63
2026-03-01,56
2026-03-02,64
2026-03-03,65
2026-03-04,64
2026-03-05,59
2026-03-06,60
2026-03-07,56
2026-03-08,48
2026-03-09,59
2026-03-10,55
2026-03-11,57
2026-03-12,56
2026-03-13,59
2026-03-14,57
2026-03-15,52
2026-03-16,67
2026-03-17,57
2026-03-18,57
2026-03-19,57
2026-03-20,63
2026-03-21,58
2026-03-22,47
2026-03-23,57
2026-03-24,56
2026-03-25,58
2026-03-26,56
2026-03-27,64
2026-03-28,61
2026-03-29,53
2026-03-30,54
2026-03-31,59
2026-04-01,59
2026-04-02,58
2026-04-03,67
2026-04-04,53
2026-04-05,43
2026-04-06,62
2026-04-07,58
2026-04-08,61
2026-04-09,59
2026-04-10,58
2026-04-11,52
2026-04-12,50
2026-04-13,57
2026-04-14,59
2026-04-15,64
2026-04-16,56
2026-04-17,59
2026-04-18,53
2026-04-19,49
2026-04-20,58
2026-04-21,55
2026-04-22,56
2026-04-23,57
2026-04-24,53
2026-04-25,50
2026-04-26,47
2026-04-27,56
2026-04-28,56
2026-04-29,55
2026-04-30,61
2026-05-01,69
2026-05-02,60
2026-05-03,50
2026-05-04,60
2026-05-05,60
2026-05-06,61
2026-05-07,58
2026-05-08,57
2026-05-09,53
2026-05-10,40
2026-05-11,58
2026-05-12,58
2026-05-13,58
2026-05-14,60
2026-05-15,61
2026-05-16,57
2026-05-17,46
2026-05-18,57
2026-05-19,59
2026-05-20,58
2026-05-21,59
2026-05-22,57
2026-05-23,59
2026-05-24,45
2026-05-25,55
2026-05-26,61
2026-05-27,61
2026-05-28,63
2026-05-29,62
2026-05-30,57
2026-05-31,50
