Time,chase
2022-08-29,74
2022-08-30,71
2022-08-31,73
2022-09-01,80
2022-09-02,85
2022-09-03,74
2022-09-04,57
2022-09-05,61
2022-09-06,77
2022-09-07,78
2022-09-08,70
2022-09-09,71
2022-09-10,67
2022-09-11,60
2022-09-12,71
2022-09-13,72
2022-09-14,73
2022-09-15,74
2022-09-16,84
2022-09-17,69
2022-09-18,56
2022-09-19,69
2022-09-20,68
2022-09-21,71
2022-09-22,69
2022-09-23,73
2022-09-24,68
2022-09-25,59
2022-09-26,67
2022-09-27,67
2022-09-28,68
2022-09-29,68
2022-09-30,85
2022-10-01,81
2022-10-02,62
2022-10-03,78
2022-10-04,74
2022-10-05,70
2022-10-06,72
2022-10-07,77
2022-10-08,69
2022-10-09,55
2022-10-10,75
2022-10-11,70
2022-10-12,73
2022-10-13,72
2022-10-14,80
2022-10-15,69
2022-10-16,51
2022-10-17,72
2022-10-18,69
2022-10-19,73
2022-10-20,74
2022-10-21,78
2022-10-22,66
2022-10-23,57
2022-10-24,70
2022-10-25,67
2022-10-26,67
2022-10-27,76
2022-10-28,80
2022-10-29,66
2022-10-30,52
2022-10-31,72
2022-11-01,100
2022-11-02,83
2022-11-03,77
2022-11-04,76
2022-11-05,66
2022-11-06,55
2022-11-07,70
2022-11-08,66
2022-11-09,66
2022-11-10,78
2022-11-11,74
2022-11-12,71
2022-11-13,56
2022-11-14,77
2022-11-15,82
2022-11-16,75
2022-11-17,71
2022-11-18,74
2022-11-19,71
2022-11-20,55
2022-11-21,70
2022-11-22,72
2022-11-23,71
2022-11-24,50
2022-11-25,69
2022-11-26,62
2022-11-27,56
2022-11-28,68
2022-11-29,68
2022-11-30,67
2022-12-01,75
2022-12-02,80
2022-12-03,68
2022-12-04,63
2022-12-05,70
2022-12-06,71
2022-12-07,68
2022-12-08,68
2022-12-09,69
2022-12-10,66
2022-12-11,56
2022-12-12,68
2022-12-13,67
2022-12-14,67
2022-12-15,70
2022-12-16,75
2022-12-17,67
2022-12-18,52
2022-12-19,75
2022-12-20,72
2022-12-21,76
2022-12-22,73
2022-12-23,76
2022-12-24,66
2022-12-25,46
2022-12-26,70
2022-12-27,76
2022-12-28,78
2022-12-29,77
2022-12-30,81
2022-12-31,69
2023-01-01,52
2023-01-02,82
2023-01-03,79
2023-01-04,77
2023-01-05,73
2023-01-06,77
2023-01-07,72
2023-01-08,58
2023-01-09,71
2023-01-10,78
2023-01-11,69
2023-01-12,70
2023-01-13,83
2023-01-14,76
2023-01-15,56
2023-01-16,69
2023-01-17,76
2023-01-18,77
2023-01-19,71
2023-01-20,79
2023-01-21,73
2023-01-22,60
2023-01-23,72
2023-01-24,76
2023-01-25,72
2023-01-26,74
2023-01-27,77
2023-01-28,77
2023-01-29,56
2023-01-30,75
2023-01-31,78
2023-02-01,79
2023-02-02,76
2023-02-03,79
2023-02-04,76
2023-02-05,57
2023-02-06,75
2023-02-07,74
2023-02-08,70
2023-02-09,71
2023-02-10,73
2023-02-11,70
2023-02-12,54
2023-02-13,65
2023-02-14,69
2023-02-15,74
2023-02-16,71
2023-02-17,79
2023-02-18,72
2023-02-19,58
2023-02-20,70
2023-02-21,75
2023-02-22,78
2023-02-23,77
2023-02-24,83
2023-02-25,77
2023-02-26,67
2023-02-27,79
2023-02-28,81
2023-03-01,85
2023-03-02,79
2023-03-03,83
2023-03-04,90
2023-03-05,73
2023-03-06,86
2023-03-07,80
2023-03-08,77
2023-03-09,73
2023-03-10,85
2023-03-11,84
2023-03-12,67
2023-03-13,84
2023-03-14,81
2023-03-15,82
2023-03-16,81
2023-03-17,76
2023-03-18,67
2023-03-19,62
2023-03-20,76
2023-03-21,75
2023-03-22,72
2023-03-23,69
2023-03-24,75
2023-03-25,69
2023-03-26,58
2023-03-27,72
2023-03-28,72
2023-03-29,72
2023-03-30,65
2023-03-31,76
2023-04-01,75
2023-04-02,63
2023-04-03,81
2023-04-04,80
2023-04-05,77
2023-04-06,74
2023-04-07,82
2023-04-08,70
2023-04-09,51
2023-04-10,79
2023-04-11,72
2023-04-12,73
2023-04-13,73
2023-04-14,79
2023-04-15,71
2023-04-16,57
2023-04-17,76
2023-04-18,77
2023-04-19,68
2023-04-20,69
2023-04-21,74
2023-04-22,72
2023-04-23,61
2023-04-24,75
2023-04-25,69
2023-04-26,73
2023-04-27,69
2023-04-28,79
2023-04-29,77
2023-04-30,58
2023-05-01,84
2023-05-02,86
2023-05-03,77
2023-05-04,74
2023-05-05,75
2023-05-06,65
2023-05-07,55
2023-05-08,74
2023-05-09,74
2023-05-10,69
2023-05-11,71
2023-05-12,77
2023-05-13,68
2023-05-14,52
2023-05-15,77
2023-05-16,77
2023-05-17,77
2023-05-18,76
2023-05-19,80
2023-05-20,70
2023-05-21,57
2023-05-22,73
2023-05-23,71
2023-05-24,73
2023-05-25,74
