Time,house of representatives
2022-01-01,15
2022-01-02,18
2022-01-03,31
2022-01-04,44
2022-01-05,49
2022-01-06,43
2022-01-07,42
2022-01-08,23
2022-01-09,20
2022-01-10,54
2022-01-11,53
2022-01-12,49
2022-01-13,61
2022-01-14,44
2022-01-15,26
2022-01-16,18
2022-01-17,26
2022-01-18,43
2022-01-19,48
2022-01-20,48
2022-01-21,50
2022-01-22,25
2022-01-23,29
2022-01-24,71
2022-01-25,56
2022-01-26,59
2022-01-27,49
2022-01-28,48
2022-01-29,27
2022-01-30,20
2022-01-31,44
2022-02-01,54
2022-02-02,48
2022-02-03,46
2022-02-04,41
2022-02-05,22
2022-02-06,23
2022-02-07,55
2022-02-08,67
2022-02-09,57
2022-02-10,43
2022-02-11,49
2022-02-12,25
2022-02-13,22
2022-02-14,48
2022-02-15,54
2022-02-16,54
2022-02-17,56
2022-02-18,50
2022-02-19,25
2022-02-20,26
2022-02-21,35
2022-02-22,55
2022-02-23,50
2022-02-24,53
2022-02-25,52
2022-02-26,30
2022-02-27,27
2022-02-28,59
2022-03-01,61
2022-03-02,100
2022-03-03,66
2022-03-04,53
2022-03-05,30
2022-03-06,29
2022-03-07,53
2022-03-08,58
2022-03-09,59
2022-03-10,60
2022-03-11,52
2022-03-12,28
2022-03-13,30
2022-03-14,53
2022-03-15,52
2022-03-16,57
2022-03-17,51
2022-03-18,48
2022-03-19,30
2022-03-20,26
2022-03-21,50
2022-03-22,58
2022-03-23,55
2022-03-24,54
2022-03-25,70
2022-03-26,29
2022-03-27,33
2022-03-28,74
2022-03-29,80
2022-03-30,55
2022-03-31,75
2022-04-01,91
2022-04-02,47
2022-04-03,33
2022-04-04,82
2022-04-05,77
2022-04-06,74
2022-04-07,79
2022-04-08,65
2022-04-09,29
2022-04-10,27
2022-04-11,55
2022-04-12,55
2022-04-13,56
2022-04-14,58
2022-04-15,42
2022-04-16,25
2022-04-17,24
2022-04-18,57
2022-04-19,66
2022-04-20,70
2022-04-21,73
2022-04-22,60
2022-04-23,31
2022-04-24,32
2022-04-25,62
2022-04-26,74
2022-04-27,74
2022-04-28,79
2022-04-29,64
2022-04-30,30
2022-05-01,35
2022-05-02,67
2022-05-03,82
2022-05-04,78
2022-05-05,64
2022-05-06,54
2022-05-07,33
2022-05-08,25
2022-05-09,68
2022-05-10,69
2022-05-11,89
2022-05-12,70
2022-05-13,58
2022-05-14,31
2022-05-15,24
2022-05-16,55
2022-05-17,79
2022-05-18,72
2022-05-19,65
2022-05-20,50
2022-05-21,27
2022-05-22,25
2022-05-23,44
2022-05-24,54
2022-05-25,68
2022-05-26,52
2022-05-27,34
2022-05-28,21
2022-05-29,23
2022-05-30,23
2022-05-31,36
2022-06-01,37
2022-06-02,37
2022-06-03,36
2022-06-04,19
2022-06-05,18
2022-06-06,38
2022-06-07,42
2022-06-08,56
2022-06-09,62
2022-06-10,43
2022-06-11,25
2022-06-12,26
2022-06-13,43
2022-06-14,38
2022-06-15,50
2022-06-16,40
2022-06-17,29
2022-06-18,23
2022-06-19,22
2022-06-20,28
2022-06-21,39
2022-06-22,36
2022-06-23,38
2022-06-24,51
2022-06-25,45
2022-06-26,34
2022-06-27,42
2022-06-28,42
2022-06-29,43
2022-06-30,36
2022-07-01,29
2022-07-02,25
2022-07-03,26
2022-07-04,26
2022-07-05,32
2022-07-06,29
2022-07-07,31
2022-07-08,28
2022-07-09,24
2022-07-10,27
2022-07-11,31
2022-07-12,29
2022-07-13,30
2022-07-14,31
2022-07-15,33
2022-07-16,26
2022-07-17,25
2022-07-18,29
2022-07-19,37
2022-07-20,56
2022-07-21,55
2022-07-22,42
2022-07-23,29
2022-07-24,26
2022-07-25,28
2022-07-26,34
2022-07-27,31
2022-07-28,38
2022-07-29,40
2022-07-30,38
2022-07-31,27
2022-08-01,32
2022-08-02,44
2022-08-03,49
2022-08-04,35
2022-08-05,29
2022-08-06,20
2022-08-07,34
2022-08-08,41
2022-08-09,38
2022-08-10,38
2022-08-11,39
2022-08-12,54
2022-08-13,27
2022-08-14,23
2022-08-15,35
2022-08-16,40
2022-08-17,47
2022-08-18,39
2022-08-19,36
2022-08-20,27
2022-08-21,25
2022-08-22,33
2022-08-23,45
2022-08-24,54
2022-08-25,46
2022-08-26,44
2022-08-27,19
2022-08-28,26
2022-08-29,47
2022-08-30,46
2022-08-31,49
2022-09-01,67
2022-09-02,45
2022-09-03,22
2022-09-04,21
2022-09-05,27
2022-09-06,50
2022-09-07,58
2022-09-08,54
2022-09-09,55
2022-09-10,20
2022-09-11,25
2022-09-12,63
2022-09-13,64
2022-09-14,71
2022-09-15,66
2022-09-16,70
2022-09-17,25
2022-09-18,29
2022-09-19,72
2022-09-20,77
2022-09-21,85
2022-09-22,75
2022-09-23,69
2022-09-24,24
2022-09-25,32
2022-09-26,68
2022-09-27,81
