Time,house of representatives
2023-12-22,11
2023-12-23,7
2023-12-24,5
2023-12-25,5
2023-12-26,6
2023-12-27,7
2023-12-28,8
2023-12-29,9
2023-12-30,6
2023-12-31,7
2024-01-01,7
2024-01-02,16
2024-01-03,23
2024-01-04,21
2024-01-05,24
2024-01-06,9
2024-01-07,10
2024-01-08,26
2024-01-09,29
2024-01-10,33
2024-01-11,34
2024-01-12,27
2024-01-13,11
2024-01-14,9
2024-01-15,13
2024-01-16,26
2024-01-17,34
2024-01-18,35
2024-01-19,28
2024-01-20,11
2024-01-21,11
2024-01-22,31
2024-01-23,32
2024-01-24,34
2024-01-25,32
2024-01-26,31
2024-01-27,11
2024-01-28,13
2024-01-29,36
2024-01-30,41
2024-01-31,39
2024-02-01,40
2024-02-02,33
2024-02-03,13
2024-02-04,16
2024-02-05,42
2024-02-06,41
2024-02-07,48
2024-02-08,38
2024-02-09,34
2024-02-10,16
2024-02-11,15
2024-02-12,30
2024-02-13,46
2024-02-14,100
2024-02-15,50
2024-02-16,31
2024-02-17,17
2024-02-18,15
2024-02-19,22
2024-02-20,36
2024-02-21,38
2024-02-22,37
2024-02-23,33
2024-02-24,15
2024-02-25,14
2024-02-26,39
2024-02-27,38
2024-02-28,40
2024-02-29,39
2024-03-01,34
2024-03-02,16
2024-03-03,16
2024-03-04,42
2024-03-05,48
2024-03-06,50
2024-03-07,43
2024-03-08,71
2024-03-09,23
2024-03-10,15
2024-03-11,33
2024-03-12,45
2024-03-13,61
2024-03-14,49
2024-03-15,34
2024-03-16,16
2024-03-17,13
2024-03-18,32
2024-03-19,35
2024-03-20,36
2024-03-21,33
2024-03-22,38
2024-03-23,19
2024-03-24,16
2024-03-25,29
2024-03-26,31
2024-03-27,33
2024-03-28,31
2024-03-29,16
2024-03-30,10
2024-03-31,10
2024-04-01,22
2024-04-02,26
2024-04-03,26
2024-04-04,27
2024-04-05,23
2024-04-06,9
2024-04-07,12
2024-04-08,24
2024-04-09,28
2024-04-10,28
2024-04-11,33
2024-04-12,30
2024-04-13,11
2024-04-14,12
2024-04-15,30
2024-04-16,32
2024-04-17,35
2024-04-18,35
2024-04-19,34
2024-04-20,33
2024-04-21,29
2024-04-22,37
2024-04-23,34
2024-04-24,31
2024-04-25,32
2024-04-26,25
2024-04-27,12
2024-04-28,13
2024-04-29,29
2024-04-30,29
2024-05-01,31
2024-05-02,36
2024-05-03,32
2024-05-04,17
2024-05-05,20
2024-05-06,31
2024-05-07,31
2024-05-08,31
2024-05-09,30
2024-05-10,26
2024-05-11,10
2024-05-12,8
2024-05-13,27
2024-05-14,27
2024-05-15,27
2024-05-16,27
2024-05-17,25
2024-05-18,16
2024-05-19,13
2024-05-20,23
2024-05-21,25
2024-05-22,24
2024-05-23,24
2024-05-24,14
2024-05-25,8
2024-05-26,8
2024-05-27,10
2024-05-28,17
2024-05-29,19
2024-05-30,18
2024-05-31,16
2024-06-01,10
2024-06-02,11
2024-06-03,16
2024-06-04,21
2024-06-05,18
2024-06-06,17
2024-06-07,13
2024-06-08,10
2024-06-09,9
2024-06-10,15
2024-06-11,19
2024-06-12,20
2024-06-13,18
2024-06-14,14
2024-06-15,23
2024-06-16,29
2024-06-17,21
2024-06-18,19
2024-06-19,12
2024-06-20,13
2024-06-21,14
2024-06-22,10
2024-06-23,9
2024-06-24,13
2024-06-25,15
2024-06-26,18
2024-06-27,13
2024-06-28,18
2024-06-29,14
2024-06-30,9
2024-07-01,14
2024-07-02,17
2024-07-03,15
2024-07-04,12
2024-07-05,12
2024-07-06,12
2024-07-07,11
2024-07-08,16
2024-07-09,14
2024-07-10,17
2024-07-11,20
2024-07-12,15
2024-07-13,11
2024-07-14,14
2024-07-15,18
2024-07-16,15
2024-07-17,16
2024-07-18,18
2024-07-19,17
2024-07-20,17
2024-07-21,22
2024-07-22,28
2024-07-23,21
2024-07-24,22
2024-07-25,22
2024-07-26,15
2024-07-27,13
2024-07-28,11
2024-07-29,15
2024-07-30,14
2024-07-31,15
2024-08-01,12
2024-08-02,10
2024-08-03,9
2024-08-04,12
2024-08-05,13
2024-08-06,16
2024-08-07,19
2024-08-08,15
2024-08-09,14
2024-08-10,10
2024-08-11,9
2024-08-12,15
2024-08-13,17
2024-08-14,20
2024-08-15,16
2024-08-16,16
2024-08-17,10
2024-08-18,9
2024-08-19,16
2024-08-20,24
2024-08-21,25
2024-08-22,25
2024-08-23,23
2024-08-24,13
2024-08-25,13
2024-08-26,22
2024-08-27,23
2024-08-28,26
2024-08-29,24
2024-08-30,21
2024-08-31,10
2024-09-01,10
2024-09-02,12
2024-09-03,25
2024-09-04,27
2024-09-05,30
2024-09-06,26
2024-09-07,11
2024-09-08,11
2024-09-09,31
2024-09-10,31
2024-09-11,31
2024-09-12,34
2024-09-13,33
2024-09-14,14
2024-09-15,14
2024-09-16,35
