Time,louie anderson
2022-08-29,47
2022-08-30,30
2022-08-31,30
2022-09-01,28
2022-09-02,28
2022-09-03,38
2022-09-04,37
2022-09-05,28
2022-09-06,20
2022-09-07,33
2022-09-08,43
2022-09-09,46
2022-09-10,33
2022-09-11,27
2022-09-12,25
2022-09-13,100
2022-09-14,31
2022-09-15,19
2022-09-16,26
2022-09-17,28
2022-09-18,24
2022-09-19,29
2022-09-20,17
2022-09-21,29
2022-09-22,33
2022-09-23,27
2022-09-24,22
2022-09-25,17
2022-09-26,22
2022-09-27,19
2022-09-28,16
2022-09-29,19
2022-09-30,30
2022-10-01,22
2022-10-02,41
2022-10-03,22
2022-10-04,20
2022-10-05,29
2022-10-06,18
2022-10-07,14
2022-10-08,13
2022-10-09,30
2022-10-10,23
2022-10-11,22
2022-10-12,14
2022-10-13,23
2022-10-14,22
2022-10-15,15
2022-10-16,33
2022-10-17,22
2022-10-18,23
2022-10-19,31
2022-10-20,19
2022-10-21,19
2022-10-22,22
2022-10-23,13
2022-10-24,25
2022-10-25,36
2022-10-26,29
2022-10-27,28
2022-10-28,27
2022-10-29,30
2022-10-30,35
2022-10-31,18
2022-11-01,25
2022-11-02,14
2022-11-03,15
2022-11-04,26
2022-11-05,24
2022-11-06,19
2022-11-07,15
2022-11-08,22
2022-11-09,18
2022-11-10,15
2022-11-11,22
2022-11-12,31
2022-11-13,13
2022-11-14,17
2022-11-15,15
2022-11-16,32
2022-11-17,18
2022-11-18,23
2022-11-19,0
2022-11-20,29
2022-11-21,28
2022-11-22,51
2022-11-23,27
2022-11-24,32
2022-11-25,29
2022-11-26,22
2022-11-27,18
2022-11-28,24
2022-11-29,16
2022-11-30,18
2022-12-01,12
2022-12-02,24
2022-12-03,20
2022-12-04,20
2022-12-05,14
2022-12-06,0
2022-12-07,23
2022-12-08,22
2022-12-09,16
2022-12-10,21
2022-12-11,27
2022-12-12,19
2022-12-13,16
2022-12-14,27
2022-12-15,25
2022-12-16,19
2022-12-17,18
2022-12-18,29
2022-12-19,22
2022-12-20,24
2022-12-21,32
2022-12-22,37
2022-12-23,37
2022-12-24,42
2022-12-25,35
2022-12-26,39
2022-12-27,48
2022-12-28,70
2022-12-29,40
2022-12-30,70
2022-12-31,84
2023-01-01,98
2023-01-02,57
2023-01-03,43
2023-01-04,32
2023-01-05,22
2023-01-06,28
2023-01-07,21
2023-01-08,28
2023-01-09,18
2023-01-10,22
2023-01-11,18
2023-01-12,23
2023-01-13,29
2023-01-14,20
2023-01-15,22
2023-01-16,22
2023-01-17,20
2023-01-18,19
2023-01-19,16
2023-01-20,32
2023-01-21,49
2023-01-22,34
2023-01-23,18
2023-01-24,15
2023-01-25,16
2023-01-26,33
2023-01-27,35
2023-01-28,44
2023-01-29,37
2023-01-30,22
2023-01-31,15
2023-02-01,12
2023-02-02,28
2023-02-03,18
2023-02-04,16
2023-02-05,21
2023-02-06,13
2023-02-07,22
2023-02-08,13
2023-02-09,25
2023-02-10,17
2023-02-11,25
2023-02-12,20
2023-02-13,0
2023-02-14,28
2023-02-15,0
2023-02-16,16
2023-02-17,17
2023-02-18,17
2023-02-19,30
2023-02-20,28
2023-02-21,31
2023-02-22,16
2023-02-23,14
2023-02-24,18
2023-02-25,25
2023-02-26,18
2023-02-27,12
2023-02-28,18
2023-03-01,17
2023-03-02,20
2023-03-03,36
2023-03-04,23
2023-03-05,16
2023-03-06,21
2023-03-07,17
2023-03-08,18
2023-03-09,21
2023-03-10,22
2023-03-11,25
2023-03-12,18
2023-03-13,20
2023-03-14,0
2023-03-15,14
2023-03-16,16
2023-03-17,16
2023-03-18,23
2023-03-19,14
2023-03-20,19
2023-03-21,11
2023-03-22,17
2023-03-23,0
2023-03-24,31
2023-03-25,33
2023-03-26,23
2023-03-27,18
2023-03-28,19
2023-03-29,20
2023-03-30,16
2023-03-31,16
2023-04-01,26
2023-04-02,24
2023-04-03,16
2023-04-04,23
2023-04-05,13
2023-04-06,0
2023-04-07,17
2023-04-08,21
2023-04-09,29
2023-04-10,30
2023-04-11,30
2023-04-12,32
2023-04-13,12
2023-04-14,31
2023-04-15,20
2023-04-16,28
2023-04-17,21
2023-04-18,27
2023-04-19,29
2023-04-20,28
2023-04-21,13
2023-04-22,23
2023-04-23,23
2023-04-24,0
2023-04-25,17
2023-04-26,15
2023-04-27,0
2023-04-28,19
2023-04-29,26
2023-04-30,0
2023-05-01,17
2023-05-02,18
2023-05-03,16
2023-05-04,0
2023-05-05,22
2023-05-06,16
2023-05-07,15
2023-05-08,17
2023-05-09,16
2023-05-10,13
2023-05-11,22
2023-05-12,18
2023-05-13,19
2023-05-14,31
2023-05-15,24
2023-05-16,13
2023-05-17,17
2023-05-18,16
2023-05-19,12
2023-05-20,18
2023-05-21,0
2023-05-22,17
2023-05-23,11
2023-05-24,0
2023-05-25,21
