Time,meta stock
2023-12-22,7
2023-12-23,3
2023-12-24,2
2023-12-25,2
2023-12-26,7
2023-12-27,7
2023-12-28,7
2023-12-29,7
2023-12-30,3
2023-12-31,1
2024-01-01,2
2024-01-02,7
2024-01-03,7
2024-01-04,7
2024-01-05,6
2024-01-06,2
2024-01-07,2
2024-01-08,7
2024-01-09,7
2024-01-10,10
2024-01-11,10
2024-01-12,8
2024-01-13,3
2024-01-14,2
2024-01-15,3
2024-01-16,7
2024-01-17,7
2024-01-18,8
2024-01-19,12
2024-01-20,4
2024-01-21,2
2024-01-22,9
2024-01-23,9
2024-01-24,12
2024-01-25,11
2024-01-26,10
2024-01-27,3
2024-01-28,2
2024-01-29,11
2024-01-30,13
2024-01-31,14
2024-02-01,45
2024-02-02,100
2024-02-03,25
2024-02-04,11
2024-02-05,29
2024-02-06,22
2024-02-07,18
2024-02-08,17
2024-02-09,15
2024-02-10,5
2024-02-11,3
2024-02-12,12
2024-02-13,12
2024-02-14,13
2024-02-15,16
2024-02-16,15
2024-02-17,4
2024-02-18,3
2024-02-19,4
2024-02-20,13
2024-02-21,12
2024-02-22,17
2024-02-23,15
2024-02-24,4
2024-02-25,3
2024-02-26,11
2024-02-27,12
2024-02-28,10
2024-02-29,11
2024-03-01,14
2024-03-02,5
2024-03-03,4
2024-03-04,12
2024-03-05,17
2024-03-06,12
2024-03-07,14
2024-03-08,14
2024-03-09,4
2024-03-10,3
2024-03-11,15
2024-03-12,15
2024-03-13,15
2024-03-14,13
2024-03-15,10
2024-03-16,3
2024-03-17,2
2024-03-18,9
2024-03-19,10
2024-03-20,11
2024-03-21,11
2024-03-22,10
2024-03-23,3
2024-03-24,2
2024-03-25,9
2024-03-26,9
2024-03-27,10
2024-03-28,9
2024-03-29,5
2024-03-30,2
2024-03-31,1
2024-04-01,9
2024-04-02,9
2024-04-03,9
2024-04-04,14
2024-04-05,13
2024-04-06,3
2024-04-07,3
2024-04-08,9
2024-04-09,10
2024-04-10,11
2024-04-11,10
2024-04-12,9
2024-04-13,3
2024-04-14,2
2024-04-15,9
2024-04-16,9
2024-04-17,8
2024-04-18,11
2024-04-19,12
2024-04-20,4
2024-04-21,3
2024-04-22,13
2024-04-23,13
2024-04-24,51
2024-04-25,75
2024-04-26,31
2024-04-27,7
2024-04-28,4
2024-04-29,18
2024-04-30,15
2024-05-01,14
2024-05-02,13
2024-05-03,13
2024-05-04,3
2024-05-05,2
2024-05-06,12
2024-05-07,12
2024-05-08,11
2024-05-09,10
2024-05-10,10
2024-05-11,2
2024-05-12,2
2024-05-13,10
2024-05-14,10
2024-05-15,11
2024-05-16,12
2024-05-17,9
2024-05-18,3
2024-05-19,2
2024-05-20,9
2024-05-21,9
2024-05-22,10
2024-05-23,11
2024-05-24,11
2024-05-25,3
2024-05-26,2
2024-05-27,2
2024-05-28,9
2024-05-29,9
2024-05-30,8
2024-05-31,9
2024-06-01,3
2024-06-02,2
2024-06-03,9
2024-06-04,8
2024-06-05,10
2024-06-06,10
2024-06-07,9
2024-06-08,2
2024-06-09,2
2024-06-10,9
2024-06-11,10
2024-06-12,12
2024-06-13,10
2024-06-14,9
2024-06-15,2
2024-06-16,2
2024-06-17,10
2024-06-18,11
2024-06-19,5
2024-06-20,9
2024-06-21,8
2024-06-22,2
2024-06-23,2
2024-06-24,8
2024-06-25,9
2024-06-26,10
2024-06-27,11
2024-06-28,10
2024-06-29,3
2024-06-30,2
2024-07-01,9
2024-07-02,9
2024-07-03,9
2024-07-04,3
2024-07-05,14
2024-07-06,6
2024-07-07,3
2024-07-08,13
2024-07-09,12
2024-07-10,11
2024-07-11,13
2024-07-12,14
2024-07-13,3
2024-07-14,2
2024-07-15,11
2024-07-16,10
2024-07-17,15
2024-07-18,15
2024-07-19,12
2024-07-20,3
2024-07-21,2
2024-07-22,11
2024-07-23,13
2024-07-24,14
2024-07-25,14
2024-07-26,11
2024-07-27,3
2024-07-28,2
2024-07-29,10
2024-07-30,15
2024-07-31,38
2024-08-01,40
2024-08-02,19
2024-08-03,5
2024-08-04,3
2024-08-05,24
2024-08-06,17
2024-08-07,14
2024-08-08,13
2024-08-09,12
2024-08-10,3
2024-08-11,2
2024-08-12,11
2024-08-13,12
2024-08-14,12
2024-08-15,14
2024-08-16,13
2024-08-17,3
2024-08-18,2
2024-08-19,10
2024-08-20,10
2024-08-21,10
2024-08-22,10
2024-08-23,11
2024-08-24,3
2024-08-25,2
2024-08-26,9
2024-08-27,9
2024-08-28,9
2024-08-29,8
2024-08-30,8
2024-08-31,2
2024-09-01,2
2024-09-02,2
2024-09-03,8
2024-09-04,7
2024-09-05,8
2024-09-06,8
2024-09-07,2
2024-09-08,2
2024-09-09,7
2024-09-10,7
2024-09-11,7
2024-09-12,8
2024-09-13,8
2024-09-14,2
2024-09-15,1
2024-09-16,7
