Time,meta stock
2022-08-29,4
2022-08-30,4
2022-08-31,6
2022-09-01,4
2022-09-02,3
2022-09-03,1
2022-09-04,1
2022-09-05,1
2022-09-06,4
2022-09-07,4
2022-09-08,3
2022-09-09,3
2022-09-10,1
2022-09-11,1
2022-09-12,4
2022-09-13,7
2022-09-14,7
2022-09-15,6
2022-09-16,6
2022-09-17,2
2022-09-18,2
2022-09-19,5
2022-09-20,6
2022-09-21,7
2022-09-22,6
2022-09-23,7
2022-09-24,2
2022-09-25,1
2022-09-26,6
2022-09-27,6
2022-09-28,6
2022-09-29,7
2022-09-30,9
2022-10-01,5
2022-10-02,2
2022-10-03,5
2022-10-04,5
2022-10-05,5
2022-10-06,5
2022-10-07,5
2022-10-08,2
2022-10-09,1
2022-10-10,5
2022-10-11,10
2022-10-12,8
2022-10-13,7
2022-10-14,6
2022-10-15,3
2022-10-16,2
2022-10-17,5
2022-10-18,6
2022-10-19,5
2022-10-20,7
2022-10-21,7
2022-10-22,2
2022-10-23,2
2022-10-24,7
2022-10-25,9
2022-10-26,42
2022-10-27,100
2022-10-28,49
2022-10-29,13
2022-10-30,7
2022-10-31,25
2022-11-01,22
2022-11-02,20
2022-11-03,21
2022-11-04,17
2022-11-05,6
2022-11-06,4
2022-11-07,25
2022-11-08,18
2022-11-09,34
2022-11-10,26
2022-11-11,18
2022-11-12,6
2022-11-13,4
2022-11-14,11
2022-11-15,12
2022-11-16,10
2022-11-17,8
2022-11-18,8
2022-11-19,3
2022-11-20,2
2022-11-21,7
2022-11-22,8
2022-11-23,6
2022-11-24,2
2022-11-25,4
2022-11-26,1
2022-11-27,2
2022-11-28,5
2022-11-29,5
2022-11-30,7
2022-12-01,6
2022-12-02,6
2022-12-03,3
2022-12-04,2
2022-12-05,6
2022-12-06,7
2022-12-07,6
2022-12-08,6
2022-12-09,5
2022-12-10,2
2022-12-11,1
2022-12-12,5
2022-12-13,6
2022-12-14,6
2022-12-15,6
2022-12-16,7
2022-12-17,2
2022-12-18,1
2022-12-19,5
2022-12-20,6
2022-12-21,6
2022-12-22,5
2022-12-23,5
2022-12-24,2
2022-12-25,1
2022-12-26,2
2022-12-27,5
2022-12-28,6
2022-12-29,6
2022-12-30,4
2022-12-31,2
2023-01-01,1
2023-01-02,2
2023-01-03,6
2023-01-04,8
2023-01-05,6
2023-01-06,6
2023-01-07,2
2023-01-08,1
2023-01-09,5
2023-01-10,6
2023-01-11,6
2023-01-12,7
2023-01-13,5
2023-01-14,2
2023-01-15,1
2023-01-16,2
2023-01-17,6
2023-01-18,5
2023-01-19,6
2023-01-20,6
2023-01-21,2
2023-01-22,1
2023-01-23,6
2023-01-24,7
2023-01-25,6
2023-01-26,7
2023-01-27,7
2023-01-28,3
2023-01-29,2
2023-01-30,6
2023-01-31,10
2023-02-01,32
2023-02-02,64
2023-02-03,29
2023-02-04,6
2023-02-05,3
2023-02-06,12
2023-02-07,11
2023-02-08,11
2023-02-09,10
2023-02-10,9
2023-02-11,2
2023-02-12,2
2023-02-13,9
2023-02-14,8
2023-02-15,8
2023-02-16,7
2023-02-17,6
2023-02-18,2
2023-02-19,2
2023-02-20,3
2023-02-21,8
2023-02-22,7
2023-02-23,6
2023-02-24,6
2023-02-25,2
2023-02-26,2
2023-02-27,6
2023-02-28,7
2023-03-01,6
2023-03-02,5
2023-03-03,7
2023-03-04,3
2023-03-05,1
2023-03-06,6
2023-03-07,9
2023-03-08,7
2023-03-09,6
2023-03-10,7
2023-03-11,3
2023-03-12,2
2023-03-13,7
2023-03-14,15
2023-03-15,12
2023-03-16,12
2023-03-17,9
2023-03-18,3
2023-03-19,2
2023-03-20,7
2023-03-21,7
2023-03-22,7
2023-03-23,10
2023-03-24,10
2023-03-25,3
2023-03-26,3
2023-03-27,7
2023-03-28,7
2023-03-29,6
2023-03-30,7
2023-03-31,7
2023-04-01,2
2023-04-02,2
2023-04-03,7
2023-04-04,7
2023-04-05,6
2023-04-06,6
2023-04-07,4
2023-04-08,2
2023-04-09,2
2023-04-10,6
2023-04-11,6
2023-04-12,7
2023-04-13,7
2023-04-14,7
2023-04-15,2
2023-04-16,2
2023-04-17,6
2023-04-18,7
2023-04-19,11
2023-04-20,8
2023-04-21,7
2023-04-22,2
2023-04-23,1
2023-04-24,6
2023-04-25,10
2023-04-26,29
2023-04-27,34
2023-04-28,17
2023-04-29,4
2023-04-30,2
2023-05-01,10
2023-05-02,9
2023-05-03,9
2023-05-04,7
2023-05-05,7
2023-05-06,2
2023-05-07,2
2023-05-08,6
2023-05-09,6
2023-05-10,7
2023-05-11,7
2023-05-12,6
2023-05-13,2
2023-05-14,1
2023-05-15,6
2023-05-16,7
2023-05-17,7
2023-05-18,9
2023-05-19,8
2023-05-20,2
2023-05-21,2
2023-05-22,12
2023-05-23,8
2023-05-24,9
2023-05-25,10
