Time,meta stock
2022-01-01,1
2022-01-02,2
2022-01-03,3
2022-01-04,3
2022-01-05,2
2022-01-06,3
2022-01-07,2
2022-01-08,1
2022-01-09,1
2022-01-10,2
2022-01-11,2
2022-01-12,3
2022-01-13,2
2022-01-14,1
2022-01-15,1
2022-01-16,1
2022-01-17,1
2022-01-18,3
2022-01-19,2
2022-01-20,2
2022-01-21,2
2022-01-22,2
2022-01-23,1
2022-01-24,5
2022-01-25,3
2022-01-26,2
2022-01-27,2
2022-01-28,2
2022-01-29,2
2022-01-30,1
2022-01-31,3
2022-02-01,4
2022-02-02,17
2022-02-03,100
2022-02-04,72
2022-02-05,20
2022-02-06,10
2022-02-07,23
2022-02-08,25
2022-02-09,19
2022-02-10,12
2022-02-11,11
2022-02-12,6
2022-02-13,3
2022-02-14,10
2022-02-15,9
2022-02-16,11
2022-02-17,10
2022-02-18,11
2022-02-19,6
2022-02-20,4
2022-02-21,5
2022-02-22,9
2022-02-23,9
2022-02-24,12
2022-02-25,7
2022-02-26,3
2022-02-27,2
2022-02-28,6
2022-03-01,6
2022-03-02,5
2022-03-03,5
2022-03-04,5
2022-03-05,3
2022-03-06,2
2022-03-07,7
2022-03-08,6
2022-03-09,5
2022-03-10,4
2022-03-11,6
2022-03-12,4
2022-03-13,3
2022-03-14,6
2022-03-15,7
2022-03-16,5
2022-03-17,5
2022-03-18,5
2022-03-19,2
2022-03-20,2
2022-03-21,7
2022-03-22,6
2022-03-23,4
2022-03-24,5
2022-03-25,5
2022-03-26,2
2022-03-27,2
2022-03-28,4
2022-03-29,5
2022-03-30,5
2022-03-31,4
2022-04-01,4
2022-04-02,2
2022-04-03,1
2022-04-04,5
2022-04-05,4
2022-04-06,3
2022-04-07,3
2022-04-08,3
2022-04-09,2
2022-04-10,1
2022-04-11,4
2022-04-12,3
2022-04-13,4
2022-04-14,4
2022-04-15,3
2022-04-16,2
2022-04-17,1
2022-04-18,4
2022-04-19,4
2022-04-20,8
2022-04-21,9
2022-04-22,8
2022-04-23,4
2022-04-24,2
2022-04-25,8
2022-04-26,10
2022-04-27,25
2022-04-28,26
2022-04-29,10
2022-04-30,4
2022-05-01,3
2022-05-02,6
2022-05-03,5
2022-05-04,6
2022-05-05,7
2022-05-06,6
2022-05-07,4
2022-05-08,2
2022-05-09,8
2022-05-10,7
2022-05-11,8
2022-05-12,6
2022-05-13,5
2022-05-14,2
2022-05-15,2
2022-05-16,5
2022-05-17,5
2022-05-18,5
2022-05-19,5
2022-05-20,5
2022-05-21,2
2022-05-22,2
2022-05-23,5
2022-05-24,10
2022-05-25,6
2022-05-26,5
2022-05-27,4
2022-05-28,1
2022-05-29,1
2022-05-30,2
2022-05-31,5
2022-06-01,8
2022-06-02,6
2022-06-03,5
2022-06-04,2
2022-06-05,1
2022-06-06,3
2022-06-07,3
2022-06-08,4
2022-06-09,9
2022-06-10,10
2022-06-11,3
2022-06-12,2
2022-06-13,11
2022-06-14,9
2022-06-15,9
2022-06-16,10
2022-06-17,7
2022-06-18,3
2022-06-19,2
2022-06-20,4
2022-06-21,14
2022-06-22,14
2022-06-23,14
2022-06-24,10
2022-06-25,3
2022-06-26,3
2022-06-27,8
2022-06-28,8
2022-06-29,8
2022-06-30,8
2022-07-01,11
2022-07-02,3
2022-07-03,2
2022-07-04,2
2022-07-05,9
2022-07-06,9
2022-07-07,9
2022-07-08,8
2022-07-09,3
2022-07-10,2
2022-07-11,9
2022-07-12,8
2022-07-13,7
2022-07-14,8
2022-07-15,7
2022-07-16,2
2022-07-17,2
2022-07-18,8
2022-07-19,9
2022-07-20,9
2022-07-21,13
2022-07-22,15
2022-07-23,5
2022-07-24,2
2022-07-25,9
2022-07-26,13
2022-07-27,46
2022-07-28,43
2022-07-29,18
2022-07-30,5
2022-07-31,3
2022-08-01,11
2022-08-02,10
2022-08-03,11
2022-08-04,11
2022-08-05,9
2022-08-06,3
2022-08-07,2
2022-08-08,10
2022-08-09,9
2022-08-10,11
2022-08-11,10
2022-08-12,9
2022-08-13,3
2022-08-14,2
2022-08-15,9
2022-08-16,9
2022-08-17,7
2022-08-18,6
2022-08-19,6
2022-08-20,2
2022-08-21,2
2022-08-22,7
2022-08-23,7
2022-08-24,7
2022-08-25,7
2022-08-26,8
2022-08-27,3
2022-08-28,2
2022-08-29,7
2022-08-30,8
2022-08-31,10
2022-09-01,8
2022-09-02,6
2022-09-03,2
2022-09-04,1
2022-09-05,2
2022-09-06,6
2022-09-07,6
2022-09-08,5
2022-09-09,6
2022-09-10,2
2022-09-11,1
2022-09-12,6
2022-09-13,12
2022-09-14,12
2022-09-15,11
2022-09-16,11
2022-09-17,4
2022-09-18,3
2022-09-19,9
2022-09-20,10
2022-09-21,12
2022-09-22,11
2022-09-23,12
2022-09-24,4
2022-09-25,2
2022-09-26,10
2022-09-27,10
