Time,top gun
2022-08-29,58
2022-08-30,43
2022-08-31,36
2022-09-01,35
2022-09-02,42
2022-09-03,86
2022-09-04,100
2022-09-05,96
2022-09-06,53
2022-09-07,35
2022-09-08,26
2022-09-09,29
2022-09-10,50
2022-09-11,50
2022-09-12,25
2022-09-13,23
2022-09-14,22
2022-09-15,22
2022-09-16,24
2022-09-17,39
2022-09-18,36
2022-09-19,23
2022-09-20,23
2022-09-21,28
2022-09-22,24
2022-09-23,27
2022-09-24,46
2022-09-25,54
2022-09-26,27
2022-09-27,22
2022-09-28,20
2022-09-29,21
2022-09-30,24
2022-10-01,37
2022-10-02,42
2022-10-03,24
2022-10-04,20
2022-10-05,20
2022-10-06,20
2022-10-07,22
2022-10-08,33
2022-10-09,33
2022-10-10,24
2022-10-11,19
2022-10-12,18
2022-10-13,20
2022-10-14,20
2022-10-15,30
2022-10-16,34
2022-10-17,19
2022-10-18,18
2022-10-19,19
2022-10-20,18
2022-10-21,19
2022-10-22,29
2022-10-23,31
2022-10-24,22
2022-10-25,20
2022-10-26,19
2022-10-27,20
2022-10-28,23
2022-10-29,32
2022-10-30,33
2022-10-31,26
2022-11-01,21
2022-11-02,17
2022-11-03,17
2022-11-04,20
2022-11-05,33
2022-11-06,29
2022-11-07,18
2022-11-08,15
2022-11-09,13
2022-11-10,18
2022-11-11,20
2022-11-12,27
2022-11-13,27
2022-11-14,27
2022-11-15,14
2022-11-16,12
2022-11-17,13
2022-11-18,13
2022-11-19,23
2022-11-20,25
2022-11-21,15
2022-11-22,17
2022-11-23,17
2022-11-24,26
2022-11-25,31
2022-11-26,27
2022-11-27,24
2022-11-28,13
2022-11-29,15
2022-11-30,14
2022-12-01,13
2022-12-02,14
2022-12-03,22
2022-12-04,25
2022-12-05,13
2022-12-06,12
2022-12-07,12
2022-12-08,13
2022-12-09,14
2022-12-10,21
2022-12-11,22
2022-12-12,14
2022-12-13,12
2022-12-14,12
2022-12-15,12
2022-12-16,13
2022-12-17,19
2022-12-18,22
2022-12-19,20
2022-12-20,18
2022-12-21,17
2022-12-22,37
2022-12-23,82
2022-12-24,67
2022-12-25,67
2022-12-26,71
2022-12-27,48
2022-12-28,38
2022-12-29,38
2022-12-30,33
2022-12-31,46
2023-01-01,56
2023-01-02,47
2023-01-03,25
2023-01-04,20
2023-01-05,21
2023-01-06,21
2023-01-07,33
2023-01-08,33
2023-01-09,20
2023-01-10,19
2023-01-11,24
2023-01-12,17
2023-01-13,18
2023-01-14,28
2023-01-15,29
2023-01-16,24
2023-01-17,15
2023-01-18,13
2023-01-19,13
2023-01-20,15
2023-01-21,22
2023-01-22,24
2023-01-23,28
2023-01-24,18
2023-01-25,18
2023-01-26,16
2023-01-27,15
2023-01-28,24
2023-01-29,24
2023-01-30,13
2023-01-31,13
2023-02-01,12
2023-02-02,12
2023-02-03,15
2023-02-04,19
2023-02-05,27
2023-02-06,15
2023-02-07,10
2023-02-08,10
2023-02-09,10
2023-02-10,15
2023-02-11,18
2023-02-12,21
2023-02-13,20
2023-02-14,10
2023-02-15,12
2023-02-16,13
2023-02-17,11
2023-02-18,19
2023-02-19,21
2023-02-20,16
2023-02-21,12
2023-02-22,14
2023-02-23,11
2023-02-24,12
2023-02-25,21
2023-02-26,24
2023-02-27,13
2023-02-28,10
2023-03-01,9
2023-03-02,9
2023-03-03,10
2023-03-04,17
2023-03-05,18
2023-03-06,12
2023-03-07,11
2023-03-08,11
2023-03-09,11
2023-03-10,16
2023-03-11,20
2023-03-12,28
2023-03-13,61
2023-03-14,17
2023-03-15,12
2023-03-16,11
2023-03-17,12
2023-03-18,16
2023-03-19,21
2023-03-20,14
2023-03-21,10
2023-03-22,9
2023-03-23,10
2023-03-24,13
2023-03-25,25
2023-03-26,31
2023-03-27,19
2023-03-28,18
2023-03-29,15
2023-03-30,15
2023-03-31,14
2023-04-01,22
2023-04-02,23
2023-04-03,14
2023-04-04,10
2023-04-05,11
2023-04-06,12
2023-04-07,14
2023-04-08,20
2023-04-09,23
2023-04-10,15
2023-04-11,11
2023-04-12,11
2023-04-13,10
2023-04-14,11
2023-04-15,18
2023-04-16,24
2023-04-17,12
2023-04-18,10
2023-04-19,9
2023-04-20,9
2023-04-21,10
2023-04-22,18
2023-04-23,20
2023-04-24,13
2023-04-25,10
2023-04-26,10
2023-04-27,11
2023-04-28,11
2023-04-29,15
2023-04-30,18
2023-05-01,11
2023-05-02,10
2023-05-03,8
2023-05-04,9
2023-05-05,10
2023-05-06,14
2023-05-07,19
2023-05-08,11
2023-05-09,9
2023-05-10,8
2023-05-11,9
2023-05-12,9
2023-05-13,12
2023-05-14,15
2023-05-15,10
2023-05-16,9
2023-05-17,9
2023-05-18,8
2023-05-19,9
2023-05-20,14
2023-05-21,16
2023-05-22,10
2023-05-23,9
2023-05-24,9
2023-05-25,8
