Time,top gun
2023-04-26,49
2023-04-27,56
2023-04-28,58
2023-04-29,77
2023-04-30,95
2023-05-01,56
2023-05-02,49
2023-05-03,42
2023-05-04,47
2023-05-05,50
2023-05-06,71
2023-05-07,97
2023-05-08,59
2023-05-09,48
2023-05-10,43
2023-05-11,44
2023-05-12,45
2023-05-13,60
2023-05-14,79
2023-05-15,50
2023-05-16,46
2023-05-17,46
2023-05-18,42
2023-05-19,47
2023-05-20,73
2023-05-21,84
2023-05-22,51
2023-05-23,45
2023-05-24,46
2023-05-25,43
2023-05-26,49
2023-05-27,71
2023-05-28,79
2023-05-29,83
2023-05-30,63
2023-05-31,47
2023-06-01,47
2023-06-02,46
2023-06-03,68
2023-06-04,75
2023-06-05,52
2023-06-06,42
2023-06-07,43
2023-06-08,44
2023-06-09,45
2023-06-10,68
2023-06-11,68
2023-06-12,48
2023-06-13,45
2023-06-14,44
2023-06-15,42
2023-06-16,48
2023-06-17,62
2023-06-18,74
2023-06-19,58
2023-06-20,47
2023-06-21,42
2023-06-22,44
2023-06-23,46
2023-06-24,64
2023-06-25,76
2023-06-26,52
2023-06-27,44
2023-06-28,41
2023-06-29,41
2023-06-30,46
2023-07-01,71
2023-07-02,83
2023-07-03,67
2023-07-04,90
2023-07-05,65
2023-07-06,49
2023-07-07,52
2023-07-08,64
2023-07-09,77
2023-07-10,50
2023-07-11,47
2023-07-12,43
2023-07-13,47
2023-07-14,51
2023-07-15,71
2023-07-16,82
2023-07-17,57
2023-07-18,44
2023-07-19,45
2023-07-20,44
2023-07-21,46
2023-07-22,60
2023-07-23,76
2023-07-24,49
2023-07-25,40
2023-07-26,42
2023-07-27,44
2023-07-28,43
2023-07-29,60
2023-07-30,66
2023-07-31,46
2023-08-01,33
2023-08-02,40
2023-08-03,35
2023-08-04,43
2023-08-05,59
2023-08-06,62
2023-08-07,43
2023-08-08,40
2023-08-09,39
2023-08-10,33
2023-08-11,37
2023-08-12,52
2023-08-13,75
2023-08-14,39
2023-08-15,35
2023-08-16,34
2023-08-17,39
2023-08-18,40
2023-08-19,49
2023-08-20,55
2023-08-21,40
2023-08-22,35
2023-08-23,35
2023-08-24,44
2023-08-25,38
2023-08-26,48
2023-08-27,52
2023-08-28,32
2023-08-29,31
2023-08-30,30
2023-08-31,31
2023-09-01,31
2023-09-02,62
2023-09-03,52
2023-09-04,54
2023-09-05,40
2023-09-06,31
2023-09-07,31
2023-09-08,32
2023-09-09,45
2023-09-10,47
2023-09-11,32
2023-09-12,25
2023-09-13,29
2023-09-14,29
2023-09-15,29
2023-09-16,48
2023-09-17,43
2023-09-18,29
2023-09-19,30
2023-09-20,30
2023-09-21,31
2023-09-22,33
2023-09-23,44
2023-09-24,43
2023-09-25,31
2023-09-26,28
2023-09-27,30
2023-09-28,30
2023-09-29,34
2023-09-30,43
2023-10-01,48
2023-10-02,30
2023-10-03,31
2023-10-04,31
2023-10-05,31
2023-10-06,33
2023-10-07,52
2023-10-08,47
2023-10-09,32
2023-10-10,33
2023-10-11,42
2023-10-12,37
2023-10-13,38
2023-10-14,53
2023-10-15,52
2023-10-16,42
2023-10-17,38
2023-10-18,39
2023-10-19,40
2023-10-20,39
2023-10-21,56
2023-10-22,55
2023-10-23,40
2023-10-24,42
2023-10-25,46
2023-10-26,41
2023-10-27,48
2023-10-28,72
2023-10-29,62
2023-10-30,55
2023-10-31,65
2023-11-01,37
2023-11-02,31
2023-11-03,28
2023-11-04,45
2023-11-05,43
2023-11-06,36
2023-11-07,30
2023-11-08,29
2023-11-09,32
2023-11-10,31
2023-11-11,45
2023-11-12,44
2023-11-13,32
2023-11-14,28
2023-11-15,29
2023-11-16,33
2023-11-17,33
2023-11-18,43
2023-11-19,41
2023-11-20,30
2023-11-21,28
2023-11-22,32
2023-11-23,47
2023-11-24,41
2023-11-25,51
2023-11-26,45
2023-11-27,26
2023-11-28,26
2023-11-29,27
2023-11-30,37
2023-12-01,28
2023-12-02,31
2023-12-03,33
2023-12-04,26
2023-12-05,24
2023-12-06,25
2023-12-07,23
2023-12-08,24
2023-12-09,32
2023-12-10,37
2023-12-11,26
2023-12-12,27
2023-12-13,25
2023-12-14,27
2023-12-15,28
2023-12-16,42
2023-12-17,40
2023-12-18,27
2023-12-19,26
2023-12-20,29
2023-12-21,33
2023-12-22,36
2023-12-23,46
2023-12-24,38
2023-12-25,52
2023-12-26,48
2023-12-27,44
2023-12-28,40
2023-12-29,42
2023-12-30,45
2023-12-31,46
2024-01-01,63
2024-01-02,35
2024-01-03,33
2024-01-04,31
2024-01-05,33
2024-01-06,44
2024-01-07,43
2024-01-08,36
2024-01-09,27
2024-01-10,29
2024-01-11,27
2024-01-12,68
2024-01-13,88
2024-01-14,100
2024-01-15,53
2024-01-16,37
2024-01-17,58
2024-01-18,38
2024-01-19,38
2024-01-20,51
