Time,amc
2023-04-26,20
2023-04-27,20
2023-04-28,28
2023-04-29,39
2023-04-30,34
2023-05-01,20
2023-05-02,21
2023-05-03,21
2023-05-04,24
2023-05-05,31
2023-05-06,38
2023-05-07,34
2023-05-08,22
2023-05-09,23
2023-05-10,21
2023-05-11,20
2023-05-12,28
2023-05-13,36
2023-05-14,32
2023-05-15,20
2023-05-16,20
2023-05-17,20
2023-05-18,21
2023-05-19,31
2023-05-20,40
2023-05-21,34
2023-05-22,22
2023-05-23,24
2023-05-24,22
2023-05-25,28
2023-05-26,40
2023-05-27,54
2023-05-28,52
2023-05-29,45
2023-05-30,32
2023-05-31,32
2023-06-01,36
2023-06-02,51
2023-06-03,62
2023-06-04,53
2023-06-05,34
2023-06-06,36
2023-06-07,33
2023-06-08,32
2023-06-09,42
2023-06-10,52
2023-06-11,47
2023-06-12,31
2023-06-13,33
2023-06-14,31
2023-06-15,31
2023-06-16,42
2023-06-17,50
2023-06-18,49
2023-06-19,35
2023-06-20,32
2023-06-21,27
2023-06-22,27
2023-06-23,34
2023-06-24,40
2023-06-25,39
2023-06-26,26
2023-06-27,29
2023-06-28,26
2023-06-29,27
2023-06-30,33
2023-07-01,41
2023-07-02,42
2023-07-03,34
2023-07-04,38
2023-07-05,29
2023-07-06,31
2023-07-07,40
2023-07-08,49
2023-07-09,47
2023-07-10,36
2023-07-11,40
2023-07-12,36
2023-07-13,37
2023-07-14,44
2023-07-15,54
2023-07-16,54
2023-07-17,39
2023-07-18,43
2023-07-19,49
2023-07-20,57
2023-07-21,91
2023-07-22,100
2023-07-23,92
2023-07-24,74
2023-07-25,69
2023-07-26,55
2023-07-27,54
2023-07-28,63
2023-07-29,73
2023-07-30,64
2023-07-31,47
2023-08-01,46
2023-08-02,41
2023-08-03,39
2023-08-04,48
2023-08-05,58
2023-08-06,50
2023-08-07,37
2023-08-08,39
2023-08-09,31
2023-08-10,32
2023-08-11,38
2023-08-12,47
2023-08-13,41
2023-08-14,33
2023-08-15,37
2023-08-16,30
2023-08-17,26
2023-08-18,32
2023-08-19,39
2023-08-20,34
2023-08-21,27
2023-08-22,35
2023-08-23,32
2023-08-24,36
2023-08-25,40
2023-08-26,48
2023-08-27,85
2023-08-28,32
2023-08-29,24
2023-08-30,22
2023-08-31,65
2023-09-01,43
2023-09-02,42
2023-09-03,38
2023-09-04,35
2023-09-05,23
2023-09-06,23
2023-09-07,24
2023-09-08,31
2023-09-09,39
2023-09-10,31
2023-09-11,20
2023-09-12,20
2023-09-13,18
2023-09-14,19
2023-09-15,24
2023-09-16,33
2023-09-17,26
2023-09-18,16
2023-09-19,18
2023-09-20,16
2023-09-21,17
2023-09-22,23
2023-09-23,32
2023-09-24,26
2023-09-25,19
2023-09-26,18
2023-09-27,18
2023-09-28,19
2023-09-29,28
2023-09-30,35
2023-10-01,31
2023-10-02,27
2023-10-03,24
2023-10-04,21
2023-10-05,21
2023-10-06,29
2023-10-07,36
2023-10-08,31
2023-10-09,23
2023-10-10,20
2023-10-11,21
2023-10-12,34
2023-10-13,40
2023-10-14,48
2023-10-15,36
2023-10-16,23
2023-10-17,22
2023-10-18,20
2023-10-19,23
2023-10-20,29
2023-10-21,35
2023-10-22,29
2023-10-23,21
2023-10-24,21
2023-10-25,23
2023-10-26,26
2023-10-27,35
2023-10-28,40
2023-10-29,32
2023-10-30,20
2023-10-31,21
2023-11-01,21
2023-11-02,19
2023-11-03,26
2023-11-04,33
2023-11-05,26
2023-11-06,21
2023-11-07,21
2023-11-08,21
2023-11-09,25
2023-11-10,30
2023-11-11,33
2023-11-12,27
2023-11-13,19
2023-11-14,19
2023-11-15,19
2023-11-16,20
2023-11-17,28
2023-11-18,37
2023-11-19,33
2023-11-20,25
2023-11-21,28
2023-11-22,29
2023-11-23,31
2023-11-24,39
2023-11-25,38
2023-11-26,31
2023-11-27,19
2023-11-28,20
2023-11-29,19
2023-11-30,20
2023-12-01,29
2023-12-02,37
2023-12-03,30
2023-12-04,21
2023-12-05,21
2023-12-06,18
2023-12-07,18
2023-12-08,25
2023-12-09,32
2023-12-10,30
2023-12-11,19
2023-12-12,20
2023-12-13,20
2023-12-14,20
2023-12-15,24
2023-12-16,32
2023-12-17,29
2023-12-18,22
2023-12-19,24
2023-12-20,25
2023-12-21,27
2023-12-22,35
2023-12-23,36
2023-12-24,33
2023-12-25,52
2023-12-26,57
2023-12-27,45
2023-12-28,42
2023-12-29,41
2023-12-30,43
2023-12-31,32
2024-01-01,35
2024-01-02,32
2024-01-03,27
2024-01-04,24
2024-01-05,29
2024-01-06,38
2024-01-07,28
2024-01-08,18
2024-01-09,19
2024-01-10,20
2024-01-11,22
2024-01-12,30
2024-01-13,41
2024-01-14,36
2024-01-15,27
2024-01-16,19
2024-01-17,18
2024-01-18,17
2024-01-19,24
2024-01-20,34
