Time,ace hardware
2025-12-11,44
2025-12-12,46
2025-12-13,55
2025-12-14,61
2025-12-15,44
2025-12-16,42
2025-12-17,43
2025-12-18,46
2025-12-19,42
2025-12-20,56
2025-12-21,55
2025-12-22,50
2025-12-23,52
2025-12-24,65
2025-12-25,30
2025-12-26,54
2025-12-27,53
2025-12-28,49
2025-12-29,42
2025-12-30,44
2025-12-31,48
2026-01-01,55
2026-01-02,43
2026-01-03,51
2026-01-04,43
2026-01-05,34
2026-01-06,34
2026-01-07,31
2026-01-08,30
2026-01-09,32
2026-01-10,46
2026-01-11,42
2026-01-12,30
2026-01-13,30
2026-01-14,29
2026-01-15,30
2026-01-16,34
2026-01-17,43
2026-01-18,42
2026-01-19,40
2026-01-20,39
2026-01-21,61
2026-01-22,75
2026-01-23,96
2026-01-24,100
2026-01-25,45
2026-01-26,46
2026-01-27,47
2026-01-28,48
2026-01-29,46
2026-01-30,50
2026-01-31,55
2026-02-01,52
2026-02-02,38
2026-02-03,35
2026-02-04,31
2026-02-05,33
2026-02-06,35
2026-02-07,43
2026-02-08,43
2026-02-09,30
2026-02-10,30
2026-02-11,31
2026-02-12,32
2026-02-13,32
2026-02-14,43
2026-02-15,41
2026-02-16,37
2026-02-17,30
2026-02-18,32
2026-02-19,32
2026-02-20,33
2026-02-21,51
2026-02-22,51
2026-02-23,35
2026-02-24,36
2026-02-25,35
2026-02-26,34
2026-02-27,36
2026-02-28,51
2026-03-01,54
2026-03-02,36
2026-03-03,36
2026-03-04,36
2026-03-05,37
2026-03-06,39
2026-03-07,54
2026-03-08,53
2026-03-09,42
2026-03-10,38
2026-03-11,37
2026-03-12,40
2026-03-13,43
2026-03-14,56
2026-03-15,53
2026-03-16,38
2026-03-17,38
2026-03-18,39
2026-03-19,41
2026-03-20,47
2026-03-21,62
2026-03-22,63
2026-03-23,43
2026-03-24,43
2026-03-25,41
2026-03-26,40
2026-03-27,43
2026-03-28,57
2026-03-29,63
2026-03-30,46
2026-03-31,43
2026-04-01,42
2026-04-02,42
2026-04-03,48
2026-04-04,64
2026-04-05,57
2026-04-06,47
2026-04-07,42
2026-04-08,43
2026-04-09,44
2026-04-10,47
2026-04-11,67
2026-04-12,63
2026-04-13,44
2026-04-14,42
2026-04-15,45
2026-04-16,45
2026-04-17,49
2026-04-18,67
2026-04-19,62
2026-04-20,44
2026-04-21,43
2026-04-22,50
2026-04-23,47
2026-04-24,49
2026-04-25,68
2026-04-26,63
2026-04-27,44
2026-04-28,44
2026-04-29,44
2026-04-30,44
2026-05-01,51
2026-05-02,64
2026-05-03,69
2026-05-04,47
2026-05-05,44
2026-05-06,45
2026-05-07,45
2026-05-08,48
2026-05-09,69
2026-05-10,64
2026-05-11,48
2026-05-12,46
2026-05-13,44
2026-05-14,46
2026-05-15,52
2026-05-16,70
2026-05-17,69
2026-05-18,50
2026-05-19,49
2026-05-20,48
2026-05-21,50
2026-05-22,57
2026-05-23,71
2026-05-24,78
2026-05-25,89
2026-05-26,49
2026-05-27,46
2026-05-28,53
2026-05-29,53
2026-05-30,66
2026-05-31,76
