Time,who is the president of the united states
2023-04-26,82
2023-04-27,83
2023-04-28,69
2023-04-29,30
2023-04-30,28
2023-05-01,83
2023-05-02,79
2023-05-03,67
2023-05-04,72
2023-05-05,77
2023-05-06,20
2023-05-07,22
2023-05-08,79
2023-05-09,89
2023-05-10,76
2023-05-11,86
2023-05-12,74
2023-05-13,12
2023-05-14,15
2023-05-15,70
2023-05-16,72
2023-05-17,76
2023-05-18,69
2023-05-19,61
2023-05-20,17
2023-05-21,17
2023-05-22,63
2023-05-23,54
2023-05-24,57
2023-05-25,48
2023-05-26,42
2023-05-27,14
2023-05-28,15
2023-05-29,12
2023-05-30,40
2023-05-31,36
2023-06-01,38
2023-06-02,22
2023-06-03,16
2023-06-04,8
2023-06-05,28
2023-06-06,40
2023-06-07,34
2023-06-08,32
2023-06-09,17
2023-06-10,15
2023-06-11,14
2023-06-12,41
2023-06-13,29
2023-06-14,29
2023-06-15,27
2023-06-16,24
2023-06-17,11
2023-06-18,19
2023-06-19,25
2023-06-20,24
2023-06-21,25
2023-06-22,24
2023-06-23,25
2023-06-24,18
2023-06-25,15
2023-06-26,19
2023-06-27,17
2023-06-28,22
2023-06-29,25
2023-06-30,16
2023-07-01,13
2023-07-02,16
2023-07-03,17
2023-07-04,17
2023-07-05,23
2023-07-06,20
2023-07-07,17
2023-07-08,16
2023-07-09,19
2023-07-10,25
2023-07-11,24
2023-07-12,21
2023-07-13,24
2023-07-14,18
2023-07-15,8
2023-07-16,15
2023-07-17,19
2023-07-18,19
2023-07-19,16
2023-07-20,18
2023-07-21,16
2023-07-22,12
2023-07-23,10
2023-07-24,18
2023-07-25,17
2023-07-26,19
2023-07-27,20
2023-07-28,12
2023-07-29,14
2023-07-30,16
2023-07-31,20
2023-08-01,15
2023-08-02,17
2023-08-03,18
2023-08-04,18
2023-08-05,7
2023-08-06,12
2023-08-07,15
2023-08-08,16
2023-08-09,23
2023-08-10,25
2023-08-11,29
2023-08-12,13
2023-08-13,12
2023-08-14,32
2023-08-15,32
2023-08-16,35
2023-08-17,36
2023-08-18,29
2023-08-19,13
2023-08-20,18
2023-08-21,28
2023-08-22,38
2023-08-23,39
2023-08-24,40
2023-08-25,44
2023-08-26,12
2023-08-27,22
2023-08-28,40
2023-08-29,46
2023-08-30,32
2023-08-31,39
2023-09-01,36
2023-09-02,22
2023-09-03,16
2023-09-04,11
2023-09-05,44
2023-09-06,43
2023-09-07,48
2023-09-08,52
2023-09-09,15
2023-09-10,23
2023-09-11,47
2023-09-12,49
2023-09-13,63
2023-09-14,57
2023-09-15,60
2023-09-16,15
2023-09-17,21
2023-09-18,73
2023-09-19,64
2023-09-20,53
2023-09-21,52
2023-09-22,50
2023-09-23,14
2023-09-24,16
2023-09-25,46
2023-09-26,55
2023-09-27,62
2023-09-28,70
2023-09-29,51
2023-09-30,13
2023-10-01,17
2023-10-02,66
2023-10-03,57
2023-10-04,67
2023-10-05,57
2023-10-06,45
2023-10-07,18
2023-10-08,19
2023-10-09,37
2023-10-10,62
2023-10-11,52
2023-10-12,53
2023-10-13,48
2023-10-14,14
2023-10-15,26
2023-10-16,56
2023-10-17,57
2023-10-18,64
2023-10-19,62
2023-10-20,61
2023-10-21,17
2023-10-22,23
2023-10-23,77
2023-10-24,67
2023-10-25,67
2023-10-26,67
2023-10-27,60
2023-10-28,22
2023-10-29,25
2023-10-30,67
2023-10-31,58
2023-11-01,62
2023-11-02,85
2023-11-03,76
2023-11-04,24
2023-11-05,32
2023-11-06,86
2023-11-07,78
2023-11-08,85
2023-11-09,89
2023-11-10,59
2023-11-11,17
2023-11-12,20
2023-11-13,75
2023-11-14,78
2023-11-15,88
2023-11-16,80
2023-11-17,83
2023-11-18,22
2023-11-19,24
2023-11-20,57
2023-11-21,45
2023-11-22,23
2023-11-23,13
2023-11-24,12
2023-11-25,14
2023-11-26,16
2023-11-27,68
2023-11-28,69
2023-11-29,75
2023-11-30,73
2023-12-01,76
2023-12-02,20
2023-12-03,20
2023-12-04,85
2023-12-05,77
2023-12-06,81
2023-12-07,87
2023-12-08,100
2023-12-09,21
2023-12-10,22
2023-12-11,72
2023-12-12,87
2023-12-13,85
2023-12-14,96
2023-12-15,78
2023-12-16,19
2023-12-17,19
2023-12-18,60
2023-12-19,62
2023-12-20,65
2023-12-21,34
2023-12-22,23
2023-12-23,17
2023-12-24,11
2023-12-25,8
2023-12-26,0
2023-12-27,11
2023-12-28,9
2023-12-29,10
2023-12-30,11
2023-12-31,14
2024-01-01,12
2024-01-02,21
2024-01-03,35
2024-01-04,45
2024-01-05,49
2024-01-06,16
2024-01-07,16
2024-01-08,50
2024-01-09,62
2024-01-10,64
2024-01-11,71
2024-01-12,67
2024-01-13,19
2024-01-14,15
2024-01-15,24
2024-01-16,57
2024-01-17,57
2024-01-18,79
2024-01-19,55
2024-01-20,22
