Market,Price ADF Statistic,Price p-value,Return ADF Statistic,Return p-value
S&P500,-0.011404708414300187,0.9575787008168841,-20.302209346078254,0.0
NASDAQ100,0.7914923415328721,0.991497589883418,-20.529155139002423,0.0
DowJones,1.1764311206287377,0.9958189299965755,-20.603783144647643,0.0
Russell2000,-0.5384266123176227,0.8842971793992469,-33.55562048598853,0.0
