Time,tiempo
2022-08-29,48
2022-08-30,51
2022-08-31,39
2022-09-01,38
2022-09-02,41
2022-09-03,48
2022-09-04,47
2022-09-05,53
2022-09-06,53
2022-09-07,47
2022-09-08,37
2022-09-09,45
2022-09-10,50
2022-09-11,50
2022-09-12,47
2022-09-13,40
2022-09-14,33
2022-09-15,33
2022-09-16,33
2022-09-17,34
2022-09-18,40
2022-09-19,41
2022-09-20,34
2022-09-21,34
2022-09-22,46
2022-09-23,33
2022-09-24,35
2022-09-25,44
2022-09-26,39
2022-09-27,40
2022-09-28,43
2022-09-29,39
2022-09-30,42
2022-10-01,42
2022-10-02,37
2022-10-03,40
2022-10-04,39
2022-10-05,38
2022-10-06,31
2022-10-07,31
2022-10-08,34
2022-10-09,33
2022-10-10,32
2022-10-11,34
2022-10-12,46
2022-10-13,53
2022-10-14,35
2022-10-15,38
2022-10-16,41
2022-10-17,55
2022-10-18,42
2022-10-19,40
2022-10-20,36
2022-10-21,34
2022-10-22,38
2022-10-23,45
2022-10-24,58
2022-10-25,52
2022-10-26,44
2022-10-27,38
2022-10-28,47
2022-10-29,39
2022-10-30,36
2022-10-31,51
2022-11-01,51
2022-11-02,42
2022-11-03,44
2022-11-04,53
2022-11-05,50
2022-11-06,46
2022-11-07,55
2022-11-08,55
2022-11-09,48
2022-11-10,53
2022-11-11,70
2022-11-12,58
2022-11-13,52
2022-11-14,59
2022-11-15,66
2022-11-16,53
2022-11-17,52
2022-11-18,49
2022-11-19,59
2022-11-20,53
2022-11-21,58
2022-11-22,49
2022-11-23,49
2022-11-24,56
2022-11-25,60
2022-11-26,49
2022-11-27,56
2022-11-28,47
2022-11-29,54
2022-11-30,67
2022-12-01,56
2022-12-02,56
2022-12-03,64
2022-12-04,52
2022-12-05,55
2022-12-06,63
2022-12-07,60
2022-12-08,54
2022-12-09,52
2022-12-10,59
2022-12-11,71
2022-12-12,63
2022-12-13,60
2022-12-14,64
2022-12-15,68
2022-12-16,56
2022-12-17,55
2022-12-18,49
2022-12-19,61
2022-12-20,61
2022-12-21,63
2022-12-22,93
2022-12-23,100
2022-12-24,80
2022-12-25,64
2022-12-26,68
2022-12-27,70
2022-12-28,58
2022-12-29,65
2022-12-30,58
2022-12-31,66
2023-01-01,50
2023-01-02,69
2023-01-03,71
2023-01-04,70
2023-01-05,65
2023-01-06,54
2023-01-07,53
2023-01-08,57
2023-01-09,57
2023-01-10,59
2023-01-11,54
2023-01-12,67
2023-01-13,66
2023-01-14,71
2023-01-15,63
2023-01-16,70
2023-01-17,62
2023-01-18,61
2023-01-19,66
2023-01-20,50
2023-01-21,58
2023-01-22,60
2023-01-23,63
2023-01-24,68
2023-01-25,77
2023-01-26,52
2023-01-27,49
2023-01-28,57
2023-01-29,71
2023-01-30,78
2023-01-31,80
2023-02-01,70
2023-02-02,66
2023-02-03,65
2023-02-04,59
2023-02-05,59
2023-02-06,50
2023-02-07,54
2023-02-08,59
2023-02-09,55
2023-02-10,52
2023-02-11,56
2023-02-12,53
2023-02-13,50
2023-02-14,57
2023-02-15,57
2023-02-16,68
2023-02-17,63
2023-02-18,46
2023-02-19,45
2023-02-20,50
2023-02-21,62
2023-02-22,77
2023-02-23,64
2023-02-24,65
2023-02-25,76
2023-02-26,62
2023-02-27,79
2023-02-28,72
2023-03-01,70
2023-03-02,72
2023-03-03,68
2023-03-04,57
2023-03-05,58
2023-03-06,50
2023-03-07,49
2023-03-08,55
2023-03-09,62
2023-03-10,78
2023-03-11,68
2023-03-12,66
2023-03-13,72
2023-03-14,78
2023-03-15,70
2023-03-16,70
2023-03-17,66
2023-03-18,58
2023-03-19,65
2023-03-20,66
2023-03-21,73
2023-03-22,75
2023-03-23,72
2023-03-24,65
2023-03-25,62
2023-03-26,58
2023-03-27,69
2023-03-28,62
2023-03-29,70
2023-03-30,70
2023-03-31,61
2023-04-01,66
2023-04-02,52
2023-04-03,58
2023-04-04,55
2023-04-05,68
2023-04-06,75
2023-04-07,67
2023-04-08,57
2023-04-09,54
2023-04-10,54
2023-04-11,46
2023-04-12,53
2023-04-13,58
2023-04-14,63
2023-04-15,66
2023-04-16,59
2023-04-17,57
2023-04-18,51
2023-04-19,47
2023-04-20,55
2023-04-21,58
2023-04-22,67
2023-04-23,65
2023-04-24,55
2023-04-25,60
2023-04-26,68
2023-04-27,75
2023-04-28,75
2023-04-29,71
2023-04-30,66
2023-05-01,57
2023-05-02,59
2023-05-03,55
2023-05-04,67
2023-05-05,61
2023-05-06,57
2023-05-07,59
2023-05-08,62
2023-05-09,61
2023-05-10,54
2023-05-11,53
2023-05-12,59
2023-05-13,70
2023-05-14,60
2023-05-15,62
2023-05-16,59
2023-05-17,49
2023-05-18,51
2023-05-19,58
2023-05-20,68
2023-05-21,49
2023-05-22,44
2023-05-23,46
2023-05-24,54
2023-05-25,44
