Time,creighton basketball
2025-04-15,6
2025-04-16,5
2025-04-17,0
2025-04-18,3
2025-04-19,0
2025-04-20,5
2025-04-21,6
2025-04-22,0
2025-04-23,5
2025-04-24,3
2025-04-25,4
2025-04-26,0
2025-04-27,5
2025-04-28,9
2025-04-29,4
2025-04-30,4
2025-05-01,0
2025-05-02,4
2025-05-03,0
2025-05-04,0
2025-05-05,3
2025-05-06,3
2025-05-07,0
2025-05-08,3
2025-05-09,0
2025-05-10,0
2025-05-11,0
2025-05-12,0
2025-05-13,0
2025-05-14,0
2025-05-15,4
2025-05-16,5
2025-05-17,0
2025-05-18,0
2025-05-19,3
2025-05-20,3
2025-05-21,0
2025-05-22,0
2025-05-23,3
2025-05-24,5
2025-05-25,0
2025-05-26,0
2025-05-27,3
2025-05-28,0
2025-05-29,0
2025-05-30,4
2025-05-31,5
2025-06-01,5
2025-06-02,4
2025-06-03,0
2025-06-04,0
2025-06-05,4
2025-06-06,4
2025-06-07,4
2025-06-08,0
2025-06-09,0
2025-06-10,0
2025-06-11,0
2025-06-12,4
2025-06-13,4
2025-06-14,0
2025-06-15,5
2025-06-16,4
2025-06-17,4
2025-06-18,3
2025-06-19,0
2025-06-20,0
2025-06-21,0
2025-06-22,0
2025-06-23,0
2025-06-24,0
2025-06-25,3
2025-06-26,5
2025-06-27,7
2025-06-28,0
2025-06-29,0
2025-06-30,0
2025-07-01,3
2025-07-02,0
2025-07-03,0
2025-07-04,0
2025-07-05,0
2025-07-06,0
2025-07-07,0
2025-07-08,0
2025-07-09,0
2025-07-10,0
2025-07-11,0
2025-07-12,0
2025-07-13,0
2025-07-14,4
2025-07-15,0
2025-07-16,3
2025-07-17,5
2025-07-18,5
2025-07-19,0
2025-07-20,0
2025-07-21,3
2025-07-22,0
2025-07-23,0
2025-07-24,3
2025-07-25,0
2025-07-26,0
2025-07-27,0
2025-07-28,0
2025-07-29,0
2025-07-30,3
2025-07-31,0
2025-08-01,0
2025-08-02,0
2025-08-03,0
2025-08-04,0
2025-08-05,0
2025-08-06,3
2025-08-07,0
2025-08-08,0
2025-08-09,0
2025-08-10,0
2025-08-11,3
2025-08-12,3
2025-08-13,4
2025-08-14,0
2025-08-15,4
2025-08-16,5
2025-08-17,4
2025-08-18,3
2025-08-19,0
2025-08-20,0
2025-08-21,4
2025-08-22,0
2025-08-23,4
2025-08-24,0
2025-08-25,0
2025-08-26,0
2025-08-27,0
2025-08-28,0
2025-08-29,4
2025-08-30,0
2025-08-31,0
2025-09-01,0
2025-09-02,0
2025-09-03,5
2025-09-04,0
2025-09-05,0
2025-09-06,0
2025-09-07,0
2025-09-08,3
2025-09-09,0
2025-09-10,0
2025-09-11,4
2025-09-12,4
2025-09-13,5
2025-09-14,3
2025-09-15,4
2025-09-16,0
2025-09-17,3
2025-09-18,0
2025-09-19,3
2025-09-20,4
2025-09-21,0
2025-09-22,3
2025-09-23,0
2025-09-24,0
2025-09-25,0
2025-09-26,3
2025-09-27,0
2025-09-28,0
2025-09-29,0
2025-09-30,4
2025-10-01,4
2025-10-02,5
2025-10-03,4
2025-10-04,4
2025-10-05,0
2025-10-06,4
2025-10-07,3
2025-10-08,6
2025-10-09,4
2025-10-10,5
2025-10-11,4
2025-10-12,4
2025-10-13,8
2025-10-14,7
2025-10-15,6
2025-10-16,6
2025-10-17,23
2025-10-18,60
2025-10-19,11
2025-10-20,10
2025-10-21,8
2025-10-22,9
2025-10-23,8
2025-10-24,8
2025-10-25,25
2025-10-26,18
2025-10-27,7
2025-10-28,8
2025-10-29,7
2025-10-30,6
2025-10-31,8
2025-11-01,7
2025-11-02,6
2025-11-03,9
2025-11-04,22
2025-11-05,39
2025-11-06,70
2025-11-07,14
2025-11-08,16
2025-11-09,16
2025-11-10,16
2025-11-11,35
2025-11-12,98
2025-11-13,33
2025-11-14,24
2025-11-15,50
2025-11-16,13
2025-11-17,12
2025-11-18,12
2025-11-19,31
2025-11-20,48
2025-11-21,16
2025-11-22,18
2025-11-23,12
2025-11-24,74
2025-11-25,83
2025-11-26,29
2025-11-27,57
2025-11-28,15
2025-11-29,15
2025-11-30,11
2025-12-01,10
2025-12-02,19
2025-12-03,39
2025-12-04,16
2025-12-05,17
2025-12-06,23
2025-12-07,68
2025-12-08,36
2025-12-09,12
2025-12-10,10
2025-12-11,14
2025-12-12,13
2025-12-13,100
2025-12-14,28
2025-12-15,10
2025-12-16,10
2025-12-17,43
2025-12-18,47
2025-12-19,11
2025-12-20,35
2025-12-21,60
2025-12-22,27
2025-12-23,38
2025-12-24,7
2025-12-25,10
2025-12-26,9
2025-12-27,11
2025-12-28,13
2025-12-29,13
2025-12-30,25
2025-12-31,62
2026-01-01,16
2026-01-02,14
2026-01-03,25
2026-01-04,71
2026-01-05,12
2026-01-06,13
2026-01-07,29
2026-01-08,51
2026-01-09,18
