Time,creighton basketball
2023-04-26,3
2023-04-27,4
2023-04-28,2
2023-04-29,2
2023-04-30,2
2023-05-01,2
2023-05-02,3
2023-05-03,5
2023-05-04,4
2023-05-05,4
2023-05-06,2
2023-05-07,2
2023-05-08,2
2023-05-09,0
2023-05-10,3
2023-05-11,3
2023-05-12,3
2023-05-13,2
2023-05-14,3
2023-05-15,3
2023-05-16,2
2023-05-17,0
2023-05-18,2
2023-05-19,3
2023-05-20,0
2023-05-21,0
2023-05-22,3
2023-05-23,4
2023-05-24,2
2023-05-25,3
2023-05-26,0
2023-05-27,0
2023-05-28,0
2023-05-29,4
2023-05-30,4
2023-05-31,3
2023-06-01,4
2023-06-02,4
2023-06-03,0
2023-06-04,3
2023-06-05,2
2023-06-06,3
2023-06-07,3
2023-06-08,2
2023-06-09,3
2023-06-10,0
2023-06-11,3
2023-06-12,3
2023-06-13,0
2023-06-14,0
2023-06-15,0
2023-06-16,3
2023-06-17,0
2023-06-18,3
2023-06-19,3
2023-06-20,0
2023-06-21,0
2023-06-22,2
2023-06-23,0
2023-06-24,0
2023-06-25,0
2023-06-26,0
2023-06-27,0
2023-06-28,0
2023-06-29,2
2023-06-30,0
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,2
2023-07-07,0
2023-07-08,0
2023-07-09,0
2023-07-10,2
2023-07-11,3
2023-07-12,2
2023-07-13,0
2023-07-14,0
2023-07-15,0
2023-07-16,0
2023-07-17,2
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,3
2023-07-24,2
2023-07-25,2
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,3
2023-08-02,3
2023-08-03,0
2023-08-04,6
2023-08-05,4
2023-08-06,5
2023-08-07,4
2023-08-08,4
2023-08-09,3
2023-08-10,3
2023-08-11,2
2023-08-12,3
2023-08-13,0
2023-08-14,3
2023-08-15,2
2023-08-16,3
2023-08-17,0
2023-08-18,0
2023-08-19,3
2023-08-20,0
2023-08-21,0
2023-08-22,5
2023-08-23,2
2023-08-24,0
2023-08-25,0
2023-08-26,3
2023-08-27,0
2023-08-28,0
2023-08-29,0
2023-08-30,3
2023-08-31,0
2023-09-01,0
2023-09-02,0
2023-09-03,2
2023-09-04,0
2023-09-05,2
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,0
2023-09-10,0
2023-09-11,0
2023-09-12,0
2023-09-13,2
2023-09-14,0
2023-09-15,4
2023-09-16,4
2023-09-17,0
2023-09-18,0
2023-09-19,3
2023-09-20,3
2023-09-21,0
2023-09-22,3
2023-09-23,0
2023-09-24,3
2023-09-25,0
2023-09-26,3
2023-09-27,2
2023-09-28,3
2023-09-29,3
2023-09-30,2
2023-10-01,0
2023-10-02,3
2023-10-03,2
2023-10-04,3
2023-10-05,2
2023-10-06,0
2023-10-07,3
2023-10-08,0
2023-10-09,3
2023-10-10,3
2023-10-11,3
2023-10-12,2
2023-10-13,3
2023-10-14,2
2023-10-15,0
2023-10-16,5
2023-10-17,5
2023-10-18,4
2023-10-19,4
2023-10-20,0
2023-10-21,0
2023-10-22,3
2023-10-23,3
2023-10-24,4
2023-10-25,5
2023-10-26,7
2023-10-27,4
2023-10-28,2
2023-10-29,4
2023-10-30,8
2023-10-31,6
2023-11-01,8
2023-11-02,6
2023-11-03,15
2023-11-04,22
2023-11-05,6
2023-11-06,13
2023-11-07,38
2023-11-08,57
2023-11-09,15
2023-11-10,13
2023-11-11,47
2023-11-12,14
2023-11-13,14
2023-11-14,30
2023-11-15,90
2023-11-16,17
2023-11-17,17
2023-11-18,26
2023-11-19,52
2023-11-20,15
2023-11-21,14
2023-11-22,50
2023-11-23,80
2023-11-24,30
2023-11-25,16
2023-11-26,14
2023-11-27,15
2023-11-28,13
2023-11-29,14
2023-11-30,25
2023-12-01,50
2023-12-02,24
2023-12-03,69
2023-12-04,26
2023-12-05,11
2023-12-06,15
2023-12-07,15
2023-12-08,11
2023-12-09,41
2023-12-10,22
2023-12-11,11
2023-12-12,13
2023-12-13,22
2023-12-14,58
2023-12-15,14
2023-12-16,33
2023-12-17,89
2023-12-18,14
2023-12-19,12
2023-12-20,24
2023-12-21,68
2023-12-22,15
2023-12-23,18
2023-12-24,8
2023-12-25,4
2023-12-26,8
2023-12-27,9
2023-12-28,9
2023-12-29,10
2023-12-30,58
2023-12-31,16
2024-01-01,9
2024-01-02,21
2024-01-03,40
2024-01-04,25
2024-01-05,10
2024-01-06,61
2024-01-07,20
2024-01-08,10
2024-01-09,18
2024-01-10,43
2024-01-11,10
2024-01-12,12
2024-01-13,80
2024-01-14,20
2024-01-15,12
2024-01-16,12
2024-01-17,31
2024-01-18,49
2024-01-19,11
2024-01-20,100
