Time,academy
2025-04-15,65
2025-04-16,64
2025-04-17,62
2025-04-18,55
2025-04-19,46
2025-04-20,47
2025-04-21,61
2025-04-22,60
2025-04-23,63
2025-04-24,62
2025-04-25,59
2025-04-26,48
2025-04-27,46
2025-04-28,73
2025-04-29,66
2025-04-30,65
2025-05-01,66
2025-05-02,63
2025-05-03,53
2025-05-04,54
2025-05-05,64
2025-05-06,66
2025-05-07,66
2025-05-08,62
2025-05-09,62
2025-05-10,53
2025-05-11,49
2025-05-12,63
2025-05-13,65
2025-05-14,67
2025-05-15,66
2025-05-16,63
2025-05-17,52
2025-05-18,51
2025-05-19,65
2025-05-20,68
2025-05-21,65
2025-05-22,68
2025-05-23,63
2025-05-24,53
2025-05-25,51
2025-05-26,50
2025-05-27,61
2025-05-28,66
2025-05-29,65
2025-05-30,63
2025-05-31,54
2025-06-01,52
2025-06-02,67
2025-06-03,61
2025-06-04,60
2025-06-05,61
2025-06-06,59
2025-06-07,50
2025-06-08,50
2025-06-09,63
2025-06-10,60
2025-06-11,60
2025-06-12,61
2025-06-13,59
2025-06-14,51
2025-06-15,49
2025-06-16,57
2025-06-17,57
2025-06-18,60
2025-06-19,50
2025-06-20,53
2025-06-21,48
2025-06-22,43
2025-06-23,59
2025-06-24,55
2025-06-25,56
2025-06-26,54
2025-06-27,52
2025-06-28,47
2025-06-29,44
2025-06-30,53
2025-07-01,55
2025-07-02,51
2025-07-03,51
2025-07-04,46
2025-07-05,42
2025-07-06,47
2025-07-07,59
2025-07-08,61
2025-07-09,62
2025-07-10,60
2025-07-11,59
2025-07-12,52
2025-07-13,51
2025-07-14,63
2025-07-15,62
2025-07-16,59
2025-07-17,63
2025-07-18,55
2025-07-19,59
2025-07-20,58
2025-07-21,70
2025-07-22,67
2025-07-23,66
2025-07-24,63
2025-07-25,60
2025-07-26,59
2025-07-27,56
2025-07-28,71
2025-07-29,77
2025-07-30,79
2025-07-31,80
2025-08-01,76
2025-08-02,57
2025-08-03,54
2025-08-04,71
2025-08-05,76
2025-08-06,76
2025-08-07,74
2025-08-08,72
2025-08-09,64
2025-08-10,61
2025-08-11,79
2025-08-12,76
2025-08-13,78
2025-08-14,76
2025-08-15,71
2025-08-16,56
2025-08-17,54
2025-08-18,71
2025-08-19,70
2025-08-20,73
2025-08-21,70
2025-08-22,71
2025-08-23,55
2025-08-24,54
2025-08-25,76
2025-08-26,76
2025-08-27,75
2025-08-28,73
2025-08-29,65
2025-08-30,57
2025-08-31,48
2025-09-01,56
2025-09-02,74
2025-09-03,75
2025-09-04,72
2025-09-05,70
2025-09-06,55
2025-09-07,49
2025-09-08,73
2025-09-09,70
2025-09-10,66
2025-09-11,91
2025-09-12,100
2025-09-13,55
2025-09-14,47
2025-09-15,70
2025-09-16,69
2025-09-17,69
2025-09-18,68
2025-09-19,68
2025-09-20,55
2025-09-21,48
2025-09-22,65
2025-09-23,67
2025-09-24,67
2025-09-25,64
2025-09-26,66
2025-09-27,52
2025-09-28,46
2025-09-29,67
2025-09-30,67
2025-10-01,65
2025-10-02,62
2025-10-03,68
2025-10-04,51
2025-10-05,47
2025-10-06,58
2025-10-07,62
2025-10-08,65
2025-10-09,67
2025-10-10,65
2025-10-11,51
2025-10-12,47
2025-10-13,63
2025-10-14,66
2025-10-15,78
2025-10-16,62
2025-10-17,66
2025-10-18,50
2025-10-19,48
2025-10-20,67
2025-10-21,67
2025-10-22,67
2025-10-23,64
2025-10-24,62
2025-10-25,50
2025-10-26,46
2025-10-27,63
2025-10-28,62
2025-10-29,64
2025-10-30,62
2025-10-31,58
2025-11-01,52
2025-11-02,50
2025-11-03,67
2025-11-04,65
2025-11-05,67
2025-11-06,66
2025-11-07,67
2025-11-08,57
2025-11-09,52
2025-11-10,68
2025-11-11,65
2025-11-12,65
2025-11-13,68
2025-11-14,69
2025-11-15,57
2025-11-16,51
2025-11-17,68
2025-11-18,67
2025-11-19,69
2025-11-20,70
2025-11-21,72
2025-11-22,59
2025-11-23,53
2025-11-24,60
2025-11-25,62
2025-11-26,53
2025-11-27,51
2025-11-28,70
2025-11-29,60
2025-11-30,57
2025-12-01,70
2025-12-02,76
2025-12-03,72
2025-12-04,74
2025-12-05,72
2025-12-06,63
2025-12-07,59
2025-12-08,78
2025-12-09,71
2025-12-10,73
2025-12-11,75
2025-12-12,74
2025-12-13,69
2025-12-14,59
2025-12-15,73
2025-12-16,68
2025-12-17,74
2025-12-18,73
2025-12-19,68
2025-12-20,62
2025-12-21,54
2025-12-22,60
2025-12-23,59
2025-12-24,58
2025-12-25,42
2025-12-26,50
2025-12-27,51
2025-12-28,48
2025-12-29,53
2025-12-30,51
2025-12-31,49
2026-01-01,46
2026-01-02,54
2026-01-03,54
2026-01-04,54
2026-01-05,71
2026-01-06,73
2026-01-07,72
2026-01-08,74
2026-01-09,76
