Time,academy
2025-12-11,63
2025-12-12,63
2025-12-13,58
2025-12-14,50
2025-12-15,62
2025-12-16,57
2025-12-17,62
2025-12-18,62
2025-12-19,57
2025-12-20,52
2025-12-21,46
2025-12-22,51
2025-12-23,50
2025-12-24,49
2025-12-25,35
2025-12-26,42
2025-12-27,43
2025-12-28,41
2025-12-29,45
2025-12-30,43
2025-12-31,42
2026-01-01,39
2026-01-02,46
2026-01-03,46
2026-01-04,46
2026-01-05,60
2026-01-06,62
2026-01-07,61
2026-01-08,62
2026-01-09,64
2026-01-10,53
2026-01-11,50
2026-01-12,65
2026-01-13,66
2026-01-14,64
2026-01-15,68
2026-01-16,66
2026-01-17,56
2026-01-18,51
2026-01-19,57
2026-01-20,63
2026-01-21,70
2026-01-22,72
2026-01-23,65
2026-01-24,55
2026-01-25,55
2026-01-26,66
2026-01-27,66
2026-01-28,65
2026-01-29,68
2026-01-30,64
2026-01-31,59
2026-02-01,59
2026-02-02,68
2026-02-03,69
2026-02-04,66
2026-02-05,75
2026-02-06,68
2026-02-07,63
2026-02-08,55
2026-02-09,57
2026-02-10,63
2026-02-11,63
2026-02-12,62
2026-02-13,62
2026-02-14,56
2026-02-15,54
2026-02-16,66
2026-02-17,65
2026-02-18,62
2026-02-19,64
2026-02-20,62
2026-02-21,59
2026-02-22,57
2026-02-23,66
2026-02-24,63
2026-02-25,68
2026-02-26,70
2026-02-27,73
2026-02-28,52
2026-03-01,50
2026-03-02,69
2026-03-03,68
2026-03-04,65
2026-03-05,66
2026-03-06,61
2026-03-07,59
2026-03-08,54
2026-03-09,62
2026-03-10,61
2026-03-11,67
2026-03-12,69
2026-03-13,64
2026-03-14,61
2026-03-15,73
2026-03-16,100
2026-03-17,66
2026-03-18,67
2026-03-19,67
2026-03-20,64
2026-03-21,58
2026-03-22,55
2026-03-23,66
2026-03-24,64
2026-03-25,63
2026-03-26,62
2026-03-27,63
2026-03-28,55
2026-03-29,57
2026-03-30,64
2026-03-31,63
2026-04-01,62
2026-04-02,64
2026-04-03,58
2026-04-04,53
2026-04-05,51
2026-04-06,61
2026-04-07,62
2026-04-08,65
2026-04-09,70
2026-04-10,63
2026-04-11,58
2026-04-12,57
2026-04-13,68
2026-04-14,70
2026-04-15,70
2026-04-16,76
2026-04-17,76
2026-04-18,67
2026-04-19,61
2026-04-20,65
2026-04-21,68
2026-04-22,66
2026-04-23,64
2026-04-24,61
2026-04-25,56
2026-04-26,55
2026-04-27,65
2026-04-28,65
2026-04-29,64
2026-04-30,67
2026-05-01,66
2026-05-02,64
2026-05-03,59
2026-05-04,68
2026-05-05,67
2026-05-06,65
2026-05-07,68
2026-05-08,66
2026-05-09,62
2026-05-10,56
2026-05-11,64
2026-05-12,67
2026-05-13,73
2026-05-14,72
2026-05-15,72
2026-05-16,68
2026-05-17,65
2026-05-18,75
2026-05-19,72
2026-05-20,74
2026-05-21,70
2026-05-22,71
2026-05-23,64
2026-05-24,61
2026-05-25,64
2026-05-26,69
2026-05-27,67
2026-05-28,73
2026-05-29,69
2026-05-30,67
2026-05-31,72
