Time,piper rockelle
2022-01-01,93
2022-01-02,91
2022-01-03,74
2022-01-04,73
2022-01-05,64
2022-01-06,52
2022-01-07,56
2022-01-08,88
2022-01-09,100
2022-01-10,64
2022-01-11,57
2022-01-12,46
2022-01-13,39
2022-01-14,47
2022-01-15,85
2022-01-16,87
2022-01-17,78
2022-01-18,55
2022-01-19,47
2022-01-20,45
2022-01-21,51
2022-01-22,80
2022-01-23,88
2022-01-24,68
2022-01-25,41
2022-01-26,44
2022-01-27,40
2022-01-28,43
2022-01-29,74
2022-01-30,80
2022-01-31,51
2022-02-01,43
2022-02-02,38
2022-02-03,41
2022-02-04,56
2022-02-05,72
2022-02-06,63
2022-02-07,43
2022-02-08,33
2022-02-09,32
2022-02-10,31
2022-02-11,47
2022-02-12,54
2022-02-13,58
2022-02-14,37
2022-02-15,31
2022-02-16,30
2022-02-17,37
2022-02-18,50
2022-02-19,70
2022-02-20,67
2022-02-21,56
2022-02-22,38
2022-02-23,36
2022-02-24,33
2022-02-25,33
2022-02-26,53
2022-02-27,52
2022-02-28,28
2022-03-01,28
2022-03-02,33
2022-03-03,27
2022-03-04,34
2022-03-05,45
2022-03-06,50
2022-03-07,34
2022-03-08,28
2022-03-09,28
2022-03-10,30
2022-03-11,29
2022-03-12,46
2022-03-13,52
2022-03-14,39
2022-03-15,35
2022-03-16,28
2022-03-17,32
2022-03-18,40
2022-03-19,50
2022-03-20,60
2022-03-21,42
2022-03-22,37
2022-03-23,34
2022-03-24,39
2022-03-25,38
2022-03-26,48
2022-03-27,54
2022-03-28,44
2022-03-29,33
2022-03-30,29
2022-03-31,30
2022-04-01,33
2022-04-02,43
2022-04-03,49
2022-04-04,39
2022-04-05,53
2022-04-06,66
2022-04-07,83
2022-04-08,74
2022-04-09,78
2022-04-10,67
2022-04-11,45
2022-04-12,37
2022-04-13,40
2022-04-14,35
2022-04-15,40
2022-04-16,43
2022-04-17,49
2022-04-18,39
2022-04-19,35
2022-04-20,29
2022-04-21,29
2022-04-22,35
2022-04-23,48
2022-04-24,56
2022-04-25,34
2022-04-26,35
2022-04-27,31
2022-04-28,30
2022-04-29,32
2022-04-30,44
2022-05-01,44
2022-05-02,30
2022-05-03,30
2022-05-04,25
2022-05-05,28
2022-05-06,27
2022-05-07,39
2022-05-08,41
2022-05-09,30
2022-05-10,28
2022-05-11,24
2022-05-12,28
2022-05-13,31
2022-05-14,40
2022-05-15,46
2022-05-16,28
2022-05-17,28
2022-05-18,29
2022-05-19,25
2022-05-20,32
2022-05-21,40
2022-05-22,45
2022-05-23,26
2022-05-24,28
2022-05-25,25
2022-05-26,29
2022-05-27,42
2022-05-28,35
2022-05-29,45
2022-05-30,38
2022-05-31,35
2022-06-01,28
2022-06-02,30
2022-06-03,35
2022-06-04,37
2022-06-05,49
2022-06-06,38
2022-06-07,35
2022-06-08,31
2022-06-09,35
2022-06-10,37
2022-06-11,48
2022-06-12,46
2022-06-13,38
2022-06-14,38
2022-06-15,37
2022-06-16,39
2022-06-17,33
2022-06-18,46
2022-06-19,43
2022-06-20,36
2022-06-21,32
2022-06-22,35
2022-06-23,38
2022-06-24,36
2022-06-25,34
2022-06-26,32
2022-06-27,41
2022-06-28,41
2022-06-29,29
2022-06-30,35
2022-07-01,33
2022-07-02,33
2022-07-03,32
2022-07-04,37
2022-07-05,32
2022-07-06,34
2022-07-07,28
2022-07-08,30
2022-07-09,44
2022-07-10,40
2022-07-11,32
2022-07-12,36
2022-07-13,33
2022-07-14,31
2022-07-15,31
2022-07-16,34
2022-07-17,28
2022-07-18,32
2022-07-19,33
2022-07-20,34
2022-07-21,33
2022-07-22,37
2022-07-23,40
2022-07-24,48
2022-07-25,46
2022-07-26,43
2022-07-27,46
2022-07-28,42
2022-07-29,40
2022-07-30,45
2022-07-31,43
2022-08-01,36
2022-08-02,40
2022-08-03,39
2022-08-04,45
2022-08-05,40
2022-08-06,36
2022-08-07,41
2022-08-08,41
2022-08-09,40
2022-08-10,33
2022-08-11,39
2022-08-12,28
2022-08-13,38
2022-08-14,34
2022-08-15,34
2022-08-16,33
2022-08-17,29
2022-08-18,31
2022-08-19,29
2022-08-20,49
2022-08-21,70
2022-08-22,39
2022-08-23,39
2022-08-24,39
2022-08-25,27
2022-08-26,23
2022-08-27,44
2022-08-28,42
2022-08-29,24
2022-08-30,26
2022-08-31,19
2022-09-01,23
2022-09-02,26
2022-09-03,35
2022-09-04,38
2022-09-05,39
2022-09-06,19
2022-09-07,19
2022-09-08,25
2022-09-09,17
2022-09-10,33
2022-09-11,36
2022-09-12,21
2022-09-13,21
2022-09-14,22
2022-09-15,18
2022-09-16,24
2022-09-17,25
2022-09-18,34
2022-09-19,17
2022-09-20,17
2022-09-21,20
2022-09-22,20
2022-09-23,23
2022-09-24,26
2022-09-25,38
2022-09-26,24
2022-09-27,16
