Time,final four
2023-04-26,10
2023-04-27,11
2023-04-28,9
2023-04-29,7
2023-04-30,10
2023-05-01,11
2023-05-02,9
2023-05-03,11
2023-05-04,11
2023-05-05,10
2023-05-06,9
2023-05-07,9
2023-05-08,9
2023-05-09,10
2023-05-10,9
2023-05-11,9
2023-05-12,10
2023-05-13,9
2023-05-14,10
2023-05-15,12
2023-05-16,10
2023-05-17,11
2023-05-18,13
2023-05-19,14
2023-05-20,12
2023-05-21,17
2023-05-22,17
2023-05-23,14
2023-05-24,12
2023-05-25,16
2023-05-26,17
2023-05-27,32
2023-05-28,16
2023-05-29,13
2023-05-30,11
2023-05-31,11
2023-06-01,10
2023-06-02,7
2023-06-03,6
2023-06-04,8
2023-06-05,7
2023-06-06,6
2023-06-07,6
2023-06-08,9
2023-06-09,8
2023-06-10,9
2023-06-11,8
2023-06-12,7
2023-06-13,8
2023-06-14,9
2023-06-15,6
2023-06-16,6
2023-06-17,7
2023-06-18,8
2023-06-19,6
2023-06-20,6
2023-06-21,8
2023-06-22,5
2023-06-23,9
2023-06-24,6
2023-06-25,8
2023-06-26,6
2023-06-27,9
2023-06-28,6
2023-06-29,7
2023-06-30,5
2023-07-01,6
2023-07-02,5
2023-07-03,5
2023-07-04,7
2023-07-05,7
2023-07-06,10
2023-07-07,6
2023-07-08,5
2023-07-09,6
2023-07-10,4
2023-07-11,7
2023-07-12,5
2023-07-13,7
2023-07-14,5
2023-07-15,6
2023-07-16,6
2023-07-17,5
2023-07-18,7
2023-07-19,5
2023-07-20,6
2023-07-21,5
2023-07-22,6
2023-07-23,6
2023-07-24,6
2023-07-25,8
2023-07-26,6
2023-07-27,6
2023-07-28,7
2023-07-29,5
2023-07-30,6
2023-07-31,5
2023-08-01,5
2023-08-02,5
2023-08-03,4
2023-08-04,5
2023-08-05,6
2023-08-06,5
2023-08-07,5
2023-08-08,5
2023-08-09,4
2023-08-10,5
2023-08-11,5
2023-08-12,6
2023-08-13,5
2023-08-14,6
2023-08-15,6
2023-08-16,6
2023-08-17,5
2023-08-18,5
2023-08-19,6
2023-08-20,5
2023-08-21,6
2023-08-22,8
2023-08-23,5
2023-08-24,5
2023-08-25,7
2023-08-26,6
2023-08-27,6
2023-08-28,5
2023-08-29,6
2023-08-30,7
2023-08-31,8
2023-09-01,6
2023-09-02,6
2023-09-03,7
2023-09-04,6
2023-09-05,7
2023-09-06,6
2023-09-07,7
2023-09-08,7
2023-09-09,6
2023-09-10,8
2023-09-11,6
2023-09-12,7
2023-09-13,8
2023-09-14,6
2023-09-15,7
2023-09-16,6
2023-09-17,9
2023-09-18,8
2023-09-19,7
2023-09-20,7
2023-09-21,7
2023-09-22,7
2023-09-23,5
2023-09-24,6
2023-09-25,8
2023-09-26,7
2023-09-27,7
2023-09-28,7
2023-09-29,8
2023-09-30,7
2023-10-01,6
2023-10-02,8
2023-10-03,7
2023-10-04,8
2023-10-05,8
2023-10-06,9
2023-10-07,7
2023-10-08,8
2023-10-09,8
2023-10-10,10
2023-10-11,10
2023-10-12,9
2023-10-13,7
2023-10-14,8
2023-10-15,8
2023-10-16,12
2023-10-17,11
2023-10-18,10
2023-10-19,9
2023-10-20,8
2023-10-21,8
2023-10-22,9
2023-10-23,10
2023-10-24,8
2023-10-25,9
2023-10-26,11
2023-10-27,8
2023-10-28,8
2023-10-29,9
2023-10-30,12
2023-10-31,10
2023-11-01,10
2023-11-02,12
2023-11-03,10
2023-11-04,9
2023-11-05,10
2023-11-06,14
2023-11-07,18
2023-11-08,14
2023-11-09,11
2023-11-10,12
2023-11-11,13
2023-11-12,12
2023-11-13,12
2023-11-14,12
2023-11-15,14
2023-11-16,11
2023-11-17,11
2023-11-18,11
2023-11-19,11
2023-11-20,12
2023-11-21,9
2023-11-22,15
2023-11-23,12
2023-11-24,10
2023-11-25,14
2023-11-26,13
2023-11-27,13
2023-11-28,10
2023-11-29,16
2023-11-30,15
2023-12-01,13
2023-12-02,22
2023-12-03,100
2023-12-04,30
2023-12-05,17
2023-12-06,20
2023-12-07,16
2023-12-08,18
2023-12-09,22
2023-12-10,46
2023-12-11,27
2023-12-12,20
2023-12-13,23
2023-12-14,32
2023-12-15,49
2023-12-16,18
2023-12-17,15
2023-12-18,9
2023-12-19,9
2023-12-20,11
2023-12-21,13
2023-12-22,10
2023-12-23,14
2023-12-24,11
2023-12-25,8
2023-12-26,7
2023-12-27,10
2023-12-28,9
2023-12-29,11
2023-12-30,22
2023-12-31,13
2024-01-01,16
2024-01-02,17
2024-01-03,14
2024-01-04,12
2024-01-05,11
2024-01-06,14
2024-01-07,13
2024-01-08,12
2024-01-09,15
2024-01-10,14
2024-01-11,13
2024-01-12,13
2024-01-13,11
2024-01-14,12
2024-01-15,11
2024-01-16,12
2024-01-17,12
2024-01-18,17
2024-01-19,13
2024-01-20,14
