Time,siobhan
2025-12-11,81
2025-12-12,41
2025-12-13,56
2025-12-14,57
2025-12-15,57
2025-12-16,53
2025-12-17,75
2025-12-18,79
2025-12-19,53
2025-12-20,50
2025-12-21,47
2025-12-22,55
2025-12-23,61
2025-12-24,54
2025-12-25,64
2025-12-26,53
2025-12-27,51
2025-12-28,43
2025-12-29,51
2025-12-30,60
2025-12-31,65
2026-01-01,57
2026-01-02,64
2026-01-03,62
2026-01-04,61
2026-01-05,56
2026-01-06,80
2026-01-07,76
2026-01-08,52
2026-01-09,85
2026-01-10,82
2026-01-11,55
2026-01-12,42
2026-01-13,56
2026-01-14,75
2026-01-15,61
2026-01-16,66
2026-01-17,54
2026-01-18,59
2026-01-19,86
2026-01-20,49
2026-01-21,55
2026-01-22,87
2026-01-23,67
2026-01-24,47
2026-01-25,54
2026-01-26,61
2026-01-27,63
2026-01-28,70
2026-01-29,59
2026-01-30,57
2026-01-31,68
2026-02-01,91
2026-02-02,61
2026-02-03,65
2026-02-04,70
2026-02-05,84
2026-02-06,63
2026-02-07,76
2026-02-08,71
2026-02-09,52
2026-02-10,70
2026-02-11,55
2026-02-12,63
2026-02-13,62
2026-02-14,65
2026-02-15,99
2026-02-16,100
2026-02-17,86
2026-02-18,79
2026-02-19,73
2026-02-20,69
2026-02-21,74
2026-02-22,64
2026-02-23,82
2026-02-24,77
2026-02-25,82
2026-02-26,58
2026-02-27,66
2026-02-28,60
2026-03-01,49
2026-03-02,76
2026-03-03,54
2026-03-04,59
2026-03-05,63
2026-03-06,51
2026-03-07,66
2026-03-08,72
2026-03-09,52
2026-03-10,77
2026-03-11,70
2026-03-12,69
2026-03-13,59
2026-03-14,57
2026-03-15,75
2026-03-16,74
2026-03-17,69
2026-03-18,76
2026-03-19,85
2026-03-20,75
2026-03-21,66
2026-03-22,59
2026-03-23,66
2026-03-24,59
2026-03-25,78
2026-03-26,53
2026-03-27,57
2026-03-28,74
2026-03-29,86
2026-03-30,67
2026-03-31,77
2026-04-01,88
2026-04-02,70
2026-04-03,69
2026-04-04,69
2026-04-05,56
2026-04-06,73
2026-04-07,81
2026-04-08,76
2026-04-09,69
2026-04-10,60
2026-04-11,66
2026-04-12,82
2026-04-13,70
2026-04-14,75
2026-04-15,75
2026-04-16,63
2026-04-17,78
2026-04-18,66
2026-04-19,62
2026-04-20,84
2026-04-21,80
2026-04-22,55
2026-04-23,55
2026-04-24,71
2026-04-25,67
2026-04-26,77
2026-04-27,64
2026-04-28,70
2026-04-29,68
2026-04-30,77
2026-05-01,57
2026-05-02,59
2026-05-03,73
2026-05-04,68
2026-05-05,79
2026-05-06,58
2026-05-07,71
2026-05-08,62
2026-05-09,64
2026-05-10,65
2026-05-11,72
2026-05-12,66
2026-05-13,60
2026-05-14,78
2026-05-15,83
2026-05-16,77
2026-05-17,54
2026-05-18,61
2026-05-19,67
2026-05-20,58
2026-05-21,55
2026-05-22,59
2026-05-23,76
2026-05-24,63
2026-05-25,74
2026-05-26,73
2026-05-27,78
2026-05-28,69
2026-05-29,71
2026-05-30,57
2026-05-31,68
