Time,epic
2023-12-22,60
2023-12-23,52
2023-12-24,55
2023-12-25,98
2023-12-26,81
2023-12-27,63
2023-12-28,72
2023-12-29,56
2023-12-30,53
2023-12-31,55
2024-01-01,53
2024-01-02,59
2024-01-03,67
2024-01-04,79
2024-01-05,80
2024-01-06,48
2024-01-07,46
2024-01-08,76
2024-01-09,73
2024-01-10,83
2024-01-11,83
2024-01-12,83
2024-01-13,43
2024-01-14,43
2024-01-15,43
2024-01-16,63
2024-01-17,74
2024-01-18,83
2024-01-19,79
2024-01-20,41
2024-01-21,39
2024-01-22,76
2024-01-23,81
2024-01-24,81
2024-01-25,89
2024-01-26,91
2024-01-27,39
2024-01-28,37
2024-01-29,81
2024-01-30,98
2024-01-31,92
2024-02-01,90
2024-02-02,89
2024-02-03,40
2024-02-04,41
2024-02-05,81
2024-02-06,88
2024-02-07,88
2024-02-08,98
2024-02-09,92
2024-02-10,44
2024-02-11,41
2024-02-12,69
2024-02-13,76
2024-02-14,71
2024-02-15,86
2024-02-16,77
2024-02-17,41
2024-02-18,38
2024-02-19,47
2024-02-20,74
2024-02-21,78
2024-02-22,84
2024-02-23,87
2024-02-24,37
2024-02-25,40
2024-02-26,78
2024-02-27,83
2024-02-28,79
2024-02-29,80
2024-03-01,86
2024-03-02,37
2024-03-03,37
2024-03-04,80
2024-03-05,77
2024-03-06,81
2024-03-07,82
2024-03-08,100
2024-03-09,61
2024-03-10,39
2024-03-11,70
2024-03-12,70
2024-03-13,70
2024-03-14,73
2024-03-15,68
2024-03-16,36
2024-03-17,36
2024-03-18,72
2024-03-19,76
2024-03-20,74
2024-03-21,74
2024-03-22,74
2024-03-23,35
2024-03-24,36
2024-03-25,66
2024-03-26,67
2024-03-27,67
2024-03-28,68
2024-03-29,45
2024-03-30,33
2024-03-31,37
2024-04-01,53
2024-04-02,63
2024-04-03,60
2024-04-04,65
2024-04-05,69
2024-04-06,35
2024-04-07,34
2024-04-08,56
2024-04-09,71
2024-04-10,68
2024-04-11,75
2024-04-12,80
2024-04-13,35
2024-04-14,33
2024-04-15,73
2024-04-16,69
2024-04-17,68
2024-04-18,74
2024-04-19,76
2024-04-20,31
2024-04-21,28
2024-04-22,67
2024-04-23,67
2024-04-24,69
2024-04-25,73
2024-04-26,72
2024-04-27,32
2024-04-28,31
2024-04-29,70
2024-04-30,73
2024-05-01,71
2024-05-02,76
2024-05-03,76
2024-05-04,30
2024-05-05,29
2024-05-06,72
2024-05-07,75
2024-05-08,72
2024-05-09,78
2024-05-10,70
2024-05-11,27
2024-05-12,31
2024-05-13,75
2024-05-14,75
2024-05-15,73
2024-05-16,78
2024-05-17,73
2024-05-18,34
2024-05-19,31
2024-05-20,68
2024-05-21,65
2024-05-22,62
2024-05-23,63
2024-05-24,57
2024-05-25,34
2024-05-26,33
2024-05-27,34
2024-05-28,56
2024-05-29,53
2024-05-30,56
2024-05-31,50
2024-06-01,32
2024-06-02,32
2024-06-03,51
2024-06-04,48
2024-06-05,48
2024-06-06,49
2024-06-07,38
2024-06-08,31
2024-06-09,31
2024-06-10,42
2024-06-11,45
2024-06-12,41
2024-06-13,42
2024-06-14,35
2024-06-15,31
2024-06-16,29
2024-06-17,31
2024-06-18,37
2024-06-19,30
2024-06-20,33
2024-06-21,34
2024-06-22,33
2024-06-23,30
2024-06-24,32
2024-06-25,31
2024-06-26,31
2024-06-27,33
2024-06-28,32
2024-06-29,28
2024-06-30,29
2024-07-01,31
2024-07-02,29
2024-07-03,30
2024-07-04,31
2024-07-05,31
2024-07-06,28
2024-07-07,31
2024-07-08,31
2024-07-09,39
2024-07-10,30
2024-07-11,31
2024-07-12,31
2024-07-13,29
2024-07-14,26
2024-07-15,27
2024-07-16,31
2024-07-17,30
2024-07-18,32
2024-07-19,34
2024-07-20,29
2024-07-21,30
2024-07-22,28
2024-07-23,30
2024-07-24,30
2024-07-25,33
2024-07-26,33
2024-07-27,33
2024-07-28,34
2024-07-29,36
2024-07-30,34
2024-07-31,34
2024-08-01,36
2024-08-02,35
2024-08-03,33
2024-08-04,34
2024-08-05,33
2024-08-06,35
2024-08-07,37
2024-08-08,40
2024-08-09,44
2024-08-10,30
2024-08-11,34
2024-08-12,45
2024-08-13,48
2024-08-14,51
2024-08-15,58
2024-08-16,81
2024-08-17,61
2024-08-18,48
2024-08-19,64
2024-08-20,71
2024-08-21,68
2024-08-22,69
2024-08-23,78
2024-08-24,36
2024-08-25,36
2024-08-26,70
2024-08-27,77
2024-08-28,75
2024-08-29,81
2024-08-30,86
2024-08-31,39
2024-09-01,41
2024-09-02,49
2024-09-03,79
2024-09-04,80
2024-09-05,88
2024-09-06,90
2024-09-07,35
2024-09-08,34
2024-09-09,81
2024-09-10,86
2024-09-11,82
2024-09-12,89
2024-09-13,95
2024-09-14,36
2024-09-15,31
2024-09-16,76
