Time,epic
2023-04-26,66
2023-04-27,66
2023-04-28,68
2023-04-29,29
2023-04-30,29
2023-05-01,71
2023-05-02,64
2023-05-03,66
2023-05-04,70
2023-05-05,68
2023-05-06,28
2023-05-07,27
2023-05-08,68
2023-05-09,66
2023-05-10,68
2023-05-11,75
2023-05-12,67
2023-05-13,27
2023-05-14,27
2023-05-15,66
2023-05-16,66
2023-05-17,65
2023-05-18,72
2023-05-19,66
2023-05-20,29
2023-05-21,26
2023-05-22,62
2023-05-23,57
2023-05-24,56
2023-05-25,63
2023-05-26,52
2023-05-27,31
2023-05-28,30
2023-05-29,32
2023-05-30,53
2023-05-31,49
2023-06-01,49
2023-06-02,47
2023-06-03,31
2023-06-04,29
2023-06-05,46
2023-06-06,43
2023-06-07,43
2023-06-08,42
2023-06-09,45
2023-06-10,34
2023-06-11,28
2023-06-12,40
2023-06-13,39
2023-06-14,37
2023-06-15,38
2023-06-16,37
2023-06-17,29
2023-06-18,29
2023-06-19,29
2023-06-20,33
2023-06-21,34
2023-06-22,30
2023-06-23,30
2023-06-24,26
2023-06-25,26
2023-06-26,30
2023-06-27,30
2023-06-28,29
2023-06-29,31
2023-06-30,29
2023-07-01,25
2023-07-02,26
2023-07-03,28
2023-07-04,26
2023-07-05,26
2023-07-06,28
2023-07-07,27
2023-07-08,29
2023-07-09,27
2023-07-10,29
2023-07-11,29
2023-07-12,28
2023-07-13,29
2023-07-14,29
2023-07-15,28
2023-07-16,30
2023-07-17,29
2023-07-18,30
2023-07-19,29
2023-07-20,32
2023-07-21,33
2023-07-22,30
2023-07-23,29
2023-07-24,30
2023-07-25,31
2023-07-26,31
2023-07-27,28
2023-07-28,30
2023-07-29,28
2023-07-30,28
2023-07-31,30
2023-08-01,29
2023-08-02,29
2023-08-03,32
2023-08-04,32
2023-08-05,26
2023-08-06,28
2023-08-07,32
2023-08-08,33
2023-08-09,36
2023-08-10,39
2023-08-11,40
2023-08-12,28
2023-08-13,29
2023-08-14,39
2023-08-15,44
2023-08-16,48
2023-08-17,56
2023-08-18,57
2023-08-19,26
2023-08-20,28
2023-08-21,51
2023-08-22,57
2023-08-23,59
2023-08-24,61
2023-08-25,68
2023-08-26,28
2023-08-27,30
2023-08-28,60
2023-08-29,62
2023-08-30,63
2023-08-31,67
2023-09-01,71
2023-09-02,31
2023-09-03,33
2023-09-04,36
2023-09-05,66
2023-09-06,67
2023-09-07,71
2023-09-08,74
2023-09-09,27
2023-09-10,27
2023-09-11,64
2023-09-12,73
2023-09-13,77
2023-09-14,79
2023-09-15,78
2023-09-16,29
2023-09-17,26
2023-09-18,65
2023-09-19,72
2023-09-20,74
2023-09-21,83
2023-09-22,91
2023-09-23,30
2023-09-24,28
2023-09-25,64
2023-09-26,71
2023-09-27,75
2023-09-28,82
2023-09-29,82
2023-09-30,29
2023-10-01,27
2023-10-02,65
2023-10-03,71
2023-10-04,67
2023-10-05,72
2023-10-06,70
2023-10-07,27
2023-10-08,27
2023-10-09,49
2023-10-10,66
2023-10-11,70
2023-10-12,69
2023-10-13,65
2023-10-14,27
2023-10-15,25
2023-10-16,63
2023-10-17,68
2023-10-18,66
2023-10-19,72
2023-10-20,70
2023-10-21,26
2023-10-22,25
2023-10-23,66
2023-10-24,71
2023-10-25,69
2023-10-26,69
2023-10-27,72
2023-10-28,28
2023-10-29,26
2023-10-30,63
2023-10-31,59
2023-11-01,66
2023-11-02,75
2023-11-03,94
2023-11-04,51
2023-11-05,46
2023-11-06,78
2023-11-07,76
2023-11-08,77
2023-11-09,82
2023-11-10,72
2023-11-11,45
2023-11-12,42
2023-11-13,80
2023-11-14,78
2023-11-15,80
2023-11-16,83
2023-11-17,80
2023-11-18,56
2023-11-19,40
2023-11-20,64
2023-11-21,55
2023-11-22,42
2023-11-23,38
2023-11-24,43
2023-11-25,44
2023-11-26,40
2023-11-27,72
2023-11-28,78
2023-11-29,78
2023-11-30,82
2023-12-01,83
2023-12-02,88
2023-12-03,87
2023-12-04,93
2023-12-05,88
2023-12-06,86
2023-12-07,100
2023-12-08,93
2023-12-09,53
2023-12-10,50
2023-12-11,77
2023-12-12,78
2023-12-13,86
2023-12-14,85
2023-12-15,78
2023-12-16,44
2023-12-17,44
2023-12-18,69
2023-12-19,70
2023-12-20,65
2023-12-21,69
2023-12-22,57
2023-12-23,49
2023-12-24,52
2023-12-25,93
2023-12-26,77
2023-12-27,60
2023-12-28,68
2023-12-29,53
2023-12-30,50
2023-12-31,52
2024-01-01,50
2024-01-02,56
2024-01-03,64
2024-01-04,75
2024-01-05,76
2024-01-06,46
2024-01-07,44
2024-01-08,72
2024-01-09,70
2024-01-10,79
2024-01-11,79
2024-01-12,79
2024-01-13,41
2024-01-14,41
2024-01-15,41
2024-01-16,60
2024-01-17,70
2024-01-18,79
2024-01-19,75
2024-01-20,39
