Time,last of us
2023-12-22,36
2023-12-23,39
2023-12-24,43
2023-12-25,47
2023-12-26,50
2023-12-27,51
2023-12-28,50
2023-12-29,51
2023-12-30,50
2023-12-31,53
2024-01-01,58
2024-01-02,51
2024-01-03,46
2024-01-04,48
2024-01-05,45
2024-01-06,55
2024-01-07,73
2024-01-08,73
2024-01-09,74
2024-01-10,93
2024-01-11,75
2024-01-12,67
2024-01-13,65
2024-01-14,67
2024-01-15,64
2024-01-16,82
2024-01-17,73
2024-01-18,69
2024-01-19,93
2024-01-20,100
2024-01-21,93
2024-01-22,71
2024-01-23,64
2024-01-24,61
2024-01-25,58
2024-01-26,56
2024-01-27,66
2024-01-28,68
2024-01-29,53
2024-01-30,48
2024-01-31,48
2024-02-01,48
2024-02-02,54
2024-02-03,78
2024-02-04,75
2024-02-05,56
2024-02-06,48
2024-02-07,46
2024-02-08,44
2024-02-09,44
2024-02-10,54
2024-02-11,55
2024-02-12,40
2024-02-13,42
2024-02-14,41
2024-02-15,41
2024-02-16,41
2024-02-17,47
2024-02-18,54
2024-02-19,52
2024-02-20,42
2024-02-21,42
2024-02-22,41
2024-02-23,37
2024-02-24,42
2024-02-25,68
2024-02-26,56
2024-02-27,46
2024-02-28,40
2024-02-29,38
2024-03-01,43
2024-03-02,48
2024-03-03,49
2024-03-04,42
2024-03-05,36
2024-03-06,34
2024-03-07,32
2024-03-08,34
2024-03-09,37
2024-03-10,39
2024-03-11,35
2024-03-12,32
2024-03-13,31
2024-03-14,32
2024-03-15,30
2024-03-16,37
2024-03-17,40
2024-03-18,37
2024-03-19,32
2024-03-20,34
2024-03-21,31
2024-03-22,29
2024-03-23,37
2024-03-24,41
2024-03-25,34
2024-03-26,34
2024-03-27,33
2024-03-28,32
2024-03-29,31
2024-03-30,35
2024-03-31,37
2024-04-01,32
2024-04-02,31
2024-04-03,32
2024-04-04,29
2024-04-05,31
2024-04-06,31
2024-04-07,38
2024-04-08,35
2024-04-09,30
2024-04-10,32
2024-04-11,32
2024-04-12,33
2024-04-13,35
2024-04-14,39
2024-04-15,35
2024-04-16,33
2024-04-17,29
2024-04-18,31
2024-04-19,32
2024-04-20,35
2024-04-21,39
2024-04-22,35
2024-04-23,32
2024-04-24,38
2024-04-25,34
2024-04-26,30
2024-04-27,32
2024-04-28,37
2024-04-29,32
2024-04-30,32
2024-05-01,31
2024-05-02,31
2024-05-03,26
2024-05-04,31
2024-05-05,36
2024-05-06,34
2024-05-07,28
2024-05-08,26
2024-05-09,26
2024-05-10,26
2024-05-11,26
2024-05-12,42
2024-05-13,34
2024-05-14,35
2024-05-15,40
2024-05-16,42
2024-05-17,34
2024-05-18,37
2024-05-19,41
2024-05-20,34
2024-05-21,32
2024-05-22,29
2024-05-23,32
2024-05-24,37
2024-05-25,39
2024-05-26,36
2024-05-27,40
2024-05-28,35
2024-05-29,32
2024-05-30,31
2024-05-31,28
2024-06-01,34
2024-06-02,40
2024-06-03,32
2024-06-04,33
2024-06-05,34
2024-06-06,33
2024-06-07,32
2024-06-08,33
2024-06-09,37
2024-06-10,36
2024-06-11,31
2024-06-12,29
2024-06-13,31
2024-06-14,28
2024-06-15,33
2024-06-16,39
2024-06-17,38
2024-06-18,34
2024-06-19,35
2024-06-20,33
2024-06-21,31
2024-06-22,36
2024-06-23,40
2024-06-24,36
2024-06-25,31
2024-06-26,30
2024-06-27,30
2024-06-28,28
2024-06-29,35
2024-06-30,34
2024-07-01,32
2024-07-02,30
2024-07-03,28
2024-07-04,35
2024-07-05,29
2024-07-06,30
2024-07-07,34
2024-07-08,30
2024-07-09,32
2024-07-10,33
2024-07-11,30
2024-07-12,28
2024-07-13,32
2024-07-14,34
2024-07-15,31
2024-07-16,30
2024-07-17,27
2024-07-18,26
2024-07-19,27
2024-07-20,28
2024-07-21,36
2024-07-22,30
2024-07-23,29
2024-07-24,29
2024-07-25,27
2024-07-26,27
2024-07-27,29
2024-07-28,35
2024-07-29,29
2024-07-30,26
2024-07-31,26
2024-08-01,25
2024-08-02,26
2024-08-03,27
2024-08-04,35
2024-08-05,61
2024-08-06,39
2024-08-07,38
2024-08-08,36
2024-08-09,36
2024-08-10,42
2024-08-11,43
2024-08-12,36
2024-08-13,33
2024-08-14,33
2024-08-15,31
2024-08-16,35
2024-08-17,42
2024-08-18,41
2024-08-19,34
2024-08-20,32
2024-08-21,31
2024-08-22,30
2024-08-23,29
2024-08-24,33
2024-08-25,39
2024-08-26,31
2024-08-27,30
2024-08-28,29
2024-08-29,29
2024-08-30,28
2024-08-31,29
2024-09-01,36
2024-09-02,35
2024-09-03,27
2024-09-04,28
2024-09-05,25
2024-09-06,27
2024-09-07,33
2024-09-08,32
2024-09-09,30
2024-09-10,28
2024-09-11,27
2024-09-12,27
2024-09-13,34
2024-09-14,37
2024-09-15,45
2024-09-16,35
