Time,lia thomas
2023-04-26,95
2023-04-27,95
2023-04-28,55
2023-04-29,33
2023-04-30,26
2023-05-01,21
2023-05-02,23
2023-05-03,16
2023-05-04,15
2023-05-05,14
2023-05-06,19
2023-05-07,18
2023-05-08,17
2023-05-09,14
2023-05-10,12
2023-05-11,14
2023-05-12,32
2023-05-13,25
2023-05-14,19
2023-05-15,16
2023-05-16,21
2023-05-17,15
2023-05-18,15
2023-05-19,14
2023-05-20,10
2023-05-21,12
2023-05-22,12
2023-05-23,17
2023-05-24,18
2023-05-25,11
2023-05-26,11
2023-05-27,10
2023-05-28,12
2023-05-29,10
2023-05-30,11
2023-05-31,5
2023-06-01,9
2023-06-02,10
2023-06-03,13
2023-06-04,14
2023-06-05,11
2023-06-06,31
2023-06-07,23
2023-06-08,16
2023-06-09,14
2023-06-10,9
2023-06-11,14
2023-06-12,18
2023-06-13,9
2023-06-14,17
2023-06-15,15
2023-06-16,11
2023-06-17,11
2023-06-18,11
2023-06-19,13
2023-06-20,21
2023-06-21,26
2023-06-22,25
2023-06-23,24
2023-06-24,25
2023-06-25,29
2023-06-26,38
2023-06-27,28
2023-06-28,18
2023-06-29,14
2023-06-30,20
2023-07-01,17
2023-07-02,19
2023-07-03,11
2023-07-04,11
2023-07-05,15
2023-07-06,10
2023-07-07,12
2023-07-08,9
2023-07-09,7
2023-07-10,10
2023-07-11,6
2023-07-12,8
2023-07-13,11
2023-07-14,9
2023-07-15,12
2023-07-16,16
2023-07-17,21
2023-07-18,27
2023-07-19,29
2023-07-20,20
2023-07-21,13
2023-07-22,27
2023-07-23,20
2023-07-24,18
2023-07-25,15
2023-07-26,13
2023-07-27,20
2023-07-28,27
2023-07-29,23
2023-07-30,16
2023-07-31,15
2023-08-01,10
2023-08-02,20
2023-08-03,28
2023-08-04,39
2023-08-05,59
2023-08-06,93
2023-08-07,92
2023-08-08,43
2023-08-09,24
2023-08-10,16
2023-08-11,15
2023-08-12,15
2023-08-13,13
2023-08-14,9
2023-08-15,12
2023-08-16,12
2023-08-17,9
2023-08-18,12
2023-08-19,10
2023-08-20,9
2023-08-21,12
2023-08-22,17
2023-08-23,24
2023-08-24,10
2023-08-25,11
2023-08-26,14
2023-08-27,17
2023-08-28,17
2023-08-29,24
2023-08-30,18
2023-08-31,19
2023-09-01,21
2023-09-02,27
2023-09-03,100
2023-09-04,36
2023-09-05,13
2023-09-06,10
2023-09-07,10
2023-09-08,9
2023-09-09,16
2023-09-10,21
2023-09-11,42
2023-09-12,71
2023-09-13,30
2023-09-14,12
2023-09-15,19
2023-09-16,11
2023-09-17,7
2023-09-18,7
2023-09-19,11
2023-09-20,7
2023-09-21,8
2023-09-22,4
2023-09-23,8
2023-09-24,7
2023-09-25,8
2023-09-26,8
2023-09-27,6
2023-09-28,9
2023-09-29,14
2023-09-30,6
2023-10-01,9
2023-10-02,5
2023-10-03,7
2023-10-04,5
2023-10-05,9
2023-10-06,10
2023-10-07,9
2023-10-08,11
2023-10-09,7
2023-10-10,7
2023-10-11,11
2023-10-12,7
2023-10-13,5
2023-10-14,5
2023-10-15,9
2023-10-16,9
2023-10-17,13
2023-10-18,10
2023-10-19,11
2023-10-20,11
2023-10-21,10
2023-10-22,21
2023-10-23,30
2023-10-24,16
2023-10-25,10
2023-10-26,10
2023-10-27,14
2023-10-28,18
2023-10-29,27
2023-10-30,31
2023-10-31,20
2023-11-01,20
2023-11-02,13
2023-11-03,12
2023-11-04,10
2023-11-05,13
2023-11-06,11
2023-11-07,13
2023-11-08,10
2023-11-09,17
2023-11-10,19
2023-11-11,8
2023-11-12,31
2023-11-13,18
2023-11-14,12
2023-11-15,10
2023-11-16,27
2023-11-17,50
2023-11-18,23
2023-11-19,21
2023-11-20,20
2023-11-21,20
2023-11-22,17
2023-11-23,14
2023-11-24,18
2023-11-25,30
2023-11-26,20
2023-11-27,13
2023-11-28,17
2023-11-29,12
2023-11-30,38
2023-12-01,73
2023-12-02,33
2023-12-03,50
2023-12-04,62
2023-12-05,55
2023-12-06,59
2023-12-07,15
2023-12-08,19
2023-12-09,21
2023-12-10,19
2023-12-11,19
2023-12-12,17
2023-12-13,8
2023-12-14,10
2023-12-15,9
2023-12-16,8
2023-12-17,10
2023-12-18,7
2023-12-19,8
2023-12-20,10
2023-12-21,6
2023-12-22,5
2023-12-23,9
2023-12-24,9
2023-12-25,8
2023-12-26,4
2023-12-27,12
2023-12-28,23
2023-12-29,27
2023-12-30,17
2023-12-31,8
2024-01-01,11
2024-01-02,8
2024-01-03,8
2024-01-04,13
2024-01-05,19
2024-01-06,12
2024-01-07,7
2024-01-08,26
2024-01-09,25
2024-01-10,27
2024-01-11,33
2024-01-12,39
2024-01-13,14
2024-01-14,25
2024-01-15,62
2024-01-16,73
2024-01-17,91
2024-01-18,59
2024-01-19,37
2024-01-20,28
