Time,lia thomas
2023-12-22,2
2023-12-23,4
2023-12-24,4
2023-12-25,3
2023-12-26,2
2023-12-27,5
2023-12-28,10
2023-12-29,11
2023-12-30,7
2023-12-31,3
2024-01-01,4
2024-01-02,3
2024-01-03,3
2024-01-04,5
2024-01-05,8
2024-01-06,5
2024-01-07,3
2024-01-08,11
2024-01-09,10
2024-01-10,11
2024-01-11,14
2024-01-12,16
2024-01-13,6
2024-01-14,10
2024-01-15,26
2024-01-16,30
2024-01-17,38
2024-01-18,25
2024-01-19,15
2024-01-20,12
2024-01-21,8
2024-01-22,8
2024-01-23,4
2024-01-24,4
2024-01-25,3
2024-01-26,14
2024-01-27,30
2024-01-28,21
2024-01-29,5
2024-01-30,3
2024-01-31,5
2024-02-01,5
2024-02-02,5
2024-02-03,4
2024-02-04,3
2024-02-05,3
2024-02-06,3
2024-02-07,3
2024-02-08,7
2024-02-09,5
2024-02-10,10
2024-02-11,7
2024-02-12,2
2024-02-13,3
2024-02-14,4
2024-02-15,2
2024-02-16,3
2024-02-17,3
2024-02-18,5
2024-02-19,3
2024-02-20,3
2024-02-21,3
2024-02-22,4
2024-02-23,2
2024-02-24,4
2024-02-25,5
2024-02-26,18
2024-02-27,34
2024-02-28,4
2024-02-29,3
2024-03-01,5
2024-03-02,4
2024-03-03,3
2024-03-04,4
2024-03-05,3
2024-03-06,9
2024-03-07,25
2024-03-08,27
2024-03-09,13
2024-03-10,12
2024-03-11,27
2024-03-12,33
2024-03-13,53
2024-03-14,35
2024-03-15,33
2024-03-16,17
2024-03-17,52
2024-03-18,59
2024-03-19,48
2024-03-20,26
2024-03-21,19
2024-03-22,29
2024-03-23,31
2024-03-24,33
2024-03-25,44
2024-03-26,32
2024-03-27,21
2024-03-28,16
2024-03-29,21
2024-03-30,20
2024-03-31,21
2024-04-01,22
2024-04-02,23
2024-04-03,18
2024-04-04,16
2024-04-05,27
2024-04-06,36
2024-04-07,19
2024-04-08,13
2024-04-09,12
2024-04-10,13
2024-04-11,17
2024-04-12,17
2024-04-13,18
2024-04-14,16
2024-04-15,19
2024-04-16,14
2024-04-17,14
2024-04-18,9
2024-04-19,11
2024-04-20,11
2024-04-21,9
2024-04-22,9
2024-04-23,6
2024-04-24,7
2024-04-25,6
2024-04-26,5
2024-04-27,14
2024-04-28,18
2024-04-29,30
2024-04-30,18
2024-05-01,19
2024-05-02,16
2024-05-03,10
2024-05-04,9
2024-05-05,13
2024-05-06,8
2024-05-07,7
2024-05-08,7
2024-05-09,6
2024-05-10,5
2024-05-11,5
2024-05-12,8
2024-05-13,7
2024-05-14,8
2024-05-15,6
2024-05-16,6
2024-05-17,5
2024-05-18,7
2024-05-19,3
2024-05-20,5
2024-05-21,6
2024-05-22,4
2024-05-23,6
2024-05-24,4
2024-05-25,3
2024-05-26,5
2024-05-27,3
2024-05-28,4
2024-05-29,5
2024-05-30,3
2024-05-31,5
2024-06-01,5
2024-06-02,6
2024-06-03,4
2024-06-04,5
2024-06-05,4
2024-06-06,3
2024-06-07,5
2024-06-08,5
2024-06-09,5
2024-06-10,5
2024-06-11,7
2024-06-12,31
2024-06-13,87
2024-06-14,58
2024-06-15,44
2024-06-16,32
2024-06-17,33
2024-06-18,31
2024-06-19,33
2024-06-20,29
2024-06-21,33
2024-06-22,53
2024-06-23,100
2024-06-24,50
2024-06-25,16
2024-06-26,18
2024-06-27,20
2024-06-28,26
2024-06-29,21
2024-06-30,15
2024-07-01,14
2024-07-02,15
2024-07-03,14
2024-07-04,16
2024-07-05,10
2024-07-06,11
2024-07-07,11
2024-07-08,14
2024-07-09,8
2024-07-10,7
2024-07-11,5
2024-07-12,5
2024-07-13,5
2024-07-14,9
2024-07-15,8
2024-07-16,8
2024-07-17,11
2024-07-18,8
2024-07-19,10
2024-07-20,9
2024-07-21,7
2024-07-22,4
2024-07-23,7
2024-07-24,6
2024-07-25,7
2024-07-26,12
2024-07-27,17
2024-07-28,18
2024-07-29,13
2024-07-30,13
2024-07-31,14
2024-08-01,35
2024-08-02,33
2024-08-03,20
2024-08-04,17
2024-08-05,12
2024-08-06,7
2024-08-07,6
2024-08-08,6
2024-08-09,7
2024-08-10,6
2024-08-11,6
2024-08-12,7
2024-08-13,2
2024-08-14,3
2024-08-15,3
2024-08-16,3
2024-08-17,3
2024-08-18,6
2024-08-19,2
2024-08-20,3
2024-08-21,4
2024-08-22,3
2024-08-23,4
2024-08-24,4
2024-08-25,3
2024-08-26,2
2024-08-27,4
2024-08-28,2
2024-08-29,2
2024-08-30,2
2024-08-31,2
2024-09-01,2
2024-09-02,2
2024-09-03,1
2024-09-04,2
2024-09-05,1
2024-09-06,0
2024-09-07,0
2024-09-08,2
2024-09-09,0
2024-09-10,2
2024-09-11,2
2024-09-12,0
2024-09-13,2
2024-09-14,0
2024-09-15,0
2024-09-16,2
