Time,trump vp
2025-12-11,0
2025-12-12,0
2025-12-13,0
2025-12-14,0
2025-12-15,0
2025-12-16,0
2025-12-17,27
2025-12-18,26
2025-12-19,0
2025-12-20,0
2025-12-21,0
2025-12-22,0
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,0
2025-12-31,0
2026-01-01,0
2026-01-02,27
2026-01-03,66
2026-01-04,100
2026-01-05,62
2026-01-06,60
2026-01-07,55
2026-01-08,41
2026-01-09,44
2026-01-10,0
2026-01-11,0
2026-01-12,37
2026-01-13,0
2026-01-14,29
2026-01-15,44
2026-01-16,27
2026-01-17,52
2026-01-18,0
2026-01-19,0
2026-01-20,38
2026-01-21,32
2026-01-22,30
2026-01-23,67
2026-01-24,61
2026-01-25,60
2026-01-26,58
2026-01-27,0
2026-01-28,30
2026-01-29,29
2026-01-30,33
2026-01-31,34
2026-02-01,0
2026-02-02,26
2026-02-03,40
2026-02-04,59
2026-02-05,32
2026-02-06,0
2026-02-07,35
2026-02-08,31
2026-02-09,0
2026-02-10,0
2026-02-11,34
2026-02-12,32
2026-02-13,0
2026-02-14,0
2026-02-15,0
2026-02-16,26
2026-02-17,22
2026-02-18,36
2026-02-19,41
2026-02-20,37
2026-02-21,39
2026-02-22,0
2026-02-23,0
2026-02-24,43
2026-02-25,86
2026-02-26,57
2026-02-27,65
2026-02-28,37
2026-03-01,0
2026-03-02,67
2026-03-03,61
2026-03-04,47
2026-03-05,85
2026-03-06,63
2026-03-07,0
2026-03-08,67
2026-03-09,39
2026-03-10,59
2026-03-11,45
2026-03-12,65
2026-03-13,35
2026-03-14,0
2026-03-15,0
2026-03-16,29
2026-03-17,90
2026-03-18,54
2026-03-19,36
2026-03-20,0
2026-03-21,0
2026-03-22,0
2026-03-23,59
2026-03-24,36
2026-03-25,41
2026-03-26,61
2026-03-27,51
2026-03-28,39
2026-03-29,0
2026-03-30,51
2026-03-31,63
2026-04-01,58
2026-04-02,66
2026-04-03,55
2026-04-04,42
2026-04-05,52
2026-04-06,64
2026-04-07,70
2026-04-08,76
2026-04-09,43
2026-04-10,0
2026-04-11,32
2026-04-12,41
2026-04-13,61
2026-04-14,63
2026-04-15,61
2026-04-16,49
2026-04-17,58
2026-04-18,0
2026-04-19,0
2026-04-20,33
2026-04-21,50
2026-04-22,29
2026-04-23,0
2026-04-24,40
2026-04-25,0
2026-04-26,82
2026-04-27,50
2026-04-28,40
2026-04-29,48
2026-04-30,35
2026-05-01,36
2026-05-02,37
2026-05-03,33
2026-05-04,0
2026-05-05,45
2026-05-06,85
2026-05-07,33
2026-05-08,39
2026-05-09,40
2026-05-10,57
2026-05-11,56
2026-05-12,32
2026-05-13,80
2026-05-14,41
2026-05-15,75
2026-05-16,0
2026-05-17,0
2026-05-18,0
2026-05-19,0
2026-05-20,37
2026-05-21,31
2026-05-22,50
2026-05-23,39
2026-05-24,0
2026-05-25,0
2026-05-26,29
2026-05-27,41
2026-05-28,30
2026-05-29,39
2026-05-30,41
2026-05-31,45
