Time,apple stock
2025-12-11,56
2025-12-12,54
2025-12-13,25
2025-12-14,21
2025-12-15,49
2025-12-16,45
2025-12-17,46
2025-12-18,59
2025-12-19,51
2025-12-20,25
2025-12-21,22
2025-12-22,49
2025-12-23,50
2025-12-24,47
2025-12-25,24
2025-12-26,46
2025-12-27,24
2025-12-28,25
2025-12-29,44
2025-12-30,45
2025-12-31,41
2026-01-01,26
2026-01-02,51
2026-01-03,26
2026-01-04,24
2026-01-05,56
2026-01-06,59
2026-01-07,54
2026-01-08,55
2026-01-09,54
2026-01-10,25
2026-01-11,22
2026-01-12,53
2026-01-13,55
2026-01-14,51
2026-01-15,53
2026-01-16,50
2026-01-17,26
2026-01-18,22
2026-01-19,30
2026-01-20,54
2026-01-21,62
2026-01-22,54
2026-01-23,46
2026-01-24,25
2026-01-25,25
2026-01-26,56
2026-01-27,57
2026-01-28,61
2026-01-29,98
2026-01-30,92
2026-01-31,35
2026-02-01,32
2026-02-02,62
2026-02-03,64
2026-02-04,66
2026-02-05,64
2026-02-06,68
2026-02-07,30
2026-02-08,28
2026-02-09,50
2026-02-10,52
2026-02-11,56
2026-02-12,65
2026-02-13,60
2026-02-14,29
2026-02-15,27
2026-02-16,36
2026-02-17,55
2026-02-18,52
2026-02-19,51
2026-02-20,53
2026-02-21,30
2026-02-22,25
2026-02-23,51
2026-02-24,58
2026-02-25,61
2026-02-26,57
2026-02-27,59
2026-02-28,27
2026-03-01,25
2026-03-02,71
2026-03-03,70
2026-03-04,65
2026-03-05,70
2026-03-06,60
2026-03-07,30
2026-03-08,30
2026-03-09,62
2026-03-10,52
2026-03-11,54
2026-03-12,53
2026-03-13,51
2026-03-14,32
2026-03-15,34
2026-03-16,58
2026-03-17,58
2026-03-18,64
2026-03-19,69
2026-03-20,60
2026-03-21,34
2026-03-22,28
2026-03-23,59
2026-03-24,54
2026-03-25,55
2026-03-26,55
2026-03-27,55
2026-03-28,34
2026-03-29,33
2026-03-30,58
2026-03-31,65
2026-04-01,63
2026-04-02,53
2026-04-03,40
2026-04-04,26
2026-04-05,28
2026-04-06,58
2026-04-07,66
2026-04-08,70
2026-04-09,60
2026-04-10,56
2026-04-11,32
2026-04-12,28
2026-04-13,55
2026-04-14,55
2026-04-15,57
2026-04-16,64
2026-04-17,86
2026-04-18,34
2026-04-19,30
2026-04-20,91
2026-04-21,100
2026-04-22,78
2026-04-23,73
2026-04-24,72
2026-04-25,37
2026-04-26,34
2026-04-27,62
2026-04-28,57
2026-04-29,61
2026-04-30,92
2026-05-01,92
2026-05-02,35
2026-05-03,29
2026-05-04,50
2026-05-05,70
2026-05-06,80
2026-05-07,70
2026-05-08,77
2026-05-09,38
2026-05-10,33
2026-05-11,60
2026-05-12,62
2026-05-13,76
2026-05-14,80
2026-05-15,74
2026-05-16,35
2026-05-17,33
2026-05-18,61
2026-05-19,60
2026-05-20,64
2026-05-21,68
2026-05-22,80
2026-05-23,45
2026-05-24,35
2026-05-25,34
2026-05-26,69
2026-05-27,74
2026-05-28,79
2026-05-29,79
2026-05-30,41
2026-05-31,41
