Time,popular vote 2024
2025-12-11,30
2025-12-12,43
2025-12-13,33
2025-12-14,22
2025-12-15,21
2025-12-16,44
2025-12-17,27
2025-12-18,56
2025-12-19,19
2025-12-20,50
2025-12-21,28
2025-12-22,19
2025-12-23,29
2025-12-24,21
2025-12-25,0
2025-12-26,0
2025-12-27,26
2025-12-28,20
2025-12-29,0
2025-12-30,26
2025-12-31,30
2026-01-01,21
2026-01-02,0
2026-01-03,35
2026-01-04,33
2026-01-05,33
2026-01-06,33
2026-01-07,38
2026-01-08,33
2026-01-09,41
2026-01-10,38
2026-01-11,33
2026-01-12,34
2026-01-13,62
2026-01-14,43
2026-01-15,51
2026-01-16,40
2026-01-17,34
2026-01-18,52
2026-01-19,52
2026-01-20,34
2026-01-21,65
2026-01-22,47
2026-01-23,35
2026-01-24,58
2026-01-25,67
2026-01-26,49
2026-01-27,44
2026-01-28,62
2026-01-29,53
2026-01-30,61
2026-01-31,57
2026-02-01,64
2026-02-02,55
2026-02-03,55
2026-02-04,70
2026-02-05,66
2026-02-06,67
2026-02-07,75
2026-02-08,45
2026-02-09,37
2026-02-10,49
2026-02-11,55
2026-02-12,45
2026-02-13,35
2026-02-14,20
2026-02-15,30
2026-02-16,58
2026-02-17,59
2026-02-18,39
2026-02-19,27
2026-02-20,39
2026-02-21,30
2026-02-22,26
2026-02-23,38
2026-02-24,43
2026-02-25,43
2026-02-26,28
2026-02-27,38
2026-02-28,20
2026-03-01,29
2026-03-02,39
2026-03-03,44
2026-03-04,51
2026-03-05,38
2026-03-06,34
2026-03-07,52
2026-03-08,42
2026-03-09,32
2026-03-10,31
2026-03-11,33
2026-03-12,42
2026-03-13,45
2026-03-14,24
2026-03-15,39
2026-03-16,32
2026-03-17,32
2026-03-18,34
2026-03-19,48
2026-03-20,51
2026-03-21,53
2026-03-22,31
2026-03-23,29
2026-03-24,37
2026-03-25,36
2026-03-26,34
2026-03-27,38
2026-03-28,43
2026-03-29,82
2026-03-30,37
2026-03-31,39
2026-04-01,24
2026-04-02,42
2026-04-03,24
2026-04-04,32
2026-04-05,32
2026-04-06,23
2026-04-07,29
2026-04-08,34
2026-04-09,39
2026-04-10,45
2026-04-11,41
2026-04-12,77
2026-04-13,69
2026-04-14,100
2026-04-15,67
2026-04-16,69
2026-04-17,74
2026-04-18,51
2026-04-19,35
2026-04-20,25
2026-04-21,41
2026-04-22,62
2026-04-23,71
2026-04-24,40
2026-04-25,22
2026-04-26,47
2026-04-27,25
2026-04-28,28
2026-04-29,23
2026-04-30,58
2026-05-01,27
2026-05-02,35
2026-05-03,35
2026-05-04,32
2026-05-05,50
2026-05-06,85
2026-05-07,65
2026-05-08,28
2026-05-09,37
2026-05-10,68
2026-05-11,34
2026-05-12,46
2026-05-13,47
2026-05-14,34
2026-05-15,51
2026-05-16,31
2026-05-17,37
2026-05-18,43
2026-05-19,32
2026-05-20,40
2026-05-21,21
2026-05-22,39
2026-05-23,34
2026-05-24,38
2026-05-25,25
2026-05-26,37
2026-05-27,23
2026-05-28,25
2026-05-29,37
2026-05-30,32
2026-05-31,36
