Time,celtics vs heat
2025-12-11,0
2025-12-12,0
2025-12-13,0
2025-12-14,0
2025-12-15,5
2025-12-16,5
2025-12-17,0
2025-12-18,0
2025-12-19,15
2025-12-20,20
2025-12-21,1
2025-12-22,0
2025-12-23,1
2025-12-24,0
2025-12-25,0
2025-12-26,4
2025-12-27,5
2025-12-28,0
2025-12-29,0
2025-12-30,0
2025-12-31,0
2026-01-01,3
2026-01-02,3
2026-01-03,2
2026-01-04,1
2026-01-05,1
2026-01-06,0
2026-01-07,1
2026-01-08,0
2026-01-09,0
2026-01-10,3
2026-01-11,2
2026-01-12,0
2026-01-13,0
2026-01-14,0
2026-01-15,13
2026-01-16,93
2026-01-17,3
2026-01-18,5
2026-01-19,2
2026-01-20,5
2026-01-21,0
2026-01-22,0
2026-01-23,0
2026-01-24,3
2026-01-25,4
2026-01-26,1
2026-01-27,0
2026-01-28,3
2026-01-29,4
2026-01-30,0
2026-01-31,0
2026-02-01,3
2026-02-02,2
2026-02-03,1
2026-02-04,3
2026-02-05,0
2026-02-06,19
2026-02-07,100
2026-02-08,7
2026-02-09,2
2026-02-10,1
2026-02-11,1
2026-02-12,2
2026-02-13,0
2026-02-14,0
2026-02-15,0
2026-02-16,0
2026-02-17,0
2026-02-18,0
2026-02-19,0
2026-02-20,0
2026-02-21,0
2026-02-22,0
2026-02-23,0
2026-02-24,1
2026-02-25,2
2026-02-26,1
2026-02-27,0
2026-02-28,0
2026-03-01,0
2026-03-02,1
2026-03-03,0
2026-03-04,0
2026-03-05,1
2026-03-06,3
2026-03-07,6
2026-03-08,3
2026-03-09,0
2026-03-10,3
2026-03-11,8
2026-03-12,2
2026-03-13,3
2026-03-14,2
2026-03-15,3
2026-03-16,1
2026-03-17,0
2026-03-18,1
2026-03-19,0
2026-03-20,0
2026-03-21,0
2026-03-22,0
2026-03-23,0
2026-03-24,0
2026-03-25,3
2026-03-26,4
2026-03-27,4
2026-03-28,4
2026-03-29,4
2026-03-30,6
2026-03-31,4
2026-04-01,37
2026-04-02,77
2026-04-03,3
2026-04-04,2
2026-04-05,1
2026-04-06,0
2026-04-07,4
2026-04-08,3
2026-04-09,5
2026-04-10,5
2026-04-11,2
2026-04-12,4
2026-04-13,2
2026-04-14,1
2026-04-15,1
2026-04-16,0
2026-04-17,0
2026-04-18,0
2026-04-19,1
2026-04-20,0
2026-04-21,0
2026-04-22,0
2026-04-23,0
2026-04-24,1
2026-04-25,0
2026-04-26,0
2026-04-27,0
2026-04-28,1
2026-04-29,0
2026-04-30,0
2026-05-01,0
2026-05-02,0
2026-05-03,1
2026-05-04,0
2026-05-05,0
2026-05-06,0
2026-05-07,0
2026-05-08,0
2026-05-09,0
2026-05-10,0
2026-05-11,0
2026-05-12,0
2026-05-13,0
2026-05-14,0
2026-05-15,0
2026-05-16,0
2026-05-17,0
2026-05-18,0
2026-05-19,0
2026-05-20,0
2026-05-21,0
2026-05-22,0
2026-05-23,0
2026-05-24,0
2026-05-25,0
2026-05-26,0
2026-05-27,0
2026-05-28,1
2026-05-29,0
2026-05-30,0
2026-05-31,0
