Time,zillow
2025-04-15,90
2025-04-16,85
2025-04-17,84
2025-04-18,81
2025-04-19,84
2025-04-20,82
2025-04-21,86
2025-04-22,88
2025-04-23,89
2025-04-24,87
2025-04-25,83
2025-04-26,81
2025-04-27,89
2025-04-28,91
2025-04-29,87
2025-04-30,86
2025-05-01,88
2025-05-02,84
2025-05-03,80
2025-05-04,85
2025-05-05,85
2025-05-06,87
2025-05-07,83
2025-05-08,83
2025-05-09,85
2025-05-10,79
2025-05-11,82
2025-05-12,87
2025-05-13,87
2025-05-14,83
2025-05-15,83
2025-05-16,84
2025-05-17,84
2025-05-18,87
2025-05-19,88
2025-05-20,91
2025-05-21,87
2025-05-22,87
2025-05-23,81
2025-05-24,78
2025-05-25,85
2025-05-26,90
2025-05-27,93
2025-05-28,90
2025-05-29,90
2025-05-30,93
2025-05-31,93
2025-06-01,89
2025-06-02,90
2025-06-03,93
2025-06-04,90
2025-06-05,86
2025-06-06,87
2025-06-07,82
2025-06-08,85
2025-06-09,86
2025-06-10,86
2025-06-11,87
2025-06-12,88
2025-06-13,81
2025-06-14,79
2025-06-15,79
2025-06-16,87
2025-06-17,85
2025-06-18,84
2025-06-19,85
2025-06-20,84
2025-06-21,79
2025-06-22,82
2025-06-23,86
2025-06-24,90
2025-06-25,89
2025-06-26,88
2025-06-27,92
2025-06-28,82
2025-06-29,83
2025-06-30,88
2025-07-01,90
2025-07-02,87
2025-07-03,84
2025-07-04,81
2025-07-05,86
2025-07-06,95
2025-07-07,96
2025-07-08,90
2025-07-09,91
2025-07-10,90
2025-07-11,90
2025-07-12,89
2025-07-13,92
2025-07-14,92
2025-07-15,100
2025-07-16,91
2025-07-17,90
2025-07-18,91
2025-07-19,89
2025-07-20,96
2025-07-21,93
2025-07-22,95
2025-07-23,92
2025-07-24,88
2025-07-25,89
2025-07-26,91
2025-07-27,89
2025-07-28,92
2025-07-29,90
2025-07-30,84
2025-07-31,88
2025-08-01,85
2025-08-02,87
2025-08-03,91
2025-08-04,89
2025-08-05,92
2025-08-06,92
2025-08-07,91
2025-08-08,90
2025-08-09,85
2025-08-10,90
2025-08-11,88
2025-08-12,93
2025-08-13,88
2025-08-14,84
2025-08-15,86
2025-08-16,84
2025-08-17,90
2025-08-18,88
2025-08-19,87
2025-08-20,78
2025-08-21,85
2025-08-22,79
2025-08-23,82
2025-08-24,87
2025-08-25,85
2025-08-26,83
2025-08-27,82
2025-08-28,79
2025-08-29,75
2025-08-30,75
2025-08-31,83
2025-09-01,83
2025-09-02,78
2025-09-03,81
2025-09-04,80
2025-09-05,74
2025-09-06,77
2025-09-07,78
2025-09-08,82
2025-09-09,78
2025-09-10,71
2025-09-11,71
2025-09-12,67
2025-09-13,69
2025-09-14,72
2025-09-15,78
2025-09-16,78
2025-09-17,77
2025-09-18,82
2025-09-19,75
2025-09-20,76
2025-09-21,71
2025-09-22,83
2025-09-23,79
2025-09-24,78
2025-09-25,76
2025-09-26,74
2025-09-27,78
2025-09-28,71
2025-09-29,78
2025-09-30,79
2025-10-01,76
2025-10-02,73
2025-10-03,68
2025-10-04,73
2025-10-05,74
2025-10-06,79
2025-10-07,79
2025-10-08,78
2025-10-09,75
2025-10-10,71
2025-10-11,69
2025-10-12,73
2025-10-13,77
2025-10-14,72
2025-10-15,76
2025-10-16,73
2025-10-17,72
2025-10-18,74
2025-10-19,74
2025-10-20,80
2025-10-21,76
2025-10-22,74
2025-10-23,79
2025-10-24,75
2025-10-25,72
2025-10-26,81
2025-10-27,75
2025-10-28,76
2025-10-29,75
2025-10-30,73
2025-10-31,67
2025-11-01,73
2025-11-02,71
2025-11-03,80
2025-11-04,77
2025-11-05,74
2025-11-06,72
2025-11-07,73
2025-11-08,72
2025-11-09,68
2025-11-10,73
2025-11-11,70
2025-11-12,74
2025-11-13,74
2025-11-14,71
2025-11-15,69
2025-11-16,77
2025-11-17,76
2025-11-18,71
2025-11-19,68
2025-11-20,70
2025-11-21,64
2025-11-22,62
2025-11-23,67
2025-11-24,68
2025-11-25,65
2025-11-26,63
2025-11-27,53
2025-11-28,58
2025-11-29,61
2025-11-30,65
2025-12-01,65
2025-12-02,69
2025-12-03,66
2025-12-04,66
2025-12-05,62
2025-12-06,63
2025-12-07,64
2025-12-08,69
2025-12-09,65
2025-12-10,64
2025-12-11,65
2025-12-12,63
2025-12-13,59
2025-12-14,60
2025-12-15,62
2025-12-16,65
2025-12-17,64
2025-12-18,60
2025-12-19,59
2025-12-20,56
2025-12-21,60
2025-12-22,62
2025-12-23,59
2025-12-24,54
2025-12-25,50
2025-12-26,63
2025-12-27,68
2025-12-28,68
2025-12-29,71
2025-12-30,72
2025-12-31,66
2026-01-01,63
2026-01-02,78
2026-01-03,73
2026-01-04,72
2026-01-05,71
2026-01-06,76
2026-01-07,73
2026-01-08,77
2026-01-09,71
