Time,nets
2023-12-22,38
2023-12-23,70
2023-12-24,46
2023-12-25,19
2023-12-26,41
2023-12-27,100
2023-12-28,61
2023-12-29,33
2023-12-30,49
2023-12-31,25
2024-01-01,37
2024-01-02,27
2024-01-03,48
2024-01-04,37
2024-01-05,30
2024-01-06,45
2024-01-07,49
2024-01-08,24
2024-01-09,18
2024-01-10,17
2024-01-11,75
2024-01-12,24
2024-01-13,17
2024-01-14,15
2024-01-15,20
2024-01-16,36
2024-01-17,20
2024-01-18,49
2024-01-19,27
2024-01-20,82
2024-01-21,58
2024-01-22,26
2024-01-23,36
2024-01-24,65
2024-01-25,31
2024-01-26,45
2024-01-27,36
2024-01-28,42
2024-01-29,30
2024-01-30,52
2024-01-31,36
2024-02-01,65
2024-02-02,20
2024-02-03,45
2024-02-04,60
2024-02-05,36
2024-02-06,81
2024-02-07,53
2024-02-08,42
2024-02-09,51
2024-02-10,43
2024-02-11,45
2024-02-12,18
2024-02-13,41
2024-02-14,67
2024-02-15,55
2024-02-16,17
2024-02-17,15
2024-02-18,16
2024-02-19,28
2024-02-20,25
2024-02-21,17
2024-02-22,26
2024-02-23,37
2024-02-24,29
2024-02-25,54
2024-02-26,30
2024-02-27,55
2024-02-28,31
2024-02-29,30
2024-03-01,38
2024-03-02,59
2024-03-03,25
2024-03-04,34
2024-03-05,52
2024-03-06,41
2024-03-07,30
2024-03-08,38
2024-03-09,28
2024-03-10,56
2024-03-11,30
2024-03-12,16
2024-03-13,32
2024-03-14,33
2024-03-15,15
2024-03-16,27
2024-03-17,55
2024-03-18,52
2024-03-19,35
2024-03-20,42
2024-03-21,24
2024-03-22,37
2024-03-23,55
2024-03-24,24
2024-03-25,26
2024-03-26,26
2024-03-27,32
2024-03-28,30
2024-03-29,27
2024-03-30,33
2024-03-31,58
2024-04-01,72
2024-04-02,39
2024-04-03,26
2024-04-04,31
2024-04-05,17
2024-04-06,33
2024-04-07,45
2024-04-08,25
2024-04-09,14
2024-04-10,27
2024-04-11,30
2024-04-12,26
2024-04-13,45
2024-04-14,40
2024-04-15,16
2024-04-16,16
2024-04-17,16
2024-04-18,14
2024-04-19,12
2024-04-20,16
2024-04-21,18
2024-04-22,14
2024-04-23,14
2024-04-24,14
2024-04-25,14
2024-04-26,14
2024-04-27,14
2024-04-28,14
2024-04-29,17
2024-04-30,16
2024-05-01,14
2024-05-02,14
2024-05-03,16
2024-05-04,14
2024-05-05,14
2024-05-06,13
2024-05-07,14
2024-05-08,13
2024-05-09,15
2024-05-10,14
2024-05-11,14
2024-05-12,14
2024-05-13,13
2024-05-14,13
2024-05-15,17
2024-05-16,14
2024-05-17,13
2024-05-18,14
2024-05-19,17
2024-05-20,15
2024-05-21,16
2024-05-22,13
2024-05-23,13
2024-05-24,13
2024-05-25,15
2024-05-26,13
2024-05-27,15
2024-05-28,13
2024-05-29,13
2024-05-30,13
2024-05-31,15
2024-06-01,14
2024-06-02,14
2024-06-03,13
2024-06-04,13
2024-06-05,13
2024-06-06,13
2024-06-07,14
2024-06-08,13
2024-06-09,14
2024-06-10,15
2024-06-11,11
2024-06-12,13
2024-06-13,15
2024-06-14,12
2024-06-15,13
2024-06-16,13
2024-06-17,13
2024-06-18,15
2024-06-19,14
2024-06-20,13
2024-06-21,13
2024-06-22,14
2024-06-23,14
2024-06-24,13
2024-06-25,15
2024-06-26,58
2024-06-27,26
2024-06-28,18
2024-06-29,15
2024-06-30,16
2024-07-01,17
2024-07-02,16
2024-07-03,16
2024-07-04,16
2024-07-05,13
2024-07-06,14
2024-07-07,17
2024-07-08,14
2024-07-09,16
2024-07-10,13
2024-07-11,14
2024-07-12,13
2024-07-13,15
2024-07-14,14
2024-07-15,12
2024-07-16,15
2024-07-17,13
2024-07-18,13
2024-07-19,14
2024-07-20,14
2024-07-21,14
2024-07-22,13
2024-07-23,12
2024-07-24,11
2024-07-25,12
2024-07-26,11
2024-07-27,12
2024-07-28,11
2024-07-29,10
2024-07-30,11
2024-07-31,10
2024-08-01,10
2024-08-02,10
2024-08-03,12
2024-08-04,12
2024-08-05,10
2024-08-06,10
2024-08-07,9
2024-08-08,11
2024-08-09,10
2024-08-10,10
2024-08-11,11
2024-08-12,9
2024-08-13,9
2024-08-14,11
2024-08-15,13
2024-08-16,13
2024-08-17,11
2024-08-18,11
2024-08-19,11
2024-08-20,12
2024-08-21,11
2024-08-22,11
2024-08-23,11
2024-08-24,10
2024-08-25,11
2024-08-26,10
2024-08-27,10
2024-08-28,11
2024-08-29,10
2024-08-30,11
2024-08-31,10
2024-09-01,11
2024-09-02,11
2024-09-03,10
2024-09-04,12
2024-09-05,12
2024-09-06,11
2024-09-07,11
2024-09-08,11
2024-09-09,11
2024-09-10,11
2024-09-11,11
2024-09-12,13
2024-09-13,10
2024-09-14,11
2024-09-15,9
2024-09-16,10
