Time,fred ward
2022-08-29,0
2022-08-30,6
2022-08-31,17
2022-09-01,5
2022-09-02,0
2022-09-03,5
2022-09-04,6
2022-09-05,6
2022-09-06,0
2022-09-07,4
2022-09-08,0
2022-09-09,0
2022-09-10,0
2022-09-11,5
2022-09-12,0
2022-09-13,6
2022-09-14,8
2022-09-15,0
2022-09-16,0
2022-09-17,0
2022-09-18,5
2022-09-19,4
2022-09-20,4
2022-09-21,6
2022-09-22,0
2022-09-23,5
2022-09-24,0
2022-09-25,8
2022-09-26,35
2022-09-27,100
2022-09-28,20
2022-09-29,10
2022-09-30,5
2022-10-01,0
2022-10-02,5
2022-10-03,5
2022-10-04,8
2022-10-05,5
2022-10-06,0
2022-10-07,5
2022-10-08,6
2022-10-09,5
2022-10-10,6
2022-10-11,5
2022-10-12,10
2022-10-13,7
2022-10-14,9
2022-10-15,7
2022-10-16,6
2022-10-17,5
2022-10-18,5
2022-10-19,4
2022-10-20,5
2022-10-21,4
2022-10-22,7
2022-10-23,8
2022-10-24,6
2022-10-25,6
2022-10-26,8
2022-10-27,7
2022-10-28,0
2022-10-29,11
2022-10-30,0
2022-10-31,5
2022-11-01,6
2022-11-02,6
2022-11-03,7
2022-11-04,0
2022-11-05,6
2022-11-06,5
2022-11-07,0
2022-11-08,0
2022-11-09,9
2022-11-10,0
2022-11-11,0
2022-11-12,8
2022-11-13,0
2022-11-14,7
2022-11-15,0
2022-11-16,6
2022-11-17,0
2022-11-18,4
2022-11-19,0
2022-11-20,6
2022-11-21,0
2022-11-22,0
2022-11-23,0
2022-11-24,0
2022-11-25,7
2022-11-26,6
2022-11-27,0
2022-11-28,4
2022-11-29,0
2022-11-30,4
2022-12-01,5
2022-12-02,0
2022-12-03,0
2022-12-04,0
2022-12-05,0
2022-12-06,4
2022-12-07,6
2022-12-08,7
2022-12-09,0
2022-12-10,6
2022-12-11,7
2022-12-12,6
2022-12-13,7
2022-12-14,4
2022-12-15,6
2022-12-16,10
2022-12-17,12
2022-12-18,0
2022-12-19,5
2022-12-20,6
2022-12-21,0
2022-12-22,7
2022-12-23,8
2022-12-24,6
2022-12-25,0
2022-12-26,6
2022-12-27,20
2022-12-28,13
2022-12-29,11
2022-12-30,21
2022-12-31,37
2023-01-01,40
2023-01-02,34
2023-01-03,13
2023-01-04,10
2023-01-05,5
2023-01-06,0
2023-01-07,8
2023-01-08,6
2023-01-09,4
2023-01-10,7
2023-01-11,21
2023-01-12,12
2023-01-13,7
2023-01-14,9
2023-01-15,7
2023-01-16,6
2023-01-17,7
2023-01-18,7
2023-01-19,5
2023-01-20,11
2023-01-21,11
2023-01-22,10
2023-01-23,15
2023-01-24,5
2023-01-25,10
2023-01-26,16
2023-01-27,20
2023-01-28,23
2023-01-29,20
2023-01-30,17
2023-01-31,12
2023-02-01,6
2023-02-02,4
2023-02-03,0
2023-02-04,7
2023-02-05,0
2023-02-06,8
2023-02-07,5
2023-02-08,7
2023-02-09,0
2023-02-10,4
2023-02-11,7
2023-02-12,9
2023-02-13,5
2023-02-14,6
2023-02-15,0
2023-02-16,5
2023-02-17,0
2023-02-18,6
2023-02-19,6
2023-02-20,8
2023-02-21,0
2023-02-22,7
2023-02-23,0
2023-02-24,8
2023-02-25,7
2023-02-26,0
2023-02-27,18
2023-02-28,10
2023-03-01,6
2023-03-02,0
2023-03-03,4
2023-03-04,7
2023-03-05,0
2023-03-06,0
2023-03-07,4
2023-03-08,0
2023-03-09,0
2023-03-10,7
2023-03-11,6
2023-03-12,8
2023-03-13,15
2023-03-14,10
2023-03-15,8
2023-03-16,0
2023-03-17,5
2023-03-18,6
2023-03-19,6
2023-03-20,4
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,4
2023-03-25,7
2023-03-26,7
2023-03-27,0
2023-03-28,5
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,7
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-15,0
2023-04-16,0
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-22,0
2023-04-23,0
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,5
2023-04-29,0
2023-04-30,10
2023-05-01,0
2023-05-02,0
2023-05-03,0
2023-05-04,8
2023-05-05,0
2023-05-06,0
2023-05-07,0
2023-05-08,4
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,0
2023-05-17,5
2023-05-18,0
2023-05-19,0
2023-05-20,7
2023-05-21,0
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,0
