Time,youtube
2025-12-11,70
2025-12-12,72
2025-12-13,61
2025-12-14,59
2025-12-15,68
2025-12-16,72
2025-12-17,74
2025-12-18,74
2025-12-19,71
2025-12-20,58
2025-12-21,57
2025-12-22,57
2025-12-23,57
2025-12-24,56
2025-12-25,52
2025-12-26,52
2025-12-27,53
2025-12-28,53
2025-12-29,53
2025-12-30,52
2025-12-31,54
2026-01-01,55
2026-01-02,53
2026-01-03,52
2026-01-04,52
2026-01-05,55
2026-01-06,60
2026-01-07,58
2026-01-08,58
2026-01-09,66
2026-01-10,53
2026-01-11,53
2026-01-12,60
2026-01-13,62
2026-01-14,64
2026-01-15,65
2026-01-16,65
2026-01-17,55
2026-01-18,55
2026-01-19,53
2026-01-20,62
2026-01-21,68
2026-01-22,65
2026-01-23,66
2026-01-24,59
2026-01-25,63
2026-01-26,61
2026-01-27,62
2026-01-28,65
2026-01-29,66
2026-01-30,67
2026-01-31,56
2026-02-01,56
2026-02-02,59
2026-02-03,64
2026-02-04,64
2026-02-05,63
2026-02-06,65
2026-02-07,57
2026-02-08,62
2026-02-09,66
2026-02-10,61
2026-02-11,66
2026-02-12,63
2026-02-13,65
2026-02-14,53
2026-02-15,52
2026-02-16,55
2026-02-17,57
2026-02-18,100
2026-02-19,60
2026-02-20,64
2026-02-21,56
2026-02-22,52
2026-02-23,59
2026-02-24,61
2026-02-25,64
2026-02-26,64
2026-02-27,65
2026-02-28,53
2026-03-01,53
2026-03-02,63
2026-03-03,66
2026-03-04,67
2026-03-05,65
2026-03-06,66
2026-03-07,57
2026-03-08,54
2026-03-09,61
2026-03-10,62
2026-03-11,62
2026-03-12,64
2026-03-13,62
2026-03-14,54
2026-03-15,56
2026-03-16,59
2026-03-17,59
2026-03-18,57
2026-03-19,61
2026-03-20,61
2026-03-21,54
2026-03-22,53
2026-03-23,58
2026-03-24,59
2026-03-25,65
2026-03-26,60
2026-03-27,64
2026-03-28,54
2026-03-29,56
2026-03-30,58
2026-03-31,58
2026-04-01,61
2026-04-02,59
2026-04-03,53
2026-04-04,51
2026-04-05,52
2026-04-06,54
2026-04-07,57
2026-04-08,56
2026-04-09,57
2026-04-10,59
2026-04-11,51
2026-04-12,52
2026-04-13,58
2026-04-14,57
2026-04-15,57
2026-04-16,60
2026-04-17,65
2026-04-18,53
2026-04-19,55
2026-04-20,57
2026-04-21,59
2026-04-22,60
2026-04-23,59
2026-04-24,59
2026-04-25,49
2026-04-26,53
2026-04-27,57
2026-04-28,60
2026-04-29,59
2026-04-30,58
2026-05-01,57
2026-05-02,48
2026-05-03,52
2026-05-04,55
2026-05-05,54
2026-05-06,56
2026-05-07,58
2026-05-08,58
2026-05-09,51
2026-05-10,48
2026-05-11,55
2026-05-12,59
2026-05-13,60
2026-05-14,60
2026-05-15,57
2026-05-16,50
2026-05-17,50
2026-05-18,60
2026-05-19,58
2026-05-20,57
2026-05-21,57
2026-05-22,58
2026-05-23,49
2026-05-24,51
2026-05-25,50
2026-05-26,55
2026-05-27,53
2026-05-28,55
2026-05-29,58
2026-05-30,52
2026-05-31,50
