Time,youtube
2023-12-22,85
2023-12-23,83
2023-12-24,84
2023-12-25,82
2023-12-26,78
2023-12-27,75
2023-12-28,77
2023-12-29,77
2023-12-30,77
2023-12-31,78
2024-01-01,82
2024-01-02,79
2024-01-03,83
2024-01-04,84
2024-01-05,84
2024-01-06,80
2024-01-07,79
2024-01-08,82
2024-01-09,89
2024-01-10,93
2024-01-11,90
2024-01-12,92
2024-01-13,83
2024-01-14,84
2024-01-15,84
2024-01-16,87
2024-01-17,94
2024-01-18,90
2024-01-19,94
2024-01-20,82
2024-01-21,80
2024-01-22,85
2024-01-23,89
2024-01-24,99
2024-01-25,92
2024-01-26,92
2024-01-27,83
2024-01-28,78
2024-01-29,86
2024-01-30,90
2024-01-31,89
2024-02-01,92
2024-02-02,91
2024-02-03,80
2024-02-04,80
2024-02-05,90
2024-02-06,91
2024-02-07,89
2024-02-08,87
2024-02-09,97
2024-02-10,83
2024-02-11,79
2024-02-12,84
2024-02-13,92
2024-02-14,91
2024-02-15,93
2024-02-16,91
2024-02-17,78
2024-02-18,81
2024-02-19,81
2024-02-20,91
2024-02-21,85
2024-02-22,91
2024-02-23,92
2024-02-24,77
2024-02-25,80
2024-02-26,86
2024-02-27,86
2024-02-28,88
2024-02-29,89
2024-03-01,94
2024-03-02,79
2024-03-03,78
2024-03-04,87
2024-03-05,90
2024-03-06,100
2024-03-07,93
2024-03-08,94
2024-03-09,78
2024-03-10,80
2024-03-11,86
2024-03-12,91
2024-03-13,89
2024-03-14,95
2024-03-15,91
2024-03-16,79
2024-03-17,83
2024-03-18,87
2024-03-19,88
2024-03-20,95
2024-03-21,95
2024-03-22,94
2024-03-23,80
2024-03-24,80
2024-03-25,86
2024-03-26,94
2024-03-27,92
2024-03-28,93
2024-03-29,83
2024-03-30,79
2024-03-31,77
2024-04-01,91
2024-04-02,88
2024-04-03,88
2024-04-04,88
2024-04-05,89
2024-04-06,77
2024-04-07,78
2024-04-08,86
2024-04-09,90
2024-04-10,91
2024-04-11,92
2024-04-12,99
2024-04-13,77
2024-04-14,77
2024-04-15,86
2024-04-16,91
2024-04-17,92
2024-04-18,94
2024-04-19,95
2024-04-20,81
2024-04-21,80
2024-04-22,84
2024-04-23,91
2024-04-24,89
2024-04-25,91
2024-04-26,90
2024-04-27,78
2024-04-28,77
2024-04-29,87
2024-04-30,90
2024-05-01,89
2024-05-02,90
2024-05-03,95
2024-05-04,77
2024-05-05,81
2024-05-06,89
2024-05-07,96
2024-05-08,91
2024-05-09,93
2024-05-10,97
2024-05-11,76
2024-05-12,73
2024-05-13,86
2024-05-14,90
2024-05-15,88
2024-05-16,90
2024-05-17,91
2024-05-18,77
2024-05-19,81
2024-05-20,88
2024-05-21,87
2024-05-22,86
2024-05-23,89
2024-05-24,84
2024-05-25,75
2024-05-26,75
2024-05-27,73
2024-05-28,79
2024-05-29,81
2024-05-30,84
2024-05-31,85
2024-06-01,75
2024-06-02,75
2024-06-03,79
2024-06-04,76
2024-06-05,82
2024-06-06,80
2024-06-07,81
2024-06-08,74
2024-06-09,73
2024-06-10,80
2024-06-11,77
2024-06-12,79
2024-06-13,78
2024-06-14,77
2024-06-15,69
2024-06-16,73
2024-06-17,75
2024-06-18,76
2024-06-19,70
2024-06-20,73
2024-06-21,77
2024-06-22,73
2024-06-23,73
2024-06-24,74
2024-06-25,75
2024-06-26,72
2024-06-27,75
2024-06-28,77
2024-06-29,73
2024-06-30,74
2024-07-01,72
2024-07-02,74
2024-07-03,73
2024-07-04,73
2024-07-05,72
2024-07-06,70
2024-07-07,70
2024-07-08,69
2024-07-09,72
2024-07-10,74
2024-07-11,72
2024-07-12,73
2024-07-13,70
2024-07-14,70
2024-07-15,73
2024-07-16,72
2024-07-17,74
2024-07-18,76
2024-07-19,73
2024-07-20,71
2024-07-21,68
2024-07-22,71
2024-07-23,75
2024-07-24,75
2024-07-25,79
2024-07-26,74
2024-07-27,71
2024-07-28,68
2024-07-29,70
2024-07-30,72
2024-07-31,76
2024-08-01,75
2024-08-02,74
2024-08-03,71
2024-08-04,73
2024-08-05,70
2024-08-06,74
2024-08-07,75
2024-08-08,79
2024-08-09,80
2024-08-10,72
2024-08-11,71
2024-08-12,75
2024-08-13,82
2024-08-14,83
2024-08-15,81
2024-08-16,88
2024-08-17,78
2024-08-18,76
2024-08-19,79
2024-08-20,84
2024-08-21,88
2024-08-22,89
2024-08-23,92
2024-08-24,78
2024-08-25,77
2024-08-26,85
2024-08-27,92
2024-08-28,91
2024-08-29,94
2024-08-30,98
2024-08-31,78
2024-09-01,78
2024-09-02,79
2024-09-03,88
2024-09-04,90
2024-09-05,94
2024-09-06,93
2024-09-07,83
2024-09-08,90
2024-09-09,88
2024-09-10,92
2024-09-11,94
2024-09-12,100
2024-09-13,99
2024-09-14,82
2024-09-15,85
2024-09-16,87
