strategy,total_ret,CAGR,ann_vol,Sharpe,max_DD,days_long,pct_long
Buy & Hold,45.5%,21.4%,16.1%,1.283,-18.9%,488,100.0%
VIX (<20),18.2%,9.0%,10.5%,0.880,-9.9%,399,81.8%
FG (<55),23.2%,11.4%,11.5%,0.996,-12.4%,386,79.1%
