Time,nfl free agency
2023-04-26,26
2023-04-27,33
2023-04-28,56
2023-04-29,81
2023-04-30,100
2023-05-01,56
2023-05-02,43
2023-05-03,37
2023-05-04,31
2023-05-05,22
2023-05-06,33
2023-05-07,28
2023-05-08,23
2023-05-09,14
2023-05-10,20
2023-05-11,15
2023-05-12,23
2023-05-13,28
2023-05-14,17
2023-05-15,16
2023-05-16,21
2023-05-17,10
2023-05-18,12
2023-05-19,12
2023-05-20,14
2023-05-21,12
2023-05-22,0
2023-05-23,20
2023-05-24,0
2023-05-25,0
2023-05-26,11
2023-05-27,13
2023-05-28,20
2023-05-29,13
2023-05-30,23
2023-05-31,15
2023-06-01,10
2023-06-02,0
2023-06-03,0
2023-06-04,17
2023-06-05,16
2023-06-06,0
2023-06-07,0
2023-06-08,13
2023-06-09,22
2023-06-10,21
2023-06-11,0
2023-06-12,21
2023-06-13,13
2023-06-14,14
2023-06-15,16
2023-06-16,11
2023-06-17,11
2023-06-18,12
2023-06-19,16
2023-06-20,32
2023-06-21,10
2023-06-22,18
2023-06-23,14
2023-06-24,17
2023-06-25,18
2023-06-26,21
2023-06-27,18
2023-06-28,18
2023-06-29,21
2023-06-30,29
2023-07-01,38
2023-07-02,36
2023-07-03,0
2023-07-04,16
2023-07-05,16
2023-07-06,13
2023-07-07,0
2023-07-08,15
2023-07-09,19
2023-07-10,13
2023-07-11,14
2023-07-12,13
2023-07-13,14
2023-07-14,13
2023-07-15,14
2023-07-16,0
2023-07-17,34
2023-07-18,23
2023-07-19,11
2023-07-20,0
2023-07-21,14
2023-07-22,15
2023-07-23,0
2023-07-24,18
2023-07-25,20
2023-07-26,14
2023-07-27,0
2023-07-28,14
2023-07-29,14
2023-07-30,0
2023-07-31,0
2023-08-01,24
2023-08-02,11
2023-08-03,14
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,11
2023-08-09,14
2023-08-10,0
2023-08-11,0
2023-08-12,0
2023-08-13,13
2023-08-14,0
2023-08-15,0
2023-08-16,0
2023-08-17,0
2023-08-18,0
2023-08-19,13
2023-08-20,0
2023-08-21,14
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,10
2023-08-26,0
2023-08-27,0
2023-08-28,10
2023-08-29,0
2023-08-30,13
2023-08-31,0
2023-09-01,0
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,13
2023-09-09,0
2023-09-10,0
2023-09-11,14
2023-09-12,15
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,0
2023-09-17,0
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,11
2023-09-23,0
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,0
2023-09-29,11
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,0
2023-10-05,0
2023-10-06,0
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,0
2023-10-18,0
2023-10-19,0
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,13
2023-10-31,40
2023-11-01,19
2023-11-02,0
2023-11-03,0
2023-11-04,14
2023-11-05,0
2023-11-06,16
2023-11-07,14
2023-11-08,0
2023-11-09,0
2023-11-10,0
2023-11-11,0
2023-11-12,0
2023-11-13,10
2023-11-14,13
2023-11-15,10
2023-11-16,0
2023-11-17,11
2023-11-18,0
2023-11-19,0
2023-11-20,17
2023-11-21,15
2023-11-22,0
2023-11-23,13
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,21
2023-11-28,15
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,12
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,10
2023-12-11,0
2023-12-12,13
2023-12-13,15
2023-12-14,13
2023-12-15,0
2023-12-16,14
2023-12-17,15
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,14
2023-12-26,18
2023-12-27,0
2023-12-28,14
2023-12-29,0
2023-12-30,0
2023-12-31,15
2024-01-01,30
2024-01-02,18
2024-01-03,16
2024-01-04,20
2024-01-05,12
2024-01-06,21
2024-01-07,27
2024-01-08,54
2024-01-09,36
2024-01-10,32
2024-01-11,30
2024-01-12,21
2024-01-13,20
2024-01-14,33
2024-01-15,22
2024-01-16,51
2024-01-17,29
2024-01-18,36
2024-01-19,34
2024-01-20,21
