Time,first republic bank
2024-08-18,0
2024-08-19,0
2024-08-20,76
2024-08-21,59
2024-08-22,46
2024-08-23,0
2024-08-24,50
2024-08-25,0
2024-08-26,48
2024-08-27,51
2024-08-28,62
2024-08-29,57
2024-08-30,0
2024-08-31,0
2024-09-01,0
2024-09-02,0
2024-09-03,58
2024-09-04,50
2024-09-05,53
2024-09-06,58
2024-09-07,40
2024-09-08,0
2024-09-09,45
2024-09-10,57
2024-09-11,57
2024-09-12,73
2024-09-13,52
2024-09-14,57
2024-09-15,0
2024-09-16,66
2024-09-17,41
2024-09-18,51
2024-09-19,0
2024-09-20,0
2024-09-21,100
2024-09-22,0
2024-09-23,37
2024-09-24,0
2024-09-25,64
2024-09-26,0
2024-09-27,40
2024-09-28,56
2024-09-29,0
2024-09-30,49
2024-10-01,48
2024-10-02,45
2024-10-03,59
2024-10-04,54
2024-10-05,70
2024-10-06,0
2024-10-07,0
2024-10-08,38
2024-10-09,35
2024-10-10,0
2024-10-11,0
2024-10-12,0
2024-10-13,51
2024-10-14,57
2024-10-15,0
2024-10-16,61
2024-10-17,55
2024-10-18,0
2024-10-19,0
2024-10-20,0
2024-10-21,50
2024-10-22,49
2024-10-23,62
2024-10-24,54
2024-10-25,0
2024-10-26,75
2024-10-27,0
2024-10-28,0
2024-10-29,0
2024-10-30,39
2024-10-31,39
2024-11-01,53
2024-11-02,55
2024-11-03,48
2024-11-04,0
2024-11-05,59
2024-11-06,35
2024-11-07,0
2024-11-08,46
2024-11-09,49
2024-11-10,0
2024-11-11,0
2024-11-12,0
2024-11-13,0
2024-11-14,0
2024-11-15,0
2024-11-16,55
2024-11-17,0
2024-11-18,0
2024-11-19,0
2024-11-20,0
2024-11-21,0
2024-11-22,70
2024-11-23,0
2024-11-24,0
2024-11-25,39
2024-11-26,0
2024-11-27,0
2024-11-28,0
2024-11-29,0
2024-11-30,52
2024-12-01,0
2024-12-02,48
2024-12-03,0
2024-12-04,50
2024-12-05,52
2024-12-06,0
2024-12-07,63
2024-12-08,0
2024-12-09,0
2024-12-10,57
2024-12-11,0
2024-12-12,0
2024-12-13,0
2024-12-14,53
2024-12-15,0
2024-12-16,0
2024-12-17,44
2024-12-18,49
2024-12-19,42
2024-12-20,0
2024-12-21,64
2024-12-22,0
2024-12-23,0
2024-12-24,0
2024-12-25,0
2024-12-26,44
2024-12-27,0
2024-12-28,76
2024-12-29,0
2024-12-30,0
2024-12-31,0
2025-01-01,0
2025-01-02,43
2025-01-03,46
2025-01-04,50
2025-01-05,0
2025-01-06,42
2025-01-07,37
2025-01-08,44
2025-01-09,0
2025-01-10,0
2025-01-11,52
2025-01-12,0
2025-01-13,48
2025-01-14,41
2025-01-15,45
2025-01-16,0
2025-01-17,66
2025-01-18,0
2025-01-19,0
2025-01-20,0
2025-01-21,0
2025-01-22,0
2025-01-23,0
2025-01-24,40
2025-01-25,45
2025-01-26,0
2025-01-27,38
2025-01-28,0
2025-01-29,0
2025-01-30,0
2025-01-31,36
2025-02-01,58
2025-02-02,0
2025-02-03,0
2025-02-04,39
2025-02-05,63
2025-02-06,44
2025-02-07,0
2025-02-08,0
2025-02-09,0
2025-02-10,0
2025-02-11,40
2025-02-12,0
2025-02-13,0
2025-02-14,43
2025-02-15,0
2025-02-16,0
2025-02-17,0
2025-02-18,0
2025-02-19,42
2025-02-20,38
2025-02-21,56
2025-02-22,61
2025-02-23,0
2025-02-24,36
2025-02-25,0
2025-02-26,0
2025-02-27,35
2025-02-28,0
2025-03-01,76
2025-03-02,0
2025-03-03,0
2025-03-04,0
2025-03-05,37
2025-03-06,54
2025-03-07,0
2025-03-08,0
2025-03-09,0
2025-03-10,39
2025-03-11,0
2025-03-12,40
2025-03-13,0
2025-03-14,40
2025-03-15,96
2025-03-16,0
2025-03-17,0
2025-03-18,0
2025-03-19,0
2025-03-20,0
2025-03-21,0
2025-03-22,67
2025-03-23,0
2025-03-24,41
2025-03-25,0
2025-03-26,48
2025-03-27,40
2025-03-28,37
2025-03-29,56
2025-03-30,0
2025-03-31,0
2025-04-01,0
2025-04-02,0
2025-04-03,84
2025-04-04,51
2025-04-05,0
2025-04-06,0
2025-04-07,0
2025-04-08,0
2025-04-09,40
2025-04-10,0
2025-04-11,56
2025-04-12,98
2025-04-13,0
2025-04-14,0
2025-04-15,0
2025-04-16,0
2025-04-17,0
2025-04-18,0
2025-04-19,43
2025-04-20,0
2025-04-21,0
2025-04-22,0
2025-04-23,50
2025-04-24,0
2025-04-25,35
2025-04-26,58
2025-04-27,0
2025-04-28,0
2025-04-29,38
2025-04-30,0
2025-05-01,39
2025-05-02,59
2025-05-03,62
2025-05-04,0
2025-05-05,46
2025-05-06,34
2025-05-07,45
2025-05-08,0
2025-05-09,0
2025-05-10,0
2025-05-11,0
2025-05-12,36
2025-05-13,0
2025-05-14,0
