Time,first republic bank
2025-12-11,60
2025-12-12,42
2025-12-13,0
2025-12-14,0
2025-12-15,0
2025-12-16,43
2025-12-17,49
2025-12-18,63
2025-12-19,0
2025-12-20,0
2025-12-21,0
2025-12-22,48
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,0
2025-12-31,68
2026-01-01,55
2026-01-02,0
2026-01-03,0
2026-01-04,0
2026-01-05,0
2026-01-06,0
2026-01-07,54
2026-01-08,0
2026-01-09,0
2026-01-10,0
2026-01-11,0
2026-01-12,43
2026-01-13,42
2026-01-14,50
2026-01-15,51
2026-01-16,54
2026-01-17,0
2026-01-18,0
2026-01-19,0
2026-01-20,49
2026-01-21,81
2026-01-22,41
2026-01-23,45
2026-01-24,55
2026-01-25,55
2026-01-26,100
2026-01-27,53
2026-01-28,45
2026-01-29,70
2026-01-30,0
2026-01-31,0
2026-02-01,62
2026-02-02,44
2026-02-03,39
2026-02-04,68
2026-02-05,78
2026-02-06,0
2026-02-07,0
2026-02-08,63
2026-02-09,0
2026-02-10,48
2026-02-11,58
2026-02-12,53
2026-02-13,48
2026-02-14,0
2026-02-15,0
2026-02-16,74
2026-02-17,92
2026-02-18,66
2026-02-19,43
2026-02-20,66
2026-02-21,48
2026-02-22,0
2026-02-23,54
2026-02-24,61
2026-02-25,60
2026-02-26,54
2026-02-27,59
2026-02-28,0
2026-03-01,0
2026-03-02,48
2026-03-03,58
2026-03-04,97
2026-03-05,64
2026-03-06,0
2026-03-07,46
2026-03-08,0
2026-03-09,0
2026-03-10,48
2026-03-11,0
2026-03-12,44
2026-03-13,0
2026-03-14,0
2026-03-15,89
2026-03-16,56
2026-03-17,50
2026-03-18,79
2026-03-19,61
2026-03-20,55
2026-03-21,67
2026-03-22,0
2026-03-23,0
2026-03-24,0
2026-03-25,90
2026-03-26,55
2026-03-27,74
2026-03-28,0
2026-03-29,47
2026-03-30,61
2026-03-31,50
2026-04-01,65
2026-04-02,55
2026-04-03,60
2026-04-04,0
2026-04-05,0
2026-04-06,50
2026-04-07,44
2026-04-08,47
2026-04-09,54
2026-04-10,0
2026-04-11,0
2026-04-12,0
2026-04-13,0
2026-04-14,93
2026-04-15,56
2026-04-16,66
2026-04-17,48
2026-04-18,0
2026-04-19,63
2026-04-20,0
2026-04-21,0
2026-04-22,62
2026-04-23,55
2026-04-24,40
2026-04-25,0
2026-04-26,0
2026-04-27,55
2026-04-28,0
2026-04-29,47
2026-04-30,0
2026-05-01,0
2026-05-02,0
2026-05-03,51
2026-05-04,0
2026-05-05,67
2026-05-06,53
2026-05-07,0
2026-05-08,40
2026-05-09,0
2026-05-10,0
2026-05-11,55
2026-05-12,43
2026-05-13,48
2026-05-14,0
2026-05-15,0
2026-05-16,50
2026-05-17,56
2026-05-18,52
2026-05-19,53
2026-05-20,51
2026-05-21,0
2026-05-22,0
2026-05-23,0
2026-05-24,0
2026-05-25,0
2026-05-26,54
2026-05-27,56
2026-05-28,0
2026-05-29,53
2026-05-30,49
2026-05-31,41
