Time,top gun 2
2023-04-26,46
2023-04-27,49
2023-04-28,48
2023-04-29,76
2023-04-30,100
2023-05-01,47
2023-05-02,34
2023-05-03,26
2023-05-04,35
2023-05-05,43
2023-05-06,53
2023-05-07,71
2023-05-08,60
2023-05-09,34
2023-05-10,42
2023-05-11,29
2023-05-12,23
2023-05-13,56
2023-05-14,79
2023-05-15,46
2023-05-16,47
2023-05-17,40
2023-05-18,37
2023-05-19,31
2023-05-20,49
2023-05-21,69
2023-05-22,45
2023-05-23,38
2023-05-24,42
2023-05-25,39
2023-05-26,39
2023-05-27,57
2023-05-28,89
2023-05-29,89
2023-05-30,53
2023-05-31,33
2023-06-01,41
2023-06-02,50
2023-06-03,59
2023-06-04,63
2023-06-05,39
2023-06-06,50
2023-06-07,23
2023-06-08,31
2023-06-09,45
2023-06-10,70
2023-06-11,64
2023-06-12,46
2023-06-13,38
2023-06-14,31
2023-06-15,37
2023-06-16,36
2023-06-17,50
2023-06-18,67
2023-06-19,46
2023-06-20,37
2023-06-21,38
2023-06-22,33
2023-06-23,41
2023-06-24,49
2023-06-25,78
2023-06-26,55
2023-06-27,43
2023-06-28,33
2023-06-29,34
2023-06-30,40
2023-07-01,68
2023-07-02,77
2023-07-03,66
2023-07-04,89
2023-07-05,52
2023-07-06,37
2023-07-07,54
2023-07-08,68
2023-07-09,82
2023-07-10,46
2023-07-11,43
2023-07-12,44
2023-07-13,35
2023-07-14,51
2023-07-15,81
2023-07-16,96
2023-07-17,64
2023-07-18,31
2023-07-19,41
2023-07-20,34
2023-07-21,44
2023-07-22,68
2023-07-23,75
2023-07-24,46
2023-07-25,36
2023-07-26,40
2023-07-27,49
2023-07-28,43
2023-07-29,50
2023-07-30,59
2023-07-31,26
2023-08-01,37
2023-08-02,21
2023-08-03,35
2023-08-04,36
2023-08-05,51
2023-08-06,60
2023-08-07,47
2023-08-08,32
2023-08-09,26
2023-08-10,34
2023-08-11,31
2023-08-12,45
2023-08-13,53
2023-08-14,34
2023-08-15,28
2023-08-16,21
2023-08-17,29
2023-08-18,46
2023-08-19,52
2023-08-20,68
2023-08-21,47
2023-08-22,33
2023-08-23,41
2023-08-24,31
2023-08-25,32
2023-08-26,44
2023-08-27,50
2023-08-28,34
2023-08-29,29
2023-08-30,25
2023-08-31,30
2023-09-01,28
2023-09-02,50
2023-09-03,61
2023-09-04,60
2023-09-05,36
2023-09-06,22
2023-09-07,16
2023-09-08,34
2023-09-09,36
2023-09-10,49
2023-09-11,19
2023-09-12,19
2023-09-13,23
2023-09-14,29
2023-09-15,26
2023-09-16,52
2023-09-17,58
2023-09-18,21
2023-09-19,22
2023-09-20,19
2023-09-21,12
2023-09-22,20
2023-09-23,34
2023-09-24,31
2023-09-25,26
2023-09-26,19
2023-09-27,19
2023-09-28,31
2023-09-29,31
2023-09-30,28
2023-10-01,44
2023-10-02,24
2023-10-03,15
2023-10-04,17
2023-10-05,27
2023-10-06,23
2023-10-07,44
2023-10-08,42
2023-10-09,27
2023-10-10,25
2023-10-11,30
2023-10-12,27
2023-10-13,29
2023-10-14,39
2023-10-15,41
2023-10-16,38
2023-10-17,20
2023-10-18,29
2023-10-19,25
2023-10-20,23
2023-10-21,46
2023-10-22,54
2023-10-23,35
2023-10-24,31
2023-10-25,32
2023-10-26,31
2023-10-27,33
2023-10-28,30
2023-10-29,42
2023-10-30,31
2023-10-31,20
2023-11-01,27
2023-11-02,25
2023-11-03,34
2023-11-04,43
2023-11-05,51
2023-11-06,27
2023-11-07,21
2023-11-08,28
2023-11-09,27
2023-11-10,24
2023-11-11,47
2023-11-12,49
2023-11-13,31
2023-11-14,18
2023-11-15,15
2023-11-16,28
2023-11-17,29
2023-11-18,43
2023-11-19,43
2023-11-20,26
2023-11-21,25
2023-11-22,33
2023-11-23,50
2023-11-24,64
2023-11-25,52
2023-11-26,53
2023-11-27,27
2023-11-28,30
2023-11-29,24
2023-11-30,28
2023-12-01,18
2023-12-02,37
2023-12-03,35
2023-12-04,22
2023-12-05,17
2023-12-06,22
2023-12-07,21
2023-12-08,22
2023-12-09,38
2023-12-10,42
2023-12-11,26
2023-12-12,18
2023-12-13,21
2023-12-14,19
2023-12-15,25
2023-12-16,27
2023-12-17,30
2023-12-18,29
2023-12-19,35
2023-12-20,27
2023-12-21,26
2023-12-22,22
2023-12-23,43
2023-12-24,38
2023-12-25,51
2023-12-26,49
2023-12-27,43
2023-12-28,34
2023-12-29,33
2023-12-30,51
2023-12-31,49
2024-01-01,49
2024-01-02,26
2024-01-03,24
2024-01-04,21
2024-01-05,37
2024-01-06,46
2024-01-07,44
2024-01-08,41
2024-01-09,26
2024-01-10,33
2024-01-11,16
2024-01-12,49
2024-01-13,83
2024-01-14,82
2024-01-15,43
2024-01-16,33
2024-01-17,45
2024-01-18,28
2024-01-19,37
2024-01-20,43
