Time,urban_dictionary
2022-01-01,85.0
2022-01-02,89.0
2022-01-03,73.0
2022-01-04,90.0
2022-01-05,84.0
2022-01-06,75.0
2022-01-07,77.0
2022-01-08,89.0
2022-01-09,86.0
2022-01-10,70.0
2022-01-11,77.0
2022-01-12,77.0
2022-01-13,91.0
2022-01-14,68.0
2022-01-15,89.0
2022-01-16,86.0
2022-01-17,79.0
2022-01-18,85.0
2022-01-19,95.0
2022-01-20,90.0
2022-01-21,89.0
2022-01-22,93.0
2022-01-23,88.0
2022-01-24,82.0
2022-01-25,73.0
2022-01-26,75.0
2022-01-27,76.0
2022-01-28,75.0
2022-01-29,85.0
2022-01-30,86.0
2022-01-31,74.0
2022-02-01,75.0
2022-02-02,76.0
2022-02-03,80.0
2022-02-04,76.0
2022-02-05,79.0
2022-02-06,81.0
2022-02-07,69.0
2022-02-08,68.0
2022-02-09,73.0
2022-02-10,64.0
2022-02-11,79.0
2022-02-12,74.0
2022-02-13,80.0
2022-02-14,66.0
2022-02-15,71.0
2022-02-16,67.0
2022-02-17,74.0
2022-02-18,73.0
2022-02-19,75.0
2022-02-20,79.0
2022-02-21,70.0
2022-02-22,78.0
2022-02-23,77.0
2022-02-24,68.0
2022-02-25,66.0
2022-02-26,69.0
2022-02-27,90.0
2022-02-28,77.0
2022-03-01,69.0
2022-03-02,70.0
2022-03-03,67.0
2022-03-04,71.0
2022-03-05,73.0
2022-03-06,80.0
2022-03-07,100.0
2022-03-08,97.0
2022-03-09,69.0
2022-03-10,70.0
2022-03-11,65.0
2022-03-12,72.0
2022-03-13,78.0
2022-03-14,71.0
2022-03-15,72.0
2022-03-16,74.0
2022-03-17,76.0
2022-03-18,70.0
2022-03-19,71.0
2022-03-20,78.0
2022-03-21,67.0
2022-03-22,71.0
2022-03-23,74.0
2022-03-24,74.0
2022-03-25,70.0
2022-03-26,75.0
2022-03-27,82.0
2022-03-28,70.0
2022-03-29,71.0
2022-03-30,70.0
2022-03-31,73.0
2022-04-01,70.0
2022-04-02,77.0
2022-04-03,78.0
2022-04-04,77.0
2022-04-05,72.0
2022-04-06,77.0
2022-04-07,70.0
2022-04-08,75.0
2022-04-09,69.0
2022-04-10,79.0
2022-04-11,75.0
2022-04-12,74.0
2022-04-13,75.0
2022-04-14,75.0
2022-04-15,78.0
