Time,google flights
2023-12-22,62
2023-12-23,60
2023-12-24,56
2023-12-25,62
2023-12-26,84
2023-12-27,92
2023-12-28,85
2023-12-29,84
2023-12-30,81
2023-12-31,73
2024-01-01,80
2024-01-02,97
2024-01-03,100
2024-01-04,100
2024-01-05,94
2024-01-06,93
2024-01-07,100
2024-01-08,96
2024-01-09,97
2024-01-10,98
2024-01-11,89
2024-01-12,76
2024-01-13,72
2024-01-14,75
2024-01-15,78
2024-01-16,82
2024-01-17,85
2024-01-18,78
2024-01-19,76
2024-01-20,77
2024-01-21,79
2024-01-22,82
2024-01-23,91
2024-01-24,100
2024-01-25,85
2024-01-26,86
2024-01-27,94
2024-01-28,93
2024-01-29,91
2024-01-30,97
2024-01-31,94
2024-02-01,87
2024-02-02,86
2024-02-03,85
2024-02-04,96
2024-02-05,90
2024-02-06,95
2024-02-07,93
2024-02-08,93
2024-02-09,89
2024-02-10,85
2024-02-11,82
2024-02-12,74
2024-02-13,83
2024-02-14,75
2024-02-15,76
2024-02-16,77
2024-02-17,72
2024-02-18,81
2024-02-19,92
2024-02-20,87
2024-02-21,83
2024-02-22,79
2024-02-23,77
2024-02-24,74
2024-02-25,84
2024-02-26,80
2024-02-27,83
2024-02-28,80
2024-02-29,84
2024-03-01,85
2024-03-02,89
2024-03-03,99
2024-03-04,96
2024-03-05,99
2024-03-06,98
2024-03-07,86
2024-03-08,85
2024-03-09,88
2024-03-10,94
2024-03-11,91
2024-03-12,93
2024-03-13,93
2024-03-14,87
2024-03-15,80
2024-03-16,83
2024-03-17,90
2024-03-18,91
2024-03-19,93
2024-03-20,91
2024-03-21,85
2024-03-22,78
2024-03-23,83
2024-03-24,90
2024-03-25,84
2024-03-26,86
2024-03-27,88
2024-03-28,85
2024-03-29,78
2024-03-30,73
2024-03-31,83
2024-04-01,89
2024-04-02,89
2024-04-03,89
2024-04-04,81
2024-04-05,77
2024-04-06,73
2024-04-07,77
2024-04-08,74
2024-04-09,82
2024-04-10,84
2024-04-11,79
2024-04-12,75
2024-04-13,69
2024-04-14,83
2024-04-15,83
2024-04-16,86
2024-04-17,84
2024-04-18,81
2024-04-19,73
2024-04-20,71
2024-04-21,85
2024-04-22,85
2024-04-23,84
2024-04-24,78
2024-04-25,81
2024-04-26,73
2024-04-27,70
2024-04-28,81
2024-04-29,80
2024-04-30,88
2024-05-01,83
2024-05-02,81
2024-05-03,74
2024-05-04,72
2024-05-05,83
2024-05-06,84
2024-05-07,88
2024-05-08,88
2024-05-09,80
2024-05-10,78
2024-05-11,74
2024-05-12,88
2024-05-13,83
2024-05-14,81
2024-05-15,79
2024-05-16,78
2024-05-17,70
2024-05-18,68
2024-05-19,73
2024-05-20,79
2024-05-21,80
2024-05-22,80
2024-05-23,76
2024-05-24,69
2024-05-25,62
2024-05-26,64
2024-05-27,80
2024-05-28,79
2024-05-29,83
2024-05-30,82
2024-05-31,74
2024-06-01,67
2024-06-02,81
2024-06-03,87
2024-06-04,95
2024-06-05,97
2024-06-06,89
2024-06-07,81
2024-06-08,85
2024-06-09,90
2024-06-10,92
2024-06-11,99
2024-06-12,99
2024-06-13,95
2024-06-14,85
2024-06-15,81
2024-06-16,86
2024-06-17,91
2024-06-18,89
2024-06-19,95
2024-06-20,87
2024-06-21,83
2024-06-22,79
2024-06-23,93
2024-06-24,90
2024-06-25,95
2024-06-26,89
2024-06-27,89
2024-06-28,81
2024-06-29,77
2024-06-30,86
2024-07-01,90
2024-07-02,94
2024-07-03,89
2024-07-04,85
2024-07-05,76
2024-07-06,76
2024-07-07,91
2024-07-08,91
2024-07-09,95
2024-07-10,91
2024-07-11,88
2024-07-12,77
2024-07-13,77
2024-07-14,78
2024-07-15,89
2024-07-16,90
2024-07-17,92
2024-07-18,92
2024-07-19,97
2024-07-20,91
2024-07-21,87
2024-07-22,97
2024-07-23,100
2024-07-24,92
2024-07-25,84
2024-07-26,85
2024-07-27,72
2024-07-28,82
2024-07-29,89
2024-07-30,88
2024-07-31,86
2024-08-01,84
2024-08-02,80
2024-08-03,80
2024-08-04,97
2024-08-05,92
2024-08-06,90
2024-08-07,93
2024-08-08,86
2024-08-09,81
2024-08-10,69
2024-08-11,90
2024-08-12,84
2024-08-13,92
2024-08-14,90
2024-08-15,87
2024-08-16,79
2024-08-17,74
2024-08-18,91
2024-08-19,90
2024-08-20,88
2024-08-21,80
2024-08-22,84
2024-08-23,81
2024-08-24,75
2024-08-25,87
2024-08-26,86
2024-08-27,85
2024-08-28,83
2024-08-29,80
2024-08-30,76
2024-08-31,65
2024-09-01,73
2024-09-02,88
2024-09-03,83
2024-09-04,83
2024-09-05,80
2024-09-06,74
2024-09-07,71
2024-09-08,75
2024-09-09,80
2024-09-10,84
2024-09-11,78
2024-09-12,76
2024-09-13,68
2024-09-14,58
2024-09-15,62
2024-09-16,75
