Time,google calendar
2022-01-01,20
2022-01-02,29
2022-01-03,54
2022-01-04,63
2022-01-05,52
2022-01-06,40
2022-01-07,45
2022-01-08,27
2022-01-09,28
2022-01-10,59
2022-01-11,54
2022-01-12,54
2022-01-13,48
2022-01-14,37
2022-01-15,24
2022-01-16,21
2022-01-17,38
2022-01-18,54
2022-01-19,56
2022-01-20,48
2022-01-21,42
2022-01-22,26
2022-01-23,29
2022-01-24,74
2022-01-25,53
2022-01-26,49
2022-01-27,49
2022-01-28,45
2022-01-29,27
2022-01-30,30
2022-01-31,62
2022-02-01,59
2022-02-02,54
2022-02-03,48
2022-02-04,47
2022-02-05,25
2022-02-06,27
2022-02-07,60
2022-02-08,56
2022-02-09,50
2022-02-10,41
2022-02-11,45
2022-02-12,23
2022-02-13,25
2022-02-14,48
2022-02-15,61
2022-02-16,53
2022-02-17,49
2022-02-18,42
2022-02-19,25
2022-02-20,27
2022-02-21,48
2022-02-22,52
2022-02-23,53
2022-02-24,46
2022-02-25,40
2022-02-26,28
2022-02-27,31
2022-02-28,57
2022-03-01,56
2022-03-02,50
2022-03-03,48
2022-03-04,41
2022-03-05,26
2022-03-06,26
2022-03-07,52
2022-03-08,51
2022-03-09,51
2022-03-10,47
2022-03-11,38
2022-03-12,25
2022-03-13,25
2022-03-14,51
2022-03-15,49
2022-03-16,46
2022-03-17,43
2022-03-18,39
2022-03-19,24
2022-03-20,27
2022-03-21,61
2022-03-22,49
2022-03-23,48
2022-03-24,46
2022-03-25,55
2022-03-26,30
2022-03-27,35
2022-03-28,74
2022-03-29,70
2022-03-30,50
2022-03-31,64
2022-04-01,56
2022-04-02,29
2022-04-03,33
2022-04-04,73
2022-04-05,69
2022-04-06,66
2022-04-07,62
2022-04-08,55
2022-04-09,29
2022-04-10,32
2022-04-11,75
2022-04-12,66
2022-04-13,64
2022-04-14,57
2022-04-15,48
2022-04-16,25
2022-04-17,26
2022-04-18,69
2022-04-19,67
2022-04-20,64
2022-04-21,60
2022-04-22,54
2022-04-23,25
2022-04-24,31
2022-04-25,74
2022-04-26,70
2022-04-27,63
2022-04-28,62
2022-04-29,52
2022-04-30,27
2022-05-01,33
2022-05-02,69
2022-05-03,65
2022-05-04,62
2022-05-05,60
2022-05-06,56
2022-05-07,27
2022-05-08,28
2022-05-09,69
2022-05-10,63
2022-05-11,68
2022-05-12,64
2022-05-13,56
2022-05-14,25
2022-05-15,28
2022-05-16,67
2022-05-17,67
2022-05-18,64
2022-05-19,63
2022-05-20,54
2022-05-21,26
2022-05-22,28
2022-05-23,81
2022-05-24,72
2022-05-25,63
2022-05-26,62
2022-05-27,53
2022-05-28,23
2022-05-29,23
2022-05-30,33
2022-05-31,73
2022-06-01,83
2022-06-02,64
2022-06-03,53
2022-06-04,26
2022-06-05,29
2022-06-06,69
2022-06-07,66
2022-06-08,65
2022-06-09,62
2022-06-10,54
2022-06-11,24
2022-06-12,28
2022-06-13,62
2022-06-14,67
2022-06-15,65
2022-06-16,61
2022-06-17,47
2022-06-18,24
2022-06-19,26
2022-06-20,57
2022-06-21,69
2022-06-22,61
2022-06-23,61
2022-06-24,48
2022-06-25,21
2022-06-26,24
2022-06-27,65
2022-06-28,64
2022-06-29,57
2022-06-30,57
2022-07-01,42
2022-07-02,21
2022-07-03,19
2022-07-04,25
2022-07-05,68
2022-07-06,60
2022-07-07,56
2022-07-08,49
2022-07-09,24
2022-07-10,25
2022-07-11,66
2022-07-12,73
2022-07-13,59
2022-07-14,57
2022-07-15,49
2022-07-16,23
2022-07-17,27
2022-07-18,70
2022-07-19,63
2022-07-20,62
2022-07-21,56
2022-07-22,50
2022-07-23,24
2022-07-24,28
2022-07-25,66
2022-07-26,65
2022-07-27,60
2022-07-28,62
2022-07-29,53
2022-07-30,25
2022-07-31,31
2022-08-01,71
2022-08-02,73
2022-08-03,63
2022-08-04,64
2022-08-05,54
2022-08-06,27
2022-08-07,31
2022-08-08,71
2022-08-09,70
2022-08-10,68
2022-08-11,65
2022-08-12,57
2022-08-13,28
2022-08-14,33
2022-08-15,81
2022-08-16,84
2022-08-17,76
2022-08-18,72
2022-08-19,64
2022-08-20,34
2022-08-21,45
2022-08-22,91
2022-08-23,100
2022-08-24,85
2022-08-25,79
2022-08-26,65
2022-08-27,36
2022-08-28,45
2022-08-29,94
2022-08-30,95
2022-08-31,85
2022-09-01,76
2022-09-02,61
2022-09-03,27
2022-09-04,33
2022-09-05,47
2022-09-06,88
2022-09-07,89
2022-09-08,75
2022-09-09,64
2022-09-10,31
2022-09-11,38
2022-09-12,85
2022-09-13,86
2022-09-14,82
2022-09-15,71
2022-09-16,65
2022-09-17,27
2022-09-18,37
2022-09-19,80
2022-09-20,79
2022-09-21,75
2022-09-22,73
2022-09-23,60
2022-09-24,28
2022-09-25,34
2022-09-26,81
2022-09-27,72
