Time,google calendar
2023-12-22,32
2023-12-23,21
2023-12-24,17
2023-12-25,17
2023-12-26,36
2023-12-27,38
2023-12-28,42
2023-12-29,36
2023-12-30,26
2023-12-31,26
2024-01-01,37
2024-01-02,73
2024-01-03,74
2024-01-04,71
2024-01-05,63
2024-01-06,35
2024-01-07,38
2024-01-08,79
2024-01-09,76
2024-01-10,77
2024-01-11,72
2024-01-12,60
2024-01-13,32
2024-01-14,29
2024-01-15,53
2024-01-16,80
2024-01-17,80
2024-01-18,73
2024-01-19,62
2024-01-20,33
2024-01-21,36
2024-01-22,80
2024-01-23,75
2024-01-24,79
2024-01-25,68
2024-01-26,64
2024-01-27,34
2024-01-28,37
2024-01-29,81
2024-01-30,77
2024-01-31,77
2024-02-01,73
2024-02-02,64
2024-02-03,33
2024-02-04,38
2024-02-05,80
2024-02-06,77
2024-02-07,73
2024-02-08,68
2024-02-09,61
2024-02-10,29
2024-02-11,31
2024-02-12,69
2024-02-13,74
2024-02-14,70
2024-02-15,71
2024-02-16,61
2024-02-17,27
2024-02-18,32
2024-02-19,62
2024-02-20,81
2024-02-21,75
2024-02-22,70
2024-02-23,58
2024-02-24,32
2024-02-25,34
2024-02-26,77
2024-02-27,75
2024-02-28,67
2024-02-29,61
2024-03-01,57
2024-03-02,30
2024-03-03,32
2024-03-04,74
2024-03-05,67
2024-03-06,67
2024-03-07,60
2024-03-08,52
2024-03-09,31
2024-03-10,28
2024-03-11,69
2024-03-12,65
2024-03-13,59
2024-03-14,56
2024-03-15,49
2024-03-16,27
2024-03-17,30
2024-03-18,71
2024-03-19,66
2024-03-20,64
2024-03-21,59
2024-03-22,48
2024-03-23,26
2024-03-24,29
2024-03-25,65
2024-03-26,66
2024-03-27,60
2024-03-28,59
2024-03-29,41
2024-03-30,25
2024-03-31,25
2024-04-01,72
2024-04-02,69
2024-04-03,63
2024-04-04,58
2024-04-05,52
2024-04-06,26
2024-04-07,27
2024-04-08,62
2024-04-09,64
2024-04-10,64
2024-04-11,60
2024-04-12,51
2024-04-13,25
2024-04-14,29
2024-04-15,67
2024-04-16,65
2024-04-17,60
2024-04-18,61
2024-04-19,50
2024-04-20,24
2024-04-21,30
2024-04-22,70
2024-04-23,66
2024-04-24,62
2024-04-25,61
2024-04-26,48
2024-04-27,25
2024-04-28,30
2024-04-29,67
2024-04-30,64
2024-05-01,64
2024-05-02,57
2024-05-03,53
2024-05-04,26
2024-05-05,28
2024-05-06,64
2024-05-07,59
2024-05-08,59
2024-05-09,58
2024-05-10,46
2024-05-11,24
2024-05-12,27
2024-05-13,66
2024-05-14,60
2024-05-15,60
2024-05-16,57
2024-05-17,51
2024-05-18,26
2024-05-19,29
2024-05-20,65
2024-05-21,60
2024-05-22,60
2024-05-23,59
2024-05-24,49
2024-05-25,24
2024-05-26,25
2024-05-27,33
2024-05-28,68
2024-05-29,62
2024-05-30,61
2024-05-31,50
2024-06-01,27
2024-06-02,31
2024-06-03,71
2024-06-04,64
2024-06-05,63
2024-06-06,59
2024-06-07,48
2024-06-08,24
2024-06-09,28
2024-06-10,65
2024-06-11,63
2024-06-12,61
2024-06-13,53
2024-06-14,45
2024-06-15,24
2024-06-16,26
2024-06-17,62
2024-06-18,56
2024-06-19,46
2024-06-20,54
2024-06-21,47
2024-06-22,22
2024-06-23,25
2024-06-24,60
2024-06-25,59
2024-06-26,56
2024-06-27,52
2024-06-28,46
2024-06-29,22
2024-06-30,25
2024-07-01,59
2024-07-02,53
2024-07-03,49
2024-07-04,23
2024-07-05,34
2024-07-06,23
2024-07-07,26
2024-07-08,64
2024-07-09,57
2024-07-10,58
2024-07-11,52
2024-07-12,45
2024-07-13,27
2024-07-14,24
2024-07-15,58
2024-07-16,57
2024-07-17,58
2024-07-18,54
2024-07-19,45
2024-07-20,25
2024-07-21,27
2024-07-22,64
2024-07-23,61
2024-07-24,59
2024-07-25,57
2024-07-26,46
2024-07-27,25
2024-07-28,28
2024-07-29,64
2024-07-30,64
2024-07-31,59
2024-08-01,61
2024-08-02,52
2024-08-03,29
2024-08-04,33
2024-08-05,68
2024-08-06,66
2024-08-07,66
2024-08-08,64
2024-08-09,56
2024-08-10,29
2024-08-11,35
2024-08-12,80
2024-08-13,77
2024-08-14,73
2024-08-15,70
2024-08-16,60
2024-08-17,34
2024-08-18,45
2024-08-19,91
2024-08-20,86
2024-08-21,89
2024-08-22,81
2024-08-23,70
2024-08-24,38
2024-08-25,52
2024-08-26,100
2024-08-27,98
2024-08-28,86
2024-08-29,87
2024-08-30,65
2024-08-31,34
2024-09-01,36
2024-09-02,53
2024-09-03,95
2024-09-04,96
2024-09-05,90
2024-09-06,70
2024-09-07,34
2024-09-08,40
2024-09-09,91
2024-09-10,83
2024-09-11,76
2024-09-12,77
2024-09-13,63
2024-09-14,29
2024-09-15,36
2024-09-16,80
