Time,longlegs
2025-12-11,34
2025-12-12,47
2025-12-13,39
2025-12-14,36
2025-12-15,28
2025-12-16,37
2025-12-17,39
2025-12-18,28
2025-12-19,37
2025-12-20,38
2025-12-21,47
2025-12-22,39
2025-12-23,28
2025-12-24,46
2025-12-25,36
2025-12-26,47
2025-12-27,48
2025-12-28,46
2025-12-29,47
2025-12-30,51
2025-12-31,55
2026-01-01,50
2026-01-02,46
2026-01-03,50
2026-01-04,55
2026-01-05,37
2026-01-06,33
2026-01-07,33
2026-01-08,49
2026-01-09,38
2026-01-10,55
2026-01-11,51
2026-01-12,47
2026-01-13,39
2026-01-14,38
2026-01-15,20
2026-01-16,35
2026-01-17,47
2026-01-18,41
2026-01-19,30
2026-01-20,23
2026-01-21,36
2026-01-22,35
2026-01-23,26
2026-01-24,57
2026-01-25,66
2026-01-26,58
2026-01-27,50
2026-01-28,32
2026-01-29,43
2026-01-30,46
2026-01-31,50
2026-02-01,55
2026-02-02,42
2026-02-03,33
2026-02-04,30
2026-02-05,30
2026-02-06,32
2026-02-07,41
2026-02-08,57
2026-02-09,34
2026-02-10,33
2026-02-11,31
2026-02-12,42
2026-02-13,41
2026-02-14,40
2026-02-15,54
2026-02-16,61
2026-02-17,47
2026-02-18,35
2026-02-19,25
2026-02-20,40
2026-02-21,56
2026-02-22,61
2026-02-23,45
2026-02-24,49
2026-02-25,43
2026-02-26,35
2026-02-27,55
2026-02-28,59
2026-03-01,66
2026-03-02,85
2026-03-03,93
2026-03-04,46
2026-03-05,54
2026-03-06,63
2026-03-07,69
2026-03-08,56
2026-03-09,39
2026-03-10,41
2026-03-11,39
2026-03-12,35
2026-03-13,54
2026-03-14,67
2026-03-15,58
2026-03-16,43
2026-03-17,69
2026-03-18,36
2026-03-19,43
2026-03-20,43
2026-03-21,48
2026-03-22,58
2026-03-23,47
2026-03-24,37
2026-03-25,29
2026-03-26,30
2026-03-27,43
2026-03-28,54
2026-03-29,43
2026-03-30,41
2026-03-31,36
2026-04-01,33
2026-04-02,38
2026-04-03,43
2026-04-04,40
2026-04-05,54
2026-04-06,38
2026-04-07,30
2026-04-08,29
2026-04-09,33
2026-04-10,40
2026-04-11,47
2026-04-12,51
2026-04-13,27
2026-04-14,69
2026-04-15,100
2026-04-16,56
2026-04-17,45
2026-04-18,64
2026-04-19,68
2026-04-20,57
2026-04-21,39
2026-04-22,41
2026-04-23,38
2026-04-24,40
2026-04-25,55
2026-04-26,59
2026-04-27,67
2026-04-28,35
2026-04-29,48
2026-04-30,30
2026-05-01,39
2026-05-02,55
2026-05-03,57
2026-05-04,32
2026-05-05,68
2026-05-06,58
2026-05-07,48
2026-05-08,45
2026-05-09,51
2026-05-10,61
2026-05-11,47
2026-05-12,36
2026-05-13,39
2026-05-14,41
2026-05-15,43
2026-05-16,77
2026-05-17,69
2026-05-18,49
2026-05-19,45
2026-05-20,48
2026-05-21,50
2026-05-22,57
2026-05-23,73
2026-05-24,85
2026-05-25,73
2026-05-26,51
2026-05-27,50
2026-05-28,53
2026-05-29,71
2026-05-30,88
2026-05-31,59
