Time,nintendo switch 2
2023-12-22,47
2023-12-23,48
2023-12-24,51
2023-12-25,100
2023-12-26,85
2023-12-27,63
2023-12-28,51
2023-12-29,50
2023-12-30,51
2023-12-31,52
2024-01-01,76
2024-01-02,64
2024-01-03,63
2024-01-04,68
2024-01-05,48
2024-01-06,57
2024-01-07,56
2024-01-08,54
2024-01-09,54
2024-01-10,53
2024-01-11,50
2024-01-12,55
2024-01-13,63
2024-01-14,60
2024-01-15,47
2024-01-16,38
2024-01-17,40
2024-01-18,33
2024-01-19,37
2024-01-20,55
2024-01-21,50
2024-01-22,37
2024-01-23,35
2024-01-24,32
2024-01-25,32
2024-01-26,36
2024-01-27,56
2024-01-28,51
2024-01-29,31
2024-01-30,34
2024-01-31,36
2024-02-01,31
2024-02-02,31
2024-02-03,40
2024-02-04,43
2024-02-05,26
2024-02-06,32
2024-02-07,32
2024-02-08,30
2024-02-09,24
2024-02-10,33
2024-02-11,38
2024-02-12,31
2024-02-13,33
2024-02-14,30
2024-02-15,26
2024-02-16,35
2024-02-17,48
2024-02-18,49
2024-02-19,44
2024-02-20,41
2024-02-21,42
2024-02-22,34
2024-02-23,30
2024-02-24,30
2024-02-25,31
2024-02-26,30
2024-02-27,35
2024-02-28,28
2024-02-29,27
2024-03-01,32
2024-03-02,39
2024-03-03,48
2024-03-04,32
2024-03-05,26
2024-03-06,25
2024-03-07,21
2024-03-08,26
2024-03-09,30
2024-03-10,45
2024-03-11,28
2024-03-12,27
2024-03-13,24
2024-03-14,24
2024-03-15,24
2024-03-16,31
2024-03-17,39
2024-03-18,29
2024-03-19,28
2024-03-20,25
2024-03-21,24
2024-03-22,23
2024-03-23,33
2024-03-24,37
2024-03-25,26
2024-03-26,25
2024-03-27,27
2024-03-28,22
2024-03-29,29
2024-03-30,30
2024-03-31,36
2024-04-01,30
2024-04-02,24
2024-04-03,26
2024-04-04,26
2024-04-05,26
2024-04-06,28
2024-04-07,32
2024-04-08,26
2024-04-09,22
2024-04-10,17
2024-04-11,19
2024-04-12,21
2024-04-13,23
2024-04-14,29
2024-04-15,22
2024-04-16,22
2024-04-17,18
2024-04-18,21
2024-04-19,22
2024-04-20,28
2024-04-21,33
2024-04-22,23
2024-04-23,21
2024-04-24,20
2024-04-25,19
2024-04-26,19
2024-04-27,47
2024-04-28,39
2024-04-29,76
2024-04-30,74
2024-05-01,72
2024-05-02,46
2024-05-03,26
2024-05-04,28
2024-05-05,39
2024-05-06,36
2024-05-07,74
2024-05-08,57
2024-05-09,49
2024-05-10,48
2024-05-11,46
2024-05-12,40
2024-05-13,50
2024-05-14,53
2024-05-15,39
2024-05-16,37
2024-05-17,33
2024-05-18,30
2024-05-19,45
2024-05-20,27
2024-05-21,24
2024-05-22,23
2024-05-23,30
2024-05-24,30
2024-05-25,34
2024-05-26,38
2024-05-27,35
2024-05-28,28
2024-05-29,29
2024-05-30,31
2024-05-31,24
2024-06-01,37
2024-06-02,40
2024-06-03,30
2024-06-04,28
2024-06-05,30
2024-06-06,30
2024-06-07,27
2024-06-08,32
2024-06-09,38
2024-06-10,31
2024-06-11,32
2024-06-12,30
2024-06-13,28
2024-06-14,29
2024-06-15,30
2024-06-16,32
2024-06-17,30
2024-06-18,52
2024-06-19,47
2024-06-20,38
2024-06-21,36
2024-06-22,40
2024-06-23,39
2024-06-24,33
2024-06-25,30
2024-06-26,26
2024-06-27,29
2024-06-28,33
2024-06-29,36
2024-06-30,36
2024-07-01,39
2024-07-02,42
2024-07-03,49
2024-07-04,51
2024-07-05,52
2024-07-06,32
2024-07-07,41
2024-07-08,31
2024-07-09,34
2024-07-10,37
2024-07-11,33
2024-07-12,33
2024-07-13,31
2024-07-14,29
2024-07-15,37
2024-07-16,34
2024-07-17,31
2024-07-18,33
2024-07-19,33
2024-07-20,37
2024-07-21,42
2024-07-22,33
2024-07-23,29
2024-07-24,27
2024-07-25,28
2024-07-26,26
2024-07-27,31
2024-07-28,31
2024-07-29,28
2024-07-30,28
2024-07-31,25
2024-08-01,25
2024-08-02,27
2024-08-03,37
2024-08-04,34
2024-08-05,38
2024-08-06,31
2024-08-07,27
2024-08-08,28
2024-08-09,30
2024-08-10,38
2024-08-11,39
2024-08-12,30
2024-08-13,30
2024-08-14,30
2024-08-15,32
2024-08-16,26
2024-08-17,40
2024-08-18,46
2024-08-19,33
2024-08-20,27
2024-08-21,28
2024-08-22,30
2024-08-23,28
2024-08-24,39
2024-08-25,46
2024-08-26,28
2024-08-27,31
2024-08-28,32
2024-08-29,28
2024-08-30,27
2024-08-31,32
2024-09-01,37
2024-09-02,37
2024-09-03,27
2024-09-04,26
2024-09-05,26
2024-09-06,30
2024-09-07,40
2024-09-08,46
2024-09-09,30
2024-09-10,36
2024-09-11,43
2024-09-12,43
2024-09-13,38
2024-09-14,50
2024-09-15,52
2024-09-16,50
