Time,nintendo switch 2
2022-08-29,22
2022-08-30,20
2022-08-31,16
2022-09-01,18
2022-09-02,17
2022-09-03,28
2022-09-04,29
2022-09-05,26
2022-09-06,18
2022-09-07,16
2022-09-08,19
2022-09-09,14
2022-09-10,27
2022-09-11,26
2022-09-12,17
2022-09-13,28
2022-09-14,27
2022-09-15,18
2022-09-16,22
2022-09-17,23
2022-09-18,32
2022-09-19,20
2022-09-20,15
2022-09-21,16
2022-09-22,20
2022-09-23,28
2022-09-24,27
2022-09-25,28
2022-09-26,20
2022-09-27,17
2022-09-28,19
2022-09-29,19
2022-09-30,24
2022-10-01,22
2022-10-02,31
2022-10-03,19
2022-10-04,32
2022-10-05,28
2022-10-06,23
2022-10-07,24
2022-10-08,34
2022-10-09,34
2022-10-10,26
2022-10-11,23
2022-10-12,23
2022-10-13,20
2022-10-14,23
2022-10-15,30
2022-10-16,24
2022-10-17,20
2022-10-18,17
2022-10-19,20
2022-10-20,17
2022-10-21,22
2022-10-22,27
2022-10-23,24
2022-10-24,12
2022-10-25,18
2022-10-26,22
2022-10-27,21
2022-10-28,20
2022-10-29,29
2022-10-30,29
2022-10-31,21
2022-11-01,22
2022-11-02,16
2022-11-03,19
2022-11-04,24
2022-11-05,33
2022-11-06,33
2022-11-07,24
2022-11-08,25
2022-11-09,19
2022-11-10,20
2022-11-11,26
2022-11-12,32
2022-11-13,43
2022-11-14,30
2022-11-15,26
2022-11-16,26
2022-11-17,28
2022-11-18,34
2022-11-19,42
2022-11-20,47
2022-11-21,40
2022-11-22,36
2022-11-23,45
2022-11-24,55
2022-11-25,86
2022-11-26,58
2022-11-27,53
2022-11-28,45
2022-11-29,33
2022-11-30,29
2022-12-01,30
2022-12-02,27
2022-12-03,36
2022-12-04,42
2022-12-05,36
2022-12-06,32
2022-12-07,31
2022-12-08,32
2022-12-09,36
2022-12-10,47
2022-12-11,36
2022-12-12,35
2022-12-13,29
2022-12-14,29
2022-12-15,33
2022-12-16,35
2022-12-17,48
2022-12-18,46
2022-12-19,37
2022-12-20,40
2022-12-21,35
2022-12-22,37
2022-12-23,46
2022-12-24,53
2022-12-25,100
2022-12-26,93
2022-12-27,58
2022-12-28,56
2022-12-29,47
2022-12-30,48
2022-12-31,52
2023-01-01,52
2023-01-02,50
2023-01-03,31
2023-01-04,33
2023-01-05,31
2023-01-06,32
2023-01-07,42
2023-01-08,47
2023-01-09,28
2023-01-10,21
2023-01-11,25
2023-01-12,24
2023-01-13,30
2023-01-14,36
2023-01-15,36
2023-01-16,24
2023-01-17,22
2023-01-18,22
2023-01-19,21
2023-01-20,25
2023-01-21,33
2023-01-22,36
2023-01-23,22
2023-01-24,20
2023-01-25,20
2023-01-26,21
2023-01-27,19
2023-01-28,31
2023-01-29,37
2023-01-30,20
2023-01-31,24
2023-02-01,24
2023-02-02,20
2023-02-03,22
2023-02-04,33
2023-02-05,31
2023-02-06,21
2023-02-07,24
2023-02-08,22
2023-02-09,29
2023-02-10,28
2023-02-11,35
2023-02-12,33
2023-02-13,17
2023-02-14,17
2023-02-15,21
2023-02-16,21
2023-02-17,23
2023-02-18,34
2023-02-19,39
2023-02-20,33
2023-02-21,27
2023-02-22,22
2023-02-23,22
2023-02-24,27
2023-02-25,34
2023-02-26,37
2023-02-27,29
2023-02-28,28
2023-03-01,31
2023-03-02,30
2023-03-03,21
2023-03-04,38
2023-03-05,45
2023-03-06,31
2023-03-07,22
2023-03-08,23
2023-03-09,20
2023-03-10,27
2023-03-11,35
2023-03-12,40
2023-03-13,33
2023-03-14,24
2023-03-15,24
2023-03-16,21
2023-03-17,21
2023-03-18,34
2023-03-19,31
2023-03-20,28
2023-03-21,21
2023-03-22,24
2023-03-23,21
2023-03-24,21
2023-03-25,27
2023-03-26,29
2023-03-27,26
2023-03-28,25
2023-03-29,27
2023-03-30,22
2023-03-31,24
2023-04-01,30
2023-04-02,33
2023-04-03,21
2023-04-04,22
2023-04-05,20
2023-04-06,23
2023-04-07,30
2023-04-08,38
2023-04-09,42
2023-04-10,20
2023-04-11,23
2023-04-12,22
2023-04-13,23
2023-04-14,19
2023-04-15,30
2023-04-16,38
2023-04-17,26
2023-04-18,26
2023-04-19,23
2023-04-20,18
2023-04-21,28
2023-04-22,36
2023-04-23,36
2023-04-24,27
2023-04-25,27
2023-04-26,24
2023-04-27,19
2023-04-28,20
2023-04-29,31
2023-04-30,40
2023-05-01,26
2023-05-02,20
2023-05-03,20
2023-05-04,20
2023-05-05,23
2023-05-06,32
2023-05-07,34
2023-05-08,25
2023-05-09,26
2023-05-10,26
2023-05-11,28
2023-05-12,33
2023-05-13,42
2023-05-14,40
2023-05-15,25
2023-05-16,31
2023-05-17,24
2023-05-18,24
2023-05-19,25
2023-05-20,34
2023-05-21,37
2023-05-22,18
2023-05-23,18
2023-05-24,16
2023-05-25,23
