Time,nashville weather
2023-04-26,23
2023-04-27,26
2023-04-28,26
2023-04-29,25
2023-04-30,24
2023-05-01,20
2023-05-02,24
2023-05-03,25
2023-05-04,28
2023-05-05,37
2023-05-06,33
2023-05-07,57
2023-05-08,52
2023-05-09,21
2023-05-10,17
2023-05-11,23
2023-05-12,25
2023-05-13,23
2023-05-14,21
2023-05-15,20
2023-05-16,20
2023-05-17,16
2023-05-18,19
2023-05-19,25
2023-05-20,26
2023-05-21,13
2023-05-22,12
2023-05-23,13
2023-05-24,12
2023-05-25,12
2023-05-26,12
2023-05-27,15
2023-05-28,14
2023-05-29,14
2023-05-30,11
2023-05-31,12
2023-06-01,13
2023-06-02,11
2023-06-03,11
2023-06-04,18
2023-06-05,11
2023-06-06,10
2023-06-07,15
2023-06-08,11
2023-06-09,12
2023-06-10,14
2023-06-11,39
2023-06-12,17
2023-06-13,14
2023-06-14,17
2023-06-15,20
2023-06-16,15
2023-06-17,13
2023-06-18,23
2023-06-19,28
2023-06-20,25
2023-06-21,21
2023-06-22,19
2023-06-23,20
2023-06-24,20
2023-06-25,47
2023-06-26,22
2023-06-27,14
2023-06-28,16
2023-06-29,41
2023-06-30,25
2023-07-01,62
2023-07-02,34
2023-07-03,22
2023-07-04,19
2023-07-05,20
2023-07-06,19
2023-07-07,16
2023-07-08,29
2023-07-09,23
2023-07-10,15
2023-07-11,13
2023-07-12,16
2023-07-13,18
2023-07-14,23
2023-07-15,30
2023-07-16,16
2023-07-17,15
2023-07-18,30
2023-07-19,27
2023-07-20,31
2023-07-21,18
2023-07-22,13
2023-07-23,12
2023-07-24,14
2023-07-25,13
2023-07-26,13
2023-07-27,12
2023-07-28,15
2023-07-29,20
2023-07-30,23
2023-07-31,12
2023-08-01,10
2023-08-02,13
2023-08-03,24
2023-08-04,21
2023-08-05,24
2023-08-06,23
2023-08-07,25
2023-08-08,16
2023-08-09,25
2023-08-10,23
2023-08-11,16
2023-08-12,29
2023-08-13,27
2023-08-14,22
2023-08-15,14
2023-08-16,12
2023-08-17,11
2023-08-18,11
2023-08-19,12
2023-08-20,18
2023-08-21,13
2023-08-22,12
2023-08-23,14
2023-08-24,13
2023-08-25,14
2023-08-26,25
2023-08-27,27
2023-08-28,15
2023-08-29,13
2023-08-30,13
2023-08-31,13
2023-09-01,13
2023-09-02,13
2023-09-03,11
2023-09-04,11
2023-09-05,16
2023-09-06,18
2023-09-07,12
2023-09-08,11
2023-09-09,12
2023-09-10,13
2023-09-11,13
2023-09-12,16
2023-09-13,11
2023-09-14,12
2023-09-15,15
2023-09-16,24
2023-09-17,19
2023-09-18,12
2023-09-19,12
2023-09-20,10
2023-09-21,13
2023-09-22,11
2023-09-23,14
2023-09-24,15
2023-09-25,12
2023-09-26,13
2023-09-27,16
2023-09-28,25
2023-09-29,16
2023-09-30,14
2023-10-01,14
2023-10-02,13
2023-10-03,12
2023-10-04,16
2023-10-05,24
2023-10-06,18
2023-10-07,16
2023-10-08,17
2023-10-09,16
2023-10-10,13
2023-10-11,17
2023-10-12,17
2023-10-13,17
2023-10-14,21
2023-10-15,20
2023-10-16,16
2023-10-17,15
2023-10-18,15
2023-10-19,20
2023-10-20,17
2023-10-21,14
2023-10-22,14
2023-10-23,16
2023-10-24,16
2023-10-25,14
2023-10-26,14
2023-10-27,19
2023-10-28,21
2023-10-29,23
2023-10-30,22
2023-10-31,19
2023-11-01,16
2023-11-02,16
2023-11-03,15
2023-11-04,15
2023-11-05,15
2023-11-06,14
2023-11-07,14
2023-11-08,16
2023-11-09,19
2023-11-10,18
2023-11-11,15
2023-11-12,13
2023-11-13,14
2023-11-14,13
2023-11-15,13
2023-11-16,16
2023-11-17,18
2023-11-18,14
2023-11-19,15
2023-11-20,18
2023-11-21,20
2023-11-22,13
2023-11-23,13
2023-11-24,12
2023-11-25,14
2023-11-26,19
2023-11-27,14
2023-11-28,15
2023-11-29,15
2023-11-30,16
2023-12-01,17
2023-12-02,17
2023-12-03,18
2023-12-04,14
2023-12-05,14
2023-12-06,13
2023-12-07,13
2023-12-08,15
2023-12-09,87
2023-12-10,62
2023-12-11,19
2023-12-12,13
2023-12-13,13
2023-12-14,12
2023-12-15,13
2023-12-16,16
2023-12-17,19
2023-12-18,14
2023-12-19,15
2023-12-20,13
2023-12-21,12
2023-12-22,13
2023-12-23,18
2023-12-24,17
2023-12-25,19
2023-12-26,22
2023-12-27,20
2023-12-28,20
2023-12-29,26
2023-12-30,21
2023-12-31,17
2024-01-01,33
2024-01-02,15
2024-01-03,16
2024-01-04,16
2024-01-05,17
2024-01-06,21
2024-01-07,23
2024-01-08,24
2024-01-09,40
2024-01-10,33
2024-01-11,30
2024-01-12,47
2024-01-13,44
2024-01-14,71
2024-01-15,100
2024-01-16,60
2024-01-17,58
2024-01-18,64
2024-01-19,52
2024-01-20,31
