Time,nashville weather
2023-12-22,12
2023-12-23,16
2023-12-24,15
2023-12-25,17
2023-12-26,19
2023-12-27,18
2023-12-28,18
2023-12-29,23
2023-12-30,19
2023-12-31,15
2024-01-01,30
2024-01-02,14
2024-01-03,14
2024-01-04,14
2024-01-05,16
2024-01-06,19
2024-01-07,20
2024-01-08,21
2024-01-09,36
2024-01-10,29
2024-01-11,27
2024-01-12,43
2024-01-13,39
2024-01-14,63
2024-01-15,90
2024-01-16,54
2024-01-17,52
2024-01-18,57
2024-01-19,46
2024-01-20,28
2024-01-21,26
2024-01-22,25
2024-01-23,19
2024-01-24,18
2024-01-25,19
2024-01-26,15
2024-01-27,16
2024-01-28,16
2024-01-29,14
2024-01-30,13
2024-01-31,12
2024-02-01,10
2024-02-02,10
2024-02-03,14
2024-02-04,13
2024-02-05,11
2024-02-06,12
2024-02-07,13
2024-02-08,12
2024-02-09,14
2024-02-10,15
2024-02-11,12
2024-02-12,17
2024-02-13,20
2024-02-14,10
2024-02-15,12
2024-02-16,19
2024-02-17,16
2024-02-18,17
2024-02-19,13
2024-02-20,12
2024-02-21,12
2024-02-22,14
2024-02-23,15
2024-02-24,13
2024-02-25,15
2024-02-26,13
2024-02-27,18
2024-02-28,21
2024-02-29,13
2024-03-01,15
2024-03-02,14
2024-03-03,14
2024-03-04,16
2024-03-05,17
2024-03-06,15
2024-03-07,14
2024-03-08,17
2024-03-09,18
2024-03-10,13
2024-03-11,14
2024-03-12,12
2024-03-13,15
2024-03-14,20
2024-03-15,25
2024-03-16,15
2024-03-17,14
2024-03-18,16
2024-03-19,17
2024-03-20,14
2024-03-21,14
2024-03-22,18
2024-03-23,18
2024-03-24,17
2024-03-25,17
2024-03-26,19
2024-03-27,12
2024-03-28,13
2024-03-29,12
2024-03-30,12
2024-03-31,13
2024-04-01,25
2024-04-02,100
2024-04-03,26
2024-04-04,16
2024-04-05,17
2024-04-06,15
2024-04-07,16
2024-04-08,19
2024-04-09,18
2024-04-10,17
2024-04-11,19
2024-04-12,14
2024-04-13,12
2024-04-14,11
2024-04-15,13
2024-04-16,15
2024-04-17,17
2024-04-18,16
2024-04-19,17
2024-04-20,17
2024-04-21,16
2024-04-22,12
2024-04-23,11
2024-04-24,12
2024-04-25,13
2024-04-26,14
2024-04-27,13
2024-04-28,13
2024-04-29,15
2024-04-30,15
2024-05-01,11
2024-05-02,15
2024-05-03,21
2024-05-04,23
2024-05-05,15
2024-05-06,19
2024-05-07,20
2024-05-08,70
2024-05-09,46
2024-05-10,14
2024-05-11,11
2024-05-12,11
2024-05-13,14
2024-05-14,22
2024-05-15,16
2024-05-16,16
2024-05-17,18
2024-05-18,19
2024-05-19,12
2024-05-20,10
2024-05-21,11
2024-05-22,25
2024-05-23,23
2024-05-24,21
2024-05-25,24
2024-05-26,39
2024-05-27,29
2024-05-28,10
2024-05-29,10
2024-05-30,10
2024-05-31,14
2024-06-01,19
2024-06-02,12
2024-06-03,15
2024-06-04,16
2024-06-05,15
2024-06-06,11
2024-06-07,8
2024-06-08,13
2024-06-09,17
2024-06-10,9
2024-06-11,7
2024-06-12,8
2024-06-13,9
2024-06-14,8
2024-06-15,9
2024-06-16,17
2024-06-17,13
2024-06-18,10
2024-06-19,10
2024-06-20,8
2024-06-21,11
2024-06-22,11
2024-06-23,17
2024-06-24,11
2024-06-25,10
2024-06-26,17
2024-06-27,14
2024-06-28,10
2024-06-29,14
2024-06-30,28
2024-07-01,10
2024-07-02,10
2024-07-03,14
2024-07-04,16
2024-07-05,16
2024-07-06,10
2024-07-07,10
2024-07-08,14
2024-07-09,18
2024-07-10,13
2024-07-11,9
2024-07-12,8
2024-07-13,8
2024-07-14,8
2024-07-15,9
2024-07-16,15
2024-07-17,17
2024-07-18,13
2024-07-19,11
2024-07-20,17
2024-07-21,16
2024-07-22,13
2024-07-23,12
2024-07-24,13
2024-07-25,12
2024-07-26,12
2024-07-27,12
2024-07-28,15
2024-07-29,16
2024-07-30,12
2024-07-31,17
2024-08-01,9
2024-08-02,13
2024-08-03,12
2024-08-04,10
2024-08-05,10
2024-08-06,10
2024-08-07,12
2024-08-08,9
2024-08-09,9
2024-08-10,8
2024-08-11,8
2024-08-12,7
2024-08-13,7
2024-08-14,8
2024-08-15,9
2024-08-16,13
2024-08-17,13
2024-08-18,17
2024-08-19,9
2024-08-20,7
2024-08-21,9
2024-08-22,9
2024-08-23,9
2024-08-24,7
2024-08-25,9
2024-08-26,9
2024-08-27,10
2024-08-28,11
2024-08-29,12
2024-08-30,17
2024-08-31,17
2024-09-01,20
2024-09-02,12
2024-09-03,10
2024-09-04,9
2024-09-05,8
2024-09-06,10
2024-09-07,11
2024-09-08,11
2024-09-09,13
2024-09-10,12
2024-09-11,16
2024-09-12,28
2024-09-13,22
2024-09-14,22
2024-09-15,14
2024-09-16,10
