Time,johnny depp
2025-04-15,64
2025-04-16,54
2025-04-17,46
2025-04-18,50
2025-04-19,50
2025-04-20,52
2025-04-21,45
2025-04-22,41
2025-04-23,36
2025-04-24,41
2025-04-25,34
2025-04-26,45
2025-04-27,49
2025-04-28,35
2025-04-29,36
2025-04-30,37
2025-05-01,35
2025-05-02,35
2025-05-03,42
2025-05-04,45
2025-05-05,39
2025-05-06,35
2025-05-07,36
2025-05-08,35
2025-05-09,39
2025-05-10,48
2025-05-11,52
2025-05-12,47
2025-05-13,43
2025-05-14,41
2025-05-15,40
2025-05-16,38
2025-05-17,47
2025-05-18,47
2025-05-19,35
2025-05-20,37
2025-05-21,40
2025-05-22,39
2025-05-23,38
2025-05-24,43
2025-05-25,55
2025-05-26,51
2025-05-27,45
2025-05-28,51
2025-05-29,42
2025-05-30,50
2025-05-31,55
2025-06-01,63
2025-06-02,45
2025-06-03,42
2025-06-04,40
2025-06-05,46
2025-06-06,44
2025-06-07,55
2025-06-08,52
2025-06-09,60
2025-06-10,45
2025-06-11,48
2025-06-12,42
2025-06-13,48
2025-06-14,49
2025-06-15,49
2025-06-16,38
2025-06-17,45
2025-06-18,44
2025-06-19,42
2025-06-20,41
2025-06-21,52
2025-06-22,60
2025-06-23,48
2025-06-24,46
2025-06-25,39
2025-06-26,42
2025-06-27,43
2025-06-28,50
2025-06-29,49
2025-06-30,40
2025-07-01,43
2025-07-02,49
2025-07-03,50
2025-07-04,59
2025-07-05,54
2025-07-06,65
2025-07-07,46
2025-07-08,48
2025-07-09,57
2025-07-10,49
2025-07-11,53
2025-07-12,54
2025-07-13,58
2025-07-14,46
2025-07-15,47
2025-07-16,47
2025-07-17,47
2025-07-18,46
2025-07-19,55
2025-07-20,61
2025-07-21,49
2025-07-22,47
2025-07-23,49
2025-07-24,50
2025-07-25,53
2025-07-26,58
2025-07-27,72
2025-07-28,59
2025-07-29,51
2025-07-30,53
2025-07-31,51
2025-08-01,52
2025-08-02,53
2025-08-03,82
2025-08-04,49
2025-08-05,42
2025-08-06,41
2025-08-07,43
2025-08-08,42
2025-08-09,55
2025-08-10,54
2025-08-11,40
2025-08-12,45
2025-08-13,40
2025-08-14,41
2025-08-15,40
2025-08-16,45
2025-08-17,54
2025-08-18,39
2025-08-19,36
2025-08-20,38
2025-08-21,37
2025-08-22,37
2025-08-23,49
2025-08-24,50
2025-08-25,37
2025-08-26,33
2025-08-27,44
2025-08-28,40
2025-08-29,42
2025-08-30,47
2025-08-31,49
2025-09-01,55
2025-09-02,40
2025-09-03,40
2025-09-04,42
2025-09-05,45
2025-09-06,63
2025-09-07,59
2025-09-08,48
2025-09-09,41
2025-09-10,46
2025-09-11,43
2025-09-12,40
2025-09-13,58
2025-09-14,56
2025-09-15,41
2025-09-16,39
2025-09-17,38
2025-09-18,41
2025-09-19,42
2025-09-20,69
2025-09-21,62
2025-09-22,48
2025-09-23,37
2025-09-24,44
2025-09-25,41
2025-09-26,42
2025-09-27,54
2025-09-28,56
2025-09-29,45
2025-09-30,43
2025-10-01,40
2025-10-02,44
2025-10-03,49
2025-10-04,61
2025-10-05,65
2025-10-06,48
2025-10-07,45
2025-10-08,46
2025-10-09,49
2025-10-10,50
2025-10-11,70
2025-10-12,79
2025-10-13,59
2025-10-14,53
2025-10-15,53
2025-10-16,49
2025-10-17,53
2025-10-18,71
2025-10-19,66
2025-10-20,59
2025-10-21,44
2025-10-22,47
2025-10-23,57
2025-10-24,100
2025-10-25,85
2025-10-26,94
2025-10-27,63
2025-10-28,57
2025-10-29,55
2025-10-30,66
2025-10-31,85
2025-11-01,85
2025-11-02,63
2025-11-03,46
2025-11-04,39
2025-11-05,45
2025-11-06,48
2025-11-07,43
2025-11-08,56
2025-11-09,56
2025-11-10,41
2025-11-11,44
2025-11-12,42
2025-11-13,42
2025-11-14,41
2025-11-15,49
2025-11-16,48
2025-11-17,41
2025-11-18,43
2025-11-19,42
2025-11-20,46
2025-11-21,44
2025-11-22,55
2025-11-23,56
2025-11-24,46
2025-11-25,48
2025-11-26,49
2025-11-27,72
2025-11-28,62
2025-11-29,61
2025-11-30,69
2025-12-01,46
2025-12-02,44
2025-12-03,44
2025-12-04,46
2025-12-05,43
2025-12-06,54
2025-12-07,64
2025-12-08,51
2025-12-09,48
2025-12-10,45
2025-12-11,47
2025-12-12,48
2025-12-13,52
2025-12-14,62
2025-12-15,44
2025-12-16,43
2025-12-17,47
2025-12-18,50
2025-12-19,43
2025-12-20,50
2025-12-21,53
2025-12-22,46
2025-12-23,52
2025-12-24,54
2025-12-25,62
2025-12-26,61
2025-12-27,68
2025-12-28,56
2025-12-29,51
2025-12-30,46
2025-12-31,49
2026-01-01,59
2026-01-02,51
2026-01-03,57
2026-01-04,53
2026-01-05,45
2026-01-06,41
2026-01-07,40
2026-01-08,40
2026-01-09,41
