Time,johnny depp
2022-08-29,74
2022-08-30,49
2022-08-31,43
2022-09-01,38
2022-09-02,38
2022-09-03,44
2022-09-04,51
2022-09-05,46
2022-09-06,35
2022-09-07,36
2022-09-08,32
2022-09-09,31
2022-09-10,38
2022-09-11,38
2022-09-12,33
2022-09-13,30
2022-09-14,32
2022-09-15,34
2022-09-16,34
2022-09-17,40
2022-09-18,40
2022-09-19,33
2022-09-20,33
2022-09-21,31
2022-09-22,90
2022-09-23,100
2022-09-24,70
2022-09-25,57
2022-09-26,43
2022-09-27,36
2022-09-28,36
2022-09-29,40
2022-09-30,43
2022-10-01,49
2022-10-02,51
2022-10-03,42
2022-10-04,40
2022-10-05,39
2022-10-06,40
2022-10-07,41
2022-10-08,46
2022-10-09,48
2022-10-10,45
2022-10-11,51
2022-10-12,52
2022-10-13,55
2022-10-14,55
2022-10-15,65
2022-10-16,62
2022-10-17,44
2022-10-18,36
2022-10-19,38
2022-10-20,40
2022-10-21,44
2022-10-22,54
2022-10-23,74
2022-10-24,56
2022-10-25,52
2022-10-26,46
2022-10-27,42
2022-10-28,42
2022-10-29,59
2022-10-30,59
2022-10-31,49
2022-11-01,38
2022-11-02,32
2022-11-03,39
2022-11-04,47
2022-11-05,49
2022-11-06,42
2022-11-07,34
2022-11-08,36
2022-11-09,45
2022-11-10,44
2022-11-11,40
2022-11-12,42
2022-11-13,40
2022-11-14,30
2022-11-15,31
2022-11-16,32
2022-11-17,34
2022-11-18,31
2022-11-19,36
2022-11-20,35
2022-11-21,26
2022-11-22,29
2022-11-23,28
2022-11-24,37
2022-11-25,43
2022-11-26,43
2022-11-27,52
2022-11-28,37
2022-11-29,31
2022-11-30,28
2022-12-01,27
2022-12-02,31
2022-12-03,32
2022-12-04,36
2022-12-05,32
2022-12-06,29
2022-12-07,29
2022-12-08,35
2022-12-09,26
2022-12-10,37
2022-12-11,42
2022-12-12,34
2022-12-13,32
2022-12-14,31
2022-12-15,31
2022-12-16,32
2022-12-17,39
2022-12-18,37
2022-12-19,43
2022-12-20,42
2022-12-21,34
2022-12-22,32
2022-12-23,38
2022-12-24,37
2022-12-25,39
2022-12-26,36
2022-12-27,41
2022-12-28,42
2022-12-29,37
2022-12-30,37
2022-12-31,37
2023-01-01,37
2023-01-02,33
2023-01-03,25
2023-01-04,22
2023-01-05,25
2023-01-06,25
2023-01-07,29
2023-01-08,29
2023-01-09,24
2023-01-10,25
2023-01-11,41
2023-01-12,60
2023-01-13,37
2023-01-14,36
2023-01-15,32
2023-01-16,30
2023-01-17,24
2023-01-18,22
2023-01-19,23
2023-01-20,24
2023-01-21,26
2023-01-22,28
2023-01-23,22
2023-01-24,23
2023-01-25,23
2023-01-26,22
2023-01-27,23
2023-01-28,26
2023-01-29,27
2023-01-30,22
2023-01-31,23
2023-02-01,23
2023-02-02,21
2023-02-03,25
2023-02-04,32
2023-02-05,30
2023-02-06,22
2023-02-07,23
2023-02-08,21
2023-02-09,21
2023-02-10,23
2023-02-11,26
2023-02-12,28
2023-02-13,20
2023-02-14,21
2023-02-15,22
2023-02-16,21
2023-02-17,22
2023-02-18,26
2023-02-19,27
2023-02-20,22
2023-02-21,22
2023-02-22,23
2023-02-23,23
2023-02-24,23
2023-02-25,26
2023-02-26,28
2023-02-27,21
2023-02-28,21
2023-03-01,21
2023-03-02,23
2023-03-03,23
2023-03-04,28
2023-03-05,26
2023-03-06,24
2023-03-07,23
2023-03-08,21
2023-03-09,21
2023-03-10,24
2023-03-11,28
2023-03-12,32
2023-03-13,25
2023-03-14,23
2023-03-15,22
2023-03-16,22
2023-03-17,21
2023-03-18,27
2023-03-19,30
2023-03-20,24
2023-03-21,22
2023-03-22,21
2023-03-23,22
2023-03-24,26
2023-03-25,30
2023-03-26,35
2023-03-27,25
2023-03-28,23
2023-03-29,22
2023-03-30,23
2023-03-31,22
2023-04-01,25
2023-04-02,30
2023-04-03,26
2023-04-04,21
2023-04-05,23
2023-04-06,24
2023-04-07,24
2023-04-08,28
2023-04-09,29
2023-04-10,23
2023-04-11,23
2023-04-12,23
2023-04-13,25
2023-04-14,24
2023-04-15,30
2023-04-16,28
2023-04-17,23
2023-04-18,23
2023-04-19,21
2023-04-20,22
2023-04-21,24
2023-04-22,27
2023-04-23,28
2023-04-24,23
2023-04-25,21
2023-04-26,24
2023-04-27,22
2023-04-28,24
2023-04-29,29
2023-04-30,30
2023-05-01,26
2023-05-02,21
2023-05-03,22
2023-05-04,23
2023-05-05,23
2023-05-06,26
2023-05-07,27
2023-05-08,23
2023-05-09,21
2023-05-10,24
2023-05-11,26
2023-05-12,25
2023-05-13,30
2023-05-14,29
2023-05-15,25
2023-05-16,35
2023-05-17,65
2023-05-18,85
2023-05-19,65
2023-05-20,49
2023-05-21,59
2023-05-22,48
2023-05-23,68
2023-05-24,36
2023-05-25,35
