Time,johnny depp
2023-12-22,36
2023-12-23,48
2023-12-24,41
2023-12-25,39
2023-12-26,36
2023-12-27,33
2023-12-28,34
2023-12-29,51
2023-12-30,78
2023-12-31,52
2024-01-01,40
2024-01-02,33
2024-01-03,35
2024-01-04,30
2024-01-05,31
2024-01-06,42
2024-01-07,36
2024-01-08,28
2024-01-09,28
2024-01-10,28
2024-01-11,29
2024-01-12,29
2024-01-13,37
2024-01-14,36
2024-01-15,32
2024-01-16,28
2024-01-17,29
2024-01-18,26
2024-01-19,28
2024-01-20,35
2024-01-21,35
2024-01-22,26
2024-01-23,27
2024-01-24,28
2024-01-25,26
2024-01-26,27
2024-01-27,45
2024-01-28,76
2024-01-29,28
2024-01-30,26
2024-01-31,26
2024-02-01,26
2024-02-02,27
2024-02-03,31
2024-02-04,33
2024-02-05,25
2024-02-06,25
2024-02-07,27
2024-02-08,26
2024-02-09,100
2024-02-10,42
2024-02-11,36
2024-02-12,24
2024-02-13,23
2024-02-14,24
2024-02-15,24
2024-02-16,26
2024-02-17,40
2024-02-18,40
2024-02-19,29
2024-02-20,23
2024-02-21,24
2024-02-22,26
2024-02-23,23
2024-02-24,31
2024-02-25,32
2024-02-26,24
2024-02-27,21
2024-02-28,26
2024-02-29,26
2024-03-01,24
2024-03-02,33
2024-03-03,46
2024-03-04,32
2024-03-05,24
2024-03-06,23
2024-03-07,23
2024-03-08,24
2024-03-09,31
2024-03-10,39
2024-03-11,29
2024-03-12,26
2024-03-13,35
2024-03-14,28
2024-03-15,26
2024-03-16,32
2024-03-17,34
2024-03-18,25
2024-03-19,26
2024-03-20,27
2024-03-21,26
2024-03-22,27
2024-03-23,31
2024-03-24,34
2024-03-25,31
2024-03-26,79
2024-03-27,66
2024-03-28,33
2024-03-29,29
2024-03-30,35
2024-03-31,35
2024-04-01,28
2024-04-02,25
2024-04-03,22
2024-04-04,23
2024-04-05,26
2024-04-06,32
2024-04-07,29
2024-04-08,21
2024-04-09,23
2024-04-10,22
2024-04-11,25
2024-04-12,26
2024-04-13,29
2024-04-14,32
2024-04-15,24
2024-04-16,26
2024-04-17,27
2024-04-18,27
2024-04-19,26
2024-04-20,30
2024-04-21,33
2024-04-22,26
2024-04-23,24
2024-04-24,25
2024-04-25,23
2024-04-26,25
2024-04-27,26
2024-04-28,34
2024-04-29,25
2024-04-30,26
2024-05-01,21
2024-05-02,27
2024-05-03,30
2024-05-04,28
2024-05-05,31
2024-05-06,24
2024-05-07,23
2024-05-08,22
2024-05-09,23
2024-05-10,23
2024-05-11,27
2024-05-12,26
2024-05-13,27
2024-05-14,23
2024-05-15,24
2024-05-16,34
2024-05-17,34
2024-05-18,36
2024-05-19,39
2024-05-20,29
2024-05-21,24
2024-05-22,22
2024-05-23,24
2024-05-24,26
2024-05-25,30
2024-05-26,29
2024-05-27,32
2024-05-28,24
2024-05-29,25
2024-05-30,23
2024-05-31,23
2024-06-01,29
2024-06-02,32
2024-06-03,24
2024-06-04,25
2024-06-05,25
2024-06-06,25
2024-06-07,26
2024-06-08,32
2024-06-09,48
2024-06-10,31
2024-06-11,27
2024-06-12,27
2024-06-13,29
2024-06-14,24
2024-06-15,31
2024-06-16,29
2024-06-17,24
2024-06-18,23
2024-06-19,22
2024-06-20,26
2024-06-21,26
2024-06-22,29
2024-06-23,29
2024-06-24,23
2024-06-25,24
2024-06-26,23
2024-06-27,21
2024-06-28,24
2024-06-29,29
2024-06-30,29
2024-07-01,26
2024-07-02,23
2024-07-03,23
2024-07-04,31
2024-07-05,28
2024-07-06,30
2024-07-07,32
2024-07-08,26
2024-07-09,21
2024-07-10,22
2024-07-11,22
2024-07-12,24
2024-07-13,32
2024-07-14,34
2024-07-15,30
2024-07-16,32
2024-07-17,41
2024-07-18,32
2024-07-19,29
2024-07-20,33
2024-07-21,36
2024-07-22,26
2024-07-23,24
2024-07-24,25
2024-07-25,24
2024-07-26,24
2024-07-27,28
2024-07-28,29
2024-07-29,22
2024-07-30,22
2024-07-31,21
2024-08-01,21
2024-08-02,20
2024-08-03,24
2024-08-04,25
2024-08-05,23
2024-08-06,22
2024-08-07,24
2024-08-08,23
2024-08-09,25
2024-08-10,27
2024-08-11,27
2024-08-12,20
2024-08-13,18
2024-08-14,21
2024-08-15,21
2024-08-16,21
2024-08-17,27
2024-08-18,27
2024-08-19,22
2024-08-20,20
2024-08-21,21
2024-08-22,22
2024-08-23,25
2024-08-24,26
2024-08-25,29
2024-08-26,22
2024-08-27,24
2024-08-28,25
2024-08-29,24
2024-08-30,30
2024-08-31,32
2024-09-01,36
2024-09-02,35
2024-09-03,26
2024-09-04,24
2024-09-05,34
2024-09-06,33
2024-09-07,37
2024-09-08,40
2024-09-09,29
2024-09-10,26
2024-09-11,23
2024-09-12,30
2024-09-13,27
2024-09-14,38
2024-09-15,36
2024-09-16,30
