Time,johnny depp
2025-12-11,59
2025-12-12,60
2025-12-13,65
2025-12-14,78
2025-12-15,56
2025-12-16,54
2025-12-17,60
2025-12-18,63
2025-12-19,54
2025-12-20,63
2025-12-21,68
2025-12-22,58
2025-12-23,66
2025-12-24,68
2025-12-25,78
2025-12-26,77
2025-12-27,86
2025-12-28,70
2025-12-29,64
2025-12-30,58
2025-12-31,62
2026-01-01,74
2026-01-02,64
2026-01-03,72
2026-01-04,67
2026-01-05,57
2026-01-06,51
2026-01-07,51
2026-01-08,50
2026-01-09,52
2026-01-10,58
2026-01-11,65
2026-01-12,54
2026-01-13,51
2026-01-14,51
2026-01-15,47
2026-01-16,49
2026-01-17,59
2026-01-18,61
2026-01-19,54
2026-01-20,47
2026-01-21,45
2026-01-22,46
2026-01-23,55
2026-01-24,69
2026-01-25,76
2026-01-26,59
2026-01-27,53
2026-01-28,47
2026-01-29,54
2026-01-30,50
2026-01-31,72
2026-02-01,77
2026-02-02,67
2026-02-03,57
2026-02-04,55
2026-02-05,54
2026-02-06,53
2026-02-07,60
2026-02-08,59
2026-02-09,44
2026-02-10,46
2026-02-11,40
2026-02-12,43
2026-02-13,42
2026-02-14,57
2026-02-15,56
2026-02-16,58
2026-02-17,53
2026-02-18,45
2026-02-19,45
2026-02-20,64
2026-02-21,100
2026-02-22,82
2026-02-23,60
2026-02-24,55
2026-02-25,48
2026-02-26,53
2026-02-27,49
2026-02-28,54
2026-03-01,62
2026-03-02,54
2026-03-03,47
2026-03-04,43
2026-03-05,43
2026-03-06,39
2026-03-07,57
2026-03-08,63
2026-03-09,53
2026-03-10,50
2026-03-11,51
2026-03-12,48
2026-03-13,50
2026-03-14,60
2026-03-15,63
2026-03-16,54
2026-03-17,55
2026-03-18,63
2026-03-19,57
2026-03-20,65
2026-03-21,70
2026-03-22,68
2026-03-23,57
2026-03-24,45
2026-03-25,47
2026-03-26,41
2026-03-27,46
2026-03-28,56
2026-03-29,57
2026-03-30,53
2026-03-31,49
2026-04-01,51
2026-04-02,54
2026-04-03,49
2026-04-04,63
2026-04-05,66
2026-04-06,45
2026-04-07,61
2026-04-08,53
2026-04-09,48
2026-04-10,48
2026-04-11,53
2026-04-12,56
2026-04-13,52
2026-04-14,44
2026-04-15,45
2026-04-16,50
2026-04-17,59
2026-04-18,58
2026-04-19,61
2026-04-20,52
2026-04-21,48
2026-04-22,54
2026-04-23,56
2026-04-24,51
2026-04-25,56
2026-04-26,57
2026-04-27,54
2026-04-28,53
2026-04-29,55
2026-04-30,57
2026-05-01,56
2026-05-02,64
2026-05-03,70
2026-05-04,64
2026-05-05,72
2026-05-06,60
2026-05-07,62
2026-05-08,60
2026-05-09,67
2026-05-10,69
2026-05-11,62
2026-05-12,58
2026-05-13,50
2026-05-14,54
2026-05-15,52
2026-05-16,58
2026-05-17,63
2026-05-18,49
2026-05-19,50
2026-05-20,55
2026-05-21,53
2026-05-22,48
2026-05-23,65
2026-05-24,65
2026-05-25,60
2026-05-26,44
2026-05-27,45
2026-05-28,49
2026-05-29,53
2026-05-30,60
2026-05-31,70
