Time,nfl schedule
2022-08-29,6
2022-08-30,4
2022-08-31,4
2022-09-01,6
2022-09-02,5
2022-09-03,6
2022-09-04,15
2022-09-05,8
2022-09-06,8
2022-09-07,8
2022-09-08,16
2022-09-09,13
2022-09-10,8
2022-09-11,36
2022-09-12,14
2022-09-13,8
2022-09-14,5
2022-09-15,10
2022-09-16,11
2022-09-17,6
2022-09-18,35
2022-09-19,14
2022-09-20,9
2022-09-21,4
2022-09-22,9
2022-09-23,9
2022-09-24,5
2022-09-25,33
2022-09-26,12
2022-09-27,8
2022-09-28,4
2022-09-29,8
2022-09-30,9
2022-10-01,5
2022-10-02,31
2022-10-03,12
2022-10-04,8
2022-10-05,4
2022-10-06,7
2022-10-07,9
2022-10-08,5
2022-10-09,33
2022-10-10,12
2022-10-11,8
2022-10-12,4
2022-10-13,8
2022-10-14,8
2022-10-15,5
2022-10-16,31
2022-10-17,13
2022-10-18,7
2022-10-19,4
2022-10-20,7
2022-10-21,7
2022-10-22,5
2022-10-23,31
2022-10-24,10
2022-10-25,6
2022-10-26,3
2022-10-27,6
2022-10-28,7
2022-10-29,5
2022-10-30,31
2022-10-31,10
2022-11-01,6
2022-11-02,3
2022-11-03,6
2022-11-04,8
2022-11-05,5
2022-11-06,26
2022-11-07,11
2022-11-08,6
2022-11-09,3
2022-11-10,5
2022-11-11,6
2022-11-12,4
2022-11-13,27
2022-11-14,12
2022-11-15,8
2022-11-16,4
2022-11-17,6
2022-11-18,8
2022-11-19,5
2022-11-20,27
2022-11-21,12
2022-11-22,8
2022-11-23,5
2022-11-24,27
2022-11-25,11
2022-11-26,4
2022-11-27,25
2022-11-28,12
2022-11-29,6
2022-11-30,4
2022-12-01,5
2022-12-02,7
2022-12-03,4
2022-12-04,25
2022-12-05,13
2022-12-06,7
2022-12-07,4
2022-12-08,5
2022-12-09,7
2022-12-10,5
2022-12-11,28
2022-12-12,12
2022-12-13,7
2022-12-14,4
2022-12-15,6
2022-12-16,10
2022-12-17,24
2022-12-18,31
2022-12-19,14
2022-12-20,9
2022-12-21,5
2022-12-22,8
2022-12-23,12
2022-12-24,33
2022-12-25,35
2022-12-26,16
2022-12-27,10
2022-12-28,5
2022-12-29,8
2022-12-30,12
2022-12-31,13
2023-01-01,31
2023-01-02,23
2023-01-03,12
2023-01-04,7
2023-01-05,10
2023-01-06,12
2023-01-07,32
2023-01-08,43
2023-01-09,47
2023-01-10,14
2023-01-11,11
2023-01-12,13
2023-01-13,19
2023-01-14,77
2023-01-15,100
2023-01-16,54
2023-01-17,35
2023-01-18,14
2023-01-19,14
2023-01-20,21
2023-01-21,84
2023-01-22,94
2023-01-23,32
2023-01-24,8
2023-01-25,7
2023-01-26,8
2023-01-27,12
2023-01-28,35
2023-01-29,62
2023-01-30,15
2023-01-31,2
2023-02-01,1
2023-02-02,1
2023-02-03,1
2023-02-04,2
2023-02-05,3
2023-02-06,1
2023-02-07,1
2023-02-08,1
2023-02-09,1
2023-02-10,1
2023-02-11,1
2023-02-12,4
2023-02-13,3
2023-02-14,1
2023-02-15,1
2023-02-16,1
2023-02-17,1
2023-02-18,1
2023-02-19,1
2023-02-20,1
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,1
2023-02-26,1
2023-02-27,1
2023-02-28,1
2023-03-01,1
2023-03-02,1
2023-03-03,1
2023-03-04,1
2023-03-05,1
2023-03-06,0
2023-03-07,1
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,1
2023-03-12,1
2023-03-13,1
2023-03-14,1
2023-03-15,1
2023-03-16,1
2023-03-17,0
2023-03-18,0
2023-03-19,1
2023-03-20,1
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,1
2023-03-26,0
2023-03-27,1
2023-03-28,0
2023-03-29,1
2023-03-30,0
2023-03-31,0
2023-04-01,0
2023-04-02,1
2023-04-03,0
2023-04-04,1
2023-04-05,0
2023-04-06,1
2023-04-07,0
2023-04-08,1
2023-04-09,1
2023-04-10,1
2023-04-11,1
2023-04-12,1
2023-04-13,1
2023-04-14,1
2023-04-15,1
2023-04-16,1
2023-04-17,1
2023-04-18,1
2023-04-19,1
2023-04-20,1
2023-04-21,1
2023-04-22,1
2023-04-23,1
2023-04-24,1
2023-04-25,1
2023-04-26,1
2023-04-27,2
2023-04-28,4
2023-04-29,3
2023-04-30,2
2023-05-01,1
2023-05-02,1
2023-05-03,1
2023-05-04,1
2023-05-05,1
2023-05-06,1
2023-05-07,1
2023-05-08,2
2023-05-09,3
2023-05-10,6
2023-05-11,14
2023-05-12,11
2023-05-13,2
2023-05-14,1
2023-05-15,1
2023-05-16,1
2023-05-17,1
2023-05-18,1
2023-05-19,1
2023-05-20,0
2023-05-21,0
2023-05-22,0
2023-05-23,1
2023-05-24,0
2023-05-25,0
