Time,nfl schedule
2025-12-11,9
2025-12-12,11
2025-12-13,9
2025-12-14,35
2025-12-15,19
2025-12-16,10
2025-12-17,6
2025-12-18,8
2025-12-19,13
2025-12-20,19
2025-12-21,41
2025-12-22,20
2025-12-23,14
2025-12-24,14
2025-12-25,40
2025-12-26,23
2025-12-27,32
2025-12-28,46
2025-12-29,28
2025-12-30,15
2025-12-31,9
2026-01-01,15
2026-01-02,14
2026-01-03,32
2026-01-04,50
2026-01-05,51
2026-01-06,16
2026-01-07,12
2026-01-08,13
2026-01-09,18
2026-01-10,70
2026-01-11,100
2026-01-12,57
2026-01-13,34
2026-01-14,12
2026-01-15,13
2026-01-16,21
2026-01-17,66
2026-01-18,80
2026-01-19,29
2026-01-20,8
2026-01-21,7
2026-01-22,7
2026-01-23,10
2026-01-24,27
2026-01-25,45
2026-01-26,14
2026-01-27,2
2026-01-28,2
2026-01-29,2
2026-01-30,2
2026-01-31,2
2026-02-01,3
2026-02-02,2
2026-02-03,2
2026-02-04,2
2026-02-05,2
2026-02-06,2
2026-02-07,2
2026-02-08,5
2026-02-09,5
2026-02-10,2
2026-02-11,1
2026-02-12,1
2026-02-13,1
2026-02-14,1
2026-02-15,1
2026-02-16,1
2026-02-17,1
2026-02-18,1
2026-02-19,1
2026-02-20,1
2026-02-21,1
2026-02-22,1
2026-02-23,1
2026-02-24,1
2026-02-25,1
2026-02-26,2
2026-02-27,2
2026-02-28,2
2026-03-01,1
2026-03-02,1
2026-03-03,1
2026-03-04,1
2026-03-05,1
2026-03-06,1
2026-03-07,1
2026-03-08,1
2026-03-09,2
2026-03-10,1
2026-03-11,1
2026-03-12,1
2026-03-13,1
2026-03-14,1
2026-03-15,1
2026-03-16,1
2026-03-17,1
2026-03-18,1
2026-03-19,1
2026-03-20,1
2026-03-21,1
2026-03-22,1
2026-03-23,1
2026-03-24,1
2026-03-25,1
2026-03-26,1
2026-03-27,1
2026-03-28,1
2026-03-29,1
2026-03-30,1
2026-03-31,1
2026-04-01,1
2026-04-02,1
2026-04-03,1
2026-04-04,1
2026-04-05,1
2026-04-06,1
2026-04-07,1
2026-04-08,1
2026-04-09,1
2026-04-10,1
2026-04-11,1
2026-04-12,1
2026-04-13,1
2026-04-14,1
2026-04-15,1
2026-04-16,1
2026-04-17,1
2026-04-18,1
2026-04-19,1
2026-04-20,1
2026-04-21,1
2026-04-22,1
2026-04-23,2
2026-04-24,4
2026-04-25,4
2026-04-26,2
2026-04-27,2
2026-04-28,2
2026-04-29,1
2026-04-30,1
2026-05-01,1
2026-05-02,2
2026-05-03,2
2026-05-04,2
2026-05-05,2
2026-05-06,2
2026-05-07,4
2026-05-08,4
2026-05-09,2
2026-05-10,2
2026-05-11,6
2026-05-12,7
2026-05-13,6
2026-05-14,18
2026-05-15,13
2026-05-16,3
2026-05-17,2
2026-05-18,2
2026-05-19,1
2026-05-20,1
2026-05-21,1
2026-05-22,1
2026-05-23,1
2026-05-24,1
2026-05-25,1
2026-05-26,1
2026-05-27,1
2026-05-28,1
2026-05-29,1
2026-05-30,1
2026-05-31,1
