Time,gamestop
2023-12-22,64
2023-12-23,76
2023-12-24,73
2023-12-25,48
2023-12-26,63
2023-12-27,44
2023-12-28,39
2023-12-29,38
2023-12-30,38
2023-12-31,36
2024-01-01,32
2024-01-02,26
2024-01-03,27
2024-01-04,24
2024-01-05,25
2024-01-06,29
2024-01-07,29
2024-01-08,20
2024-01-09,19
2024-01-10,18
2024-01-11,20
2024-01-12,22
2024-01-13,29
2024-01-14,26
2024-01-15,23
2024-01-16,18
2024-01-17,18
2024-01-18,19
2024-01-19,20
2024-01-20,27
2024-01-21,28
2024-01-22,25
2024-01-23,27
2024-01-24,25
2024-01-25,25
2024-01-26,27
2024-01-27,33
2024-01-28,32
2024-01-29,21
2024-01-30,20
2024-01-31,20
2024-02-01,20
2024-02-02,25
2024-02-03,28
2024-02-04,29
2024-02-05,18
2024-02-06,18
2024-02-07,18
2024-02-08,18
2024-02-09,21
2024-02-10,27
2024-02-11,24
2024-02-12,16
2024-02-13,17
2024-02-14,19
2024-02-15,18
2024-02-16,23
2024-02-17,29
2024-02-18,31
2024-02-19,23
2024-02-20,19
2024-02-21,20
2024-02-22,25
2024-02-23,27
2024-02-24,29
2024-02-25,28
2024-02-26,20
2024-02-27,19
2024-02-28,21
2024-02-29,22
2024-03-01,22
2024-03-02,28
2024-03-03,28
2024-03-04,19
2024-03-05,19
2024-03-06,17
2024-03-07,18
2024-03-08,21
2024-03-09,28
2024-03-10,33
2024-03-11,19
2024-03-12,17
2024-03-13,18
2024-03-14,17
2024-03-15,20
2024-03-16,25
2024-03-17,25
2024-03-18,17
2024-03-19,17
2024-03-20,17
2024-03-21,18
2024-03-22,23
2024-03-23,28
2024-03-24,25
2024-03-25,18
2024-03-26,18
2024-03-27,19
2024-03-28,19
2024-03-29,21
2024-03-30,24
2024-03-31,25
2024-04-01,19
2024-04-02,16
2024-04-03,17
2024-04-04,17
2024-04-05,19
2024-04-06,22
2024-04-07,21
2024-04-08,15
2024-04-09,15
2024-04-10,15
2024-04-11,15
2024-04-12,16
2024-04-13,22
2024-04-14,22
2024-04-15,15
2024-04-16,15
2024-04-17,15
2024-04-18,16
2024-04-19,16
2024-04-20,22
2024-04-21,23
2024-04-22,15
2024-04-23,15
2024-04-24,14
2024-04-25,16
2024-04-26,17
2024-04-27,22
2024-04-28,22
2024-04-29,14
2024-04-30,15
2024-05-01,14
2024-05-02,15
2024-05-03,17
2024-05-04,22
2024-05-05,22
2024-05-06,15
2024-05-07,14
2024-05-08,15
2024-05-09,15
2024-05-10,17
2024-05-11,20
2024-05-12,21
2024-05-13,63
2024-05-14,100
2024-05-15,62
2024-05-16,33
2024-05-17,29
2024-05-18,30
2024-05-19,26
2024-05-20,22
2024-05-21,21
2024-05-22,20
2024-05-23,22
2024-05-24,22
2024-05-25,25
2024-05-26,25
2024-05-27,25
2024-05-28,22
2024-05-29,19
2024-05-30,20
2024-05-31,22
2024-06-01,24
2024-06-02,25
2024-06-03,56
2024-06-04,37
2024-06-05,27
2024-06-06,38
2024-06-07,77
2024-06-08,37
2024-06-09,35
2024-06-10,33
2024-06-11,34
2024-06-12,30
2024-06-13,33
2024-06-14,30
2024-06-15,28
2024-06-16,26
2024-06-17,28
2024-06-18,24
2024-06-19,22
2024-06-20,21
2024-06-21,23
2024-06-22,25
2024-06-23,25
2024-06-24,21
2024-06-25,20
2024-06-26,20
2024-06-27,21
2024-06-28,23
2024-06-29,29
2024-06-30,25
2024-07-01,25
2024-07-02,29
2024-07-03,23
2024-07-04,24
2024-07-05,23
2024-07-06,24
2024-07-07,24
2024-07-08,21
2024-07-09,20
2024-07-10,22
2024-07-11,22
2024-07-12,22
2024-07-13,26
2024-07-14,29
2024-07-15,26
2024-07-16,28
2024-07-17,27
2024-07-18,27
2024-07-19,33
2024-07-20,33
2024-07-21,27
2024-07-22,23
2024-07-23,21
2024-07-24,20
2024-07-25,22
2024-07-26,22
2024-07-27,23
2024-07-28,23
2024-07-29,19
2024-07-30,19
2024-07-31,19
2024-08-01,19
2024-08-02,22
2024-08-03,25
2024-08-04,25
2024-08-05,19
2024-08-06,19
2024-08-07,19
2024-08-08,20
2024-08-09,20
2024-08-10,22
2024-08-11,23
2024-08-12,17
2024-08-13,17
2024-08-14,17
2024-08-15,19
2024-08-16,21
2024-08-17,23
2024-08-18,25
2024-08-19,18
2024-08-20,17
2024-08-21,18
2024-08-22,18
2024-08-23,19
2024-08-24,23
2024-08-25,24
2024-08-26,17
2024-08-27,16
2024-08-28,21
2024-08-29,25
2024-08-30,25
2024-08-31,26
2024-09-01,35
2024-09-02,28
2024-09-03,20
2024-09-04,20
2024-09-05,19
2024-09-06,21
2024-09-07,25
2024-09-08,23
2024-09-09,18
2024-09-10,20
2024-09-11,18
2024-09-12,20
2024-09-13,21
2024-09-14,25
2024-09-15,23
2024-09-16,16
