Time,temperature
2023-12-22,39
2023-12-23,46
2023-12-24,60
2023-12-25,78
2023-12-26,42
2023-12-27,41
2023-12-28,39
2023-12-29,40
2023-12-30,42
2023-12-31,48
2024-01-01,54
2024-01-02,43
2024-01-03,45
2024-01-04,47
2024-01-05,45
2024-01-06,46
2024-01-07,47
2024-01-08,48
2024-01-09,52
2024-01-10,51
2024-01-11,51
2024-01-12,56
2024-01-13,73
2024-01-14,100
2024-01-15,93
2024-01-16,84
2024-01-17,82
2024-01-18,62
2024-01-19,57
2024-01-20,69
2024-01-21,71
2024-01-22,61
2024-01-23,51
2024-01-24,50
2024-01-25,45
2024-01-26,42
2024-01-27,39
2024-01-28,43
2024-01-29,44
2024-01-30,47
2024-01-31,44
2024-02-01,42
2024-02-02,42
2024-02-03,39
2024-02-04,42
2024-02-05,45
2024-02-06,42
2024-02-07,42
2024-02-08,44
2024-02-09,41
2024-02-10,40
2024-02-11,45
2024-02-12,41
2024-02-13,45
2024-02-14,44
2024-02-15,44
2024-02-16,40
2024-02-17,39
2024-02-18,44
2024-02-19,43
2024-02-20,45
2024-02-21,44
2024-02-22,43
2024-02-23,39
2024-02-24,37
2024-02-25,45
2024-02-26,47
2024-02-27,49
2024-02-28,46
2024-02-29,46
2024-03-01,40
2024-03-02,40
2024-03-03,43
2024-03-04,44
2024-03-05,42
2024-03-06,39
2024-03-07,40
2024-03-08,35
2024-03-09,36
2024-03-10,40
2024-03-11,41
2024-03-12,40
2024-03-13,39
2024-03-14,41
2024-03-15,37
2024-03-16,38
2024-03-17,42
2024-03-18,43
2024-03-19,44
2024-03-20,42
2024-03-21,42
2024-03-22,36
2024-03-23,36
2024-03-24,42
2024-03-25,43
2024-03-26,39
2024-03-27,38
2024-03-28,36
2024-03-29,35
2024-03-30,40
2024-03-31,51
2024-04-01,39
2024-04-02,39
2024-04-03,39
2024-04-04,38
2024-04-05,39
2024-04-06,37
2024-04-07,39
2024-04-08,42
2024-04-09,42
2024-04-10,41
2024-04-11,40
2024-04-12,39
2024-04-13,37
2024-04-14,41
2024-04-15,45
2024-04-16,43
2024-04-17,39
2024-04-18,40
2024-04-19,41
2024-04-20,39
2024-04-21,45
2024-04-22,48
2024-04-23,43
2024-04-24,43
2024-04-25,42
2024-04-26,38
2024-04-27,37
2024-04-28,44
2024-04-29,45
2024-04-30,42
2024-05-01,40
2024-05-02,39
2024-05-03,39
2024-05-04,34
2024-05-05,37
2024-05-06,37
2024-05-07,39
2024-05-08,39
2024-05-09,40
2024-05-10,36
2024-05-11,36
2024-05-12,40
2024-05-13,40
2024-05-14,38
2024-05-15,36
2024-05-16,37
2024-05-17,35
2024-05-18,35
2024-05-19,39
2024-05-20,38
2024-05-21,37
2024-05-22,38
2024-05-23,37
2024-05-24,36
2024-05-25,38
2024-05-26,40
2024-05-27,42
2024-05-28,37
2024-05-29,36
2024-05-30,36
2024-05-31,34
2024-06-01,35
2024-06-02,38
2024-06-03,33
2024-06-04,35
2024-06-05,39
2024-06-06,38
2024-06-07,34
2024-06-08,38
2024-06-09,40
2024-06-10,35
2024-06-11,34
2024-06-12,36
2024-06-13,35
2024-06-14,34
2024-06-15,38
2024-06-16,45
2024-06-17,42
2024-06-18,42
2024-06-19,41
2024-06-20,39
2024-06-21,40
2024-06-22,48
2024-06-23,49
2024-06-24,45
2024-06-25,41
2024-06-26,37
2024-06-27,35
2024-06-28,33
2024-06-29,38
2024-06-30,41
2024-07-01,36
2024-07-02,38
2024-07-03,40
2024-07-04,54
2024-07-05,44
2024-07-06,49
2024-07-07,51
2024-07-08,48
2024-07-09,46
2024-07-10,45
2024-07-11,42
2024-07-12,40
2024-07-13,41
2024-07-14,41
2024-07-15,39
2024-07-16,40
2024-07-17,38
2024-07-18,35
2024-07-19,33
2024-07-20,36
2024-07-21,40
2024-07-22,34
2024-07-23,34
2024-07-24,33
2024-07-25,33
2024-07-26,33
2024-07-27,35
2024-07-28,37
2024-07-29,32
2024-07-30,35
2024-07-31,34
2024-08-01,36
2024-08-02,34
2024-08-03,38
2024-08-04,39
2024-08-05,35
2024-08-06,32
2024-08-07,33
2024-08-08,32
2024-08-09,31
2024-08-10,35
2024-08-11,36
2024-08-12,35
2024-08-13,32
2024-08-14,33
2024-08-15,31
2024-08-16,31
2024-08-17,37
2024-08-18,36
2024-08-19,33
2024-08-20,36
2024-08-21,36
2024-08-22,35
2024-08-23,34
2024-08-24,36
2024-08-25,40
2024-08-26,39
2024-08-27,39
2024-08-28,40
2024-08-29,38
2024-08-30,39
2024-08-31,36
2024-09-01,39
2024-09-02,40
2024-09-03,39
2024-09-04,39
2024-09-05,42
2024-09-06,43
2024-09-07,41
2024-09-08,46
2024-09-09,45
2024-09-10,40
2024-09-11,36
2024-09-12,38
2024-09-13,36
2024-09-14,36
2024-09-15,36
2024-09-16,39
