Time,ikea
2023-12-22,51
2023-12-23,57
2023-12-24,52
2023-12-25,52
2023-12-26,83
2023-12-27,89
2023-12-28,83
2023-12-29,78
2023-12-30,88
2023-12-31,82
2024-01-01,82
2024-01-02,71
2024-01-03,65
2024-01-04,62
2024-01-05,62
2024-01-06,80
2024-01-07,89
2024-01-08,63
2024-01-09,55
2024-01-10,53
2024-01-11,52
2024-01-12,55
2024-01-13,77
2024-01-14,84
2024-01-15,76
2024-01-16,57
2024-01-17,54
2024-01-18,50
2024-01-19,51
2024-01-20,78
2024-01-21,84
2024-01-22,59
2024-01-23,49
2024-01-24,49
2024-01-25,50
2024-01-26,66
2024-01-27,78
2024-01-28,83
2024-01-29,58
2024-01-30,51
2024-01-31,50
2024-02-01,47
2024-02-02,48
2024-02-03,74
2024-02-04,82
2024-02-05,52
2024-02-06,46
2024-02-07,46
2024-02-08,47
2024-02-09,42
2024-02-10,69
2024-02-11,67
2024-02-12,43
2024-02-13,39
2024-02-14,37
2024-02-15,42
2024-02-16,50
2024-02-17,73
2024-02-18,91
2024-02-19,73
2024-02-20,55
2024-02-21,48
2024-02-22,47
2024-02-23,51
2024-02-24,75
2024-02-25,90
2024-02-26,58
2024-02-27,49
2024-02-28,48
2024-02-29,47
2024-03-01,49
2024-03-02,74
2024-03-03,83
2024-03-04,57
2024-03-05,46
2024-03-06,44
2024-03-07,43
2024-03-08,47
2024-03-09,70
2024-03-10,79
2024-03-11,53
2024-03-12,48
2024-03-13,50
2024-03-14,48
2024-03-15,48
2024-03-16,70
2024-03-17,79
2024-03-18,53
2024-03-19,48
2024-03-20,48
2024-03-21,44
2024-03-22,49
2024-03-23,72
2024-03-24,75
2024-03-25,56
2024-03-26,59
2024-03-27,46
2024-03-28,46
2024-03-29,55
2024-03-30,67
2024-03-31,69
2024-04-01,55
2024-04-02,48
2024-04-03,46
2024-04-04,48
2024-04-05,49
2024-04-06,69
2024-04-07,74
2024-04-08,48
2024-04-09,46
2024-04-10,44
2024-04-11,43
2024-04-12,48
2024-04-13,66
2024-04-14,73
2024-04-15,54
2024-04-16,44
2024-04-17,46
2024-04-18,46
2024-04-19,47
2024-04-20,73
2024-04-21,78
2024-04-22,54
2024-04-23,46
2024-04-24,48
2024-04-25,49
2024-04-26,50
2024-04-27,79
2024-04-28,77
2024-04-29,54
2024-04-30,49
2024-05-01,42
2024-05-02,47
2024-05-03,48
2024-05-04,65
2024-05-05,71
2024-05-06,55
2024-05-07,47
2024-05-08,44
2024-05-09,44
2024-05-10,45
2024-05-11,61
2024-05-12,64
2024-05-13,52
2024-05-14,46
2024-05-15,46
2024-05-16,44
2024-05-17,47
2024-05-18,67
2024-05-19,71
2024-05-20,52
2024-05-21,49
2024-05-22,47
2024-05-23,46
2024-05-24,51
2024-05-25,70
2024-05-26,81
2024-05-27,98
2024-05-28,54
2024-05-29,51
2024-05-30,45
2024-05-31,49
2024-06-01,66
2024-06-02,76
2024-06-03,56
2024-06-04,56
2024-06-05,62
2024-06-06,57
2024-06-07,55
2024-06-08,71
2024-06-09,79
2024-06-10,61
2024-06-11,52
2024-06-12,53
2024-06-13,49
2024-06-14,55
2024-06-15,69
2024-06-16,71
2024-06-17,55
2024-06-18,53
2024-06-19,62
2024-06-20,53
2024-06-21,57
2024-06-22,76
2024-06-23,79
2024-06-24,60
2024-06-25,55
2024-06-26,73
2024-06-27,55
2024-06-28,56
2024-06-29,72
2024-06-30,76
2024-07-01,65
2024-07-02,59
2024-07-03,59
2024-07-04,71
2024-07-05,74
2024-07-06,88
2024-07-07,89
2024-07-08,63
2024-07-09,62
2024-07-10,54
2024-07-11,57
2024-07-12,59
2024-07-13,74
2024-07-14,74
2024-07-15,59
2024-07-16,60
2024-07-17,61
2024-07-18,62
2024-07-19,56
2024-07-20,77
2024-07-21,83
2024-07-22,64
2024-07-23,78
2024-07-24,57
2024-07-25,53
2024-07-26,61
2024-07-27,71
2024-07-28,78
2024-07-29,62
2024-07-30,58
2024-07-31,58
2024-08-01,55
2024-08-02,59
2024-08-03,79
2024-08-04,84
2024-08-05,62
2024-08-06,56
2024-08-07,59
2024-08-08,57
2024-08-09,59
2024-08-10,74
2024-08-11,85
2024-08-12,65
2024-08-13,60
2024-08-14,57
2024-08-15,57
2024-08-16,61
2024-08-17,82
2024-08-18,92
2024-08-19,62
2024-08-20,58
2024-08-21,57
2024-08-22,55
2024-08-23,70
2024-08-24,78
2024-08-25,86
2024-08-26,60
2024-08-27,52
2024-08-28,52
2024-08-29,49
2024-08-30,56
2024-08-31,77
2024-09-01,88
2024-09-02,100
2024-09-03,56
2024-09-04,47
2024-09-05,43
2024-09-06,45
2024-09-07,66
2024-09-08,71
2024-09-09,51
2024-09-10,44
2024-09-11,42
2024-09-12,43
2024-09-13,46
2024-09-14,66
2024-09-15,67
2024-09-16,52
