Time,nhl
2023-04-26,52
2023-04-27,53
2023-04-28,56
2023-04-29,88
2023-04-30,100
2023-05-01,96
2023-05-02,58
2023-05-03,55
2023-05-04,48
2023-05-05,49
2023-05-06,51
2023-05-07,59
2023-05-08,57
2023-05-09,66
2023-05-10,50
2023-05-11,49
2023-05-12,56
2023-05-13,79
2023-05-14,58
2023-05-15,57
2023-05-16,53
2023-05-17,25
2023-05-18,26
2023-05-19,71
2023-05-20,49
2023-05-21,66
2023-05-22,27
2023-05-23,41
2023-05-24,40
2023-05-25,48
2023-05-26,42
2023-05-27,27
2023-05-28,47
2023-05-29,26
2023-05-30,46
2023-05-31,15
2023-06-01,15
2023-06-02,16
2023-06-03,25
2023-06-04,56
2023-06-05,22
2023-06-06,45
2023-06-07,21
2023-06-08,26
2023-06-09,52
2023-06-10,27
2023-06-11,58
2023-06-12,22
2023-06-13,28
2023-06-14,56
2023-06-15,10
2023-06-16,8
2023-06-17,7
2023-06-18,7
2023-06-19,6
2023-06-20,7
2023-06-21,7
2023-06-22,7
2023-06-23,8
2023-06-24,8
2023-06-25,8
2023-06-26,11
2023-06-27,19
2023-06-28,30
2023-06-29,47
2023-06-30,11
2023-07-01,17
2023-07-02,11
2023-07-03,8
2023-07-04,7
2023-07-05,6
2023-07-06,6
2023-07-07,5
2023-07-08,5
2023-07-09,5
2023-07-10,6
2023-07-11,5
2023-07-12,5
2023-07-13,5
2023-07-14,4
2023-07-15,5
2023-07-16,4
2023-07-17,4
2023-07-18,4
2023-07-19,4
2023-07-20,4
2023-07-21,3
2023-07-22,4
2023-07-23,4
2023-07-24,4
2023-07-25,4
2023-07-26,4
2023-07-27,4
2023-07-28,3
2023-07-29,3
2023-07-30,3
2023-07-31,4
2023-08-01,3
2023-08-02,3
2023-08-03,3
2023-08-04,3
2023-08-05,4
2023-08-06,4
2023-08-07,4
2023-08-08,3
2023-08-09,4
2023-08-10,3
2023-08-11,4
2023-08-12,4
2023-08-13,4
2023-08-14,5
2023-08-15,4
2023-08-16,5
2023-08-17,4
2023-08-18,4
2023-08-19,4
2023-08-20,4
2023-08-21,4
2023-08-22,3
2023-08-23,4
2023-08-24,4
2023-08-25,3
2023-08-26,4
2023-08-27,4
2023-08-28,3
2023-08-29,3
2023-08-30,4
2023-08-31,3
2023-09-01,3
2023-09-02,3
2023-09-03,4
2023-09-04,4
2023-09-05,3
2023-09-06,4
2023-09-07,4
2023-09-08,4
2023-09-09,3
2023-09-10,4
2023-09-11,4
2023-09-12,4
2023-09-13,4
2023-09-14,4
2023-09-15,4
2023-09-16,4
2023-09-17,5
2023-09-18,5
2023-09-19,5
2023-09-20,5
2023-09-21,5
2023-09-22,6
2023-09-23,8
2023-09-24,11
2023-09-25,9
2023-09-26,10
2023-09-27,9
2023-09-28,9
2023-09-29,10
2023-09-30,10
2023-10-01,10
2023-10-02,9
2023-10-03,11
2023-10-04,12
2023-10-05,11
2023-10-06,16
2023-10-07,12
2023-10-08,11
2023-10-09,11
2023-10-10,30
2023-10-11,41
2023-10-12,34
2023-10-13,28
2023-10-14,29
2023-10-15,31
2023-10-16,18
2023-10-17,24
2023-10-18,28
2023-10-19,22
2023-10-20,27
2023-10-21,22
2023-10-22,32
2023-10-23,20
2023-10-24,24
2023-10-25,33
2023-10-26,21
2023-10-27,28
2023-10-28,27
2023-10-29,31
2023-10-30,25
2023-10-31,29
2023-11-01,21
2023-11-02,24
2023-11-03,30
2023-11-04,25
2023-11-05,32
2023-11-06,18
2023-11-07,25
2023-11-08,32
2023-11-09,22
2023-11-10,30
2023-11-11,27
2023-11-12,30
2023-11-13,19
2023-11-14,19
2023-11-15,26
2023-11-16,24
2023-11-17,25
2023-11-18,24
2023-11-19,30
2023-11-20,18
2023-11-21,21
2023-11-22,15
2023-11-23,33
2023-11-24,24
2023-11-25,30
2023-11-26,28
2023-11-27,17
2023-11-28,25
2023-11-29,24
2023-11-30,21
2023-12-01,25
2023-12-02,22
2023-12-03,29
2023-12-04,19
2023-12-05,21
2023-12-06,24
2023-12-07,20
2023-12-08,24
2023-12-09,26
2023-12-10,30
2023-12-11,20
2023-12-12,19
2023-12-13,26
2023-12-14,24
2023-12-15,23
2023-12-16,28
2023-12-17,30
2023-12-18,17
2023-12-19,19
2023-12-20,27
2023-12-21,21
2023-12-22,28
2023-12-23,29
2023-12-24,31
2023-12-25,13
2023-12-26,13
2023-12-27,15
2023-12-28,31
2023-12-29,24
2023-12-30,29
2023-12-31,31
2024-01-01,33
2024-01-02,16
2024-01-03,28
2024-01-04,20
2024-01-05,36
2024-01-06,29
2024-01-07,31
2024-01-08,16
2024-01-09,22
2024-01-10,22
2024-01-11,21
2024-01-12,24
2024-01-13,25
2024-01-14,34
2024-01-15,23
2024-01-16,20
2024-01-17,24
2024-01-18,18
2024-01-19,27
2024-01-20,27
