Time,google drive
2023-12-22,43
2023-12-23,29
2023-12-24,26
2023-12-25,27
2023-12-26,34
2023-12-27,40
2023-12-28,43
2023-12-29,38
2023-12-30,30
2023-12-31,30
2024-01-01,31
2024-01-02,49
2024-01-03,61
2024-01-04,56
2024-01-05,62
2024-01-06,37
2024-01-07,38
2024-01-08,75
2024-01-09,74
2024-01-10,81
2024-01-11,80
2024-01-12,71
2024-01-13,37
2024-01-14,35
2024-01-15,46
2024-01-16,72
2024-01-17,83
2024-01-18,91
2024-01-19,69
2024-01-20,44
2024-01-21,45
2024-01-22,83
2024-01-23,81
2024-01-24,90
2024-01-25,84
2024-01-26,78
2024-01-27,42
2024-01-28,44
2024-01-29,86
2024-01-30,99
2024-01-31,98
2024-02-01,95
2024-02-02,83
2024-02-03,48
2024-02-04,47
2024-02-05,94
2024-02-06,98
2024-02-07,96
2024-02-08,97
2024-02-09,88
2024-02-10,48
2024-02-11,45
2024-02-12,90
2024-02-13,100
2024-02-14,92
2024-02-15,95
2024-02-16,80
2024-02-17,44
2024-02-18,47
2024-02-19,59
2024-02-20,95
2024-02-21,93
2024-02-22,92
2024-02-23,79
2024-02-24,46
2024-02-25,46
2024-02-26,96
2024-02-27,92
2024-02-28,90
2024-02-29,91
2024-03-01,81
2024-03-02,48
2024-03-03,45
2024-03-04,89
2024-03-05,85
2024-03-06,80
2024-03-07,85
2024-03-08,74
2024-03-09,40
2024-03-10,41
2024-03-11,73
2024-03-12,76
2024-03-13,73
2024-03-14,73
2024-03-15,61
2024-03-16,39
2024-03-17,42
2024-03-18,81
2024-03-19,84
2024-03-20,77
2024-03-21,78
2024-03-22,64
2024-03-23,39
2024-03-24,42
2024-03-25,71
2024-03-26,72
2024-03-27,69
2024-03-28,69
2024-03-29,51
2024-03-30,37
2024-03-31,36
2024-04-01,63
2024-04-02,75
2024-04-03,73
2024-04-04,70
2024-04-05,63
2024-04-06,39
2024-04-07,43
2024-04-08,71
2024-04-09,81
2024-04-10,76
2024-04-11,80
2024-04-12,68
2024-04-13,42
2024-04-14,44
2024-04-15,88
2024-04-16,88
2024-04-17,85
2024-04-18,85
2024-04-19,66
2024-04-20,39
2024-04-21,46
2024-04-22,86
2024-04-23,82
2024-04-24,79
2024-04-25,82
2024-04-26,69
2024-04-27,40
2024-04-28,43
2024-04-29,88
2024-04-30,82
2024-05-01,82
2024-05-02,74
2024-05-03,66
2024-05-04,38
2024-05-05,40
2024-05-06,73
2024-05-07,76
2024-05-08,71
2024-05-09,73
2024-05-10,60
2024-05-11,37
2024-05-12,37
2024-05-13,79
2024-05-14,80
2024-05-15,71
2024-05-16,70
2024-05-17,63
2024-05-18,38
2024-05-19,38
2024-05-20,79
2024-05-21,72
2024-05-22,67
2024-05-23,67
2024-05-24,56
2024-05-25,34
2024-05-26,34
2024-05-27,40
2024-05-28,63
2024-05-29,64
2024-05-30,62
2024-05-31,54
2024-06-01,36
2024-06-02,39
2024-06-03,59
2024-06-04,56
2024-06-05,60
2024-06-06,54
2024-06-07,48
2024-06-08,35
2024-06-09,36
2024-06-10,54
2024-06-11,54
2024-06-12,53
2024-06-13,50
2024-06-14,46
2024-06-15,31
2024-06-16,31
2024-06-17,49
2024-06-18,55
2024-06-19,44
2024-06-20,47
2024-06-21,53
2024-06-22,31
2024-06-23,33
2024-06-24,51
2024-06-25,50
2024-06-26,46
2024-06-27,50
2024-06-28,42
2024-06-29,31
2024-06-30,34
2024-07-01,51
2024-07-02,51
2024-07-03,46
2024-07-04,31
2024-07-05,36
2024-07-06,31
2024-07-07,32
2024-07-08,48
2024-07-09,48
2024-07-10,49
2024-07-11,46
2024-07-12,44
2024-07-13,30
2024-07-14,31
2024-07-15,51
2024-07-16,47
2024-07-17,48
2024-07-18,50
2024-07-19,45
2024-07-20,32
2024-07-21,32
2024-07-22,44
2024-07-23,48
2024-07-24,47
2024-07-25,48
2024-07-26,51
2024-07-27,32
2024-07-28,35
2024-07-29,50
2024-07-30,50
2024-07-31,49
2024-08-01,49
2024-08-02,48
2024-08-03,33
2024-08-04,33
2024-08-05,50
2024-08-06,49
2024-08-07,52
2024-08-08,49
2024-08-09,49
2024-08-10,33
2024-08-11,36
2024-08-12,53
2024-08-13,58
2024-08-14,60
2024-08-15,63
2024-08-16,55
2024-08-17,37
2024-08-18,38
2024-08-19,67
2024-08-20,80
2024-08-21,75
2024-08-22,74
2024-08-23,69
2024-08-24,39
2024-08-25,41
2024-08-26,84
2024-08-27,85
2024-08-28,88
2024-08-29,84
2024-08-30,66
2024-08-31,38
2024-09-01,37
2024-09-02,51
2024-09-03,85
2024-09-04,91
2024-09-05,91
2024-09-06,77
2024-09-07,40
2024-09-08,44
2024-09-09,92
2024-09-10,93
2024-09-11,84
2024-09-12,90
2024-09-13,86
2024-09-14,41
2024-09-15,40
2024-09-16,88
