Time,google drive
2023-04-26,100
2023-04-27,99
2023-04-28,84
2023-04-29,41
2023-04-30,45
2023-05-01,100
2023-05-02,98
2023-05-03,93
2023-05-04,93
2023-05-05,79
2023-05-06,40
2023-05-07,39
2023-05-08,94
2023-05-09,90
2023-05-10,92
2023-05-11,90
2023-05-12,80
2023-05-13,39
2023-05-14,39
2023-05-15,94
2023-05-16,93
2023-05-17,92
2023-05-18,90
2023-05-19,80
2023-05-20,39
2023-05-21,39
2023-05-22,84
2023-05-23,82
2023-05-24,80
2023-05-25,78
2023-05-26,63
2023-05-27,36
2023-05-28,34
2023-05-29,37
2023-05-30,76
2023-05-31,77
2023-06-01,73
2023-06-02,66
2023-06-03,38
2023-06-04,43
2023-06-05,71
2023-06-06,72
2023-06-07,73
2023-06-08,64
2023-06-09,53
2023-06-10,35
2023-06-11,38
2023-06-12,66
2023-06-13,62
2023-06-14,62
2023-06-15,56
2023-06-16,45
2023-06-17,33
2023-06-18,35
2023-06-19,46
2023-06-20,54
2023-06-21,55
2023-06-22,50
2023-06-23,46
2023-06-24,33
2023-06-25,35
2023-06-26,54
2023-06-27,53
2023-06-28,52
2023-06-29,50
2023-06-30,43
2023-07-01,37
2023-07-02,32
2023-07-03,42
2023-07-04,33
2023-07-05,49
2023-07-06,54
2023-07-07,47
2023-07-08,34
2023-07-09,33
2023-07-10,48
2023-07-11,48
2023-07-12,50
2023-07-13,46
2023-07-14,44
2023-07-15,36
2023-07-16,34
2023-07-17,53
2023-07-18,38
2023-07-19,42
2023-07-20,39
2023-07-21,38
2023-07-22,28
2023-07-23,30
2023-07-24,44
2023-07-25,42
2023-07-26,43
2023-07-27,38
2023-07-28,38
2023-07-29,29
2023-07-30,29
2023-07-31,41
2023-08-01,43
2023-08-02,43
2023-08-03,43
2023-08-04,41
2023-08-05,30
2023-08-06,30
2023-08-07,44
2023-08-08,44
2023-08-09,44
2023-08-10,49
2023-08-11,46
2023-08-12,29
2023-08-13,32
2023-08-14,57
2023-08-15,57
2023-08-16,59
2023-08-17,62
2023-08-18,57
2023-08-19,31
2023-08-20,35
2023-08-21,72
2023-08-22,72
2023-08-23,75
2023-08-24,76
2023-08-25,68
2023-08-26,31
2023-08-27,34
2023-08-28,82
2023-08-29,80
2023-08-30,81
2023-08-31,79
2023-09-01,67
2023-09-02,29
2023-09-03,30
2023-09-04,36
2023-09-05,86
2023-09-06,88
2023-09-07,83
2023-09-08,77
2023-09-09,34
2023-09-10,36
2023-09-11,89
2023-09-12,89
2023-09-13,89
2023-09-14,87
2023-09-15,78
2023-09-16,34
2023-09-17,35
2023-09-18,84
2023-09-19,86
2023-09-20,88
2023-09-21,89
2023-09-22,73
2023-09-23,33
2023-09-24,35
2023-09-25,73
2023-09-26,86
2023-09-27,86
2023-09-28,83
2023-09-29,74
2023-09-30,33
2023-10-01,36
2023-10-02,84
2023-10-03,78
2023-10-04,80
2023-10-05,78
2023-10-06,68
2023-10-07,34
2023-10-08,35
2023-10-09,67
2023-10-10,82
2023-10-11,78
2023-10-12,77
2023-10-13,66
2023-10-14,31
2023-10-15,37
2023-10-16,79
2023-10-17,81
2023-10-18,81
2023-10-19,77
2023-10-20,66
2023-10-21,31
2023-10-22,38
2023-10-23,81
2023-10-24,78
2023-10-25,77
2023-10-26,77
2023-10-27,66
2023-10-28,30
2023-10-29,33
2023-10-30,76
2023-10-31,76
2023-11-01,75
2023-11-02,79
2023-11-03,69
2023-11-04,33
2023-11-05,33
2023-11-06,75
2023-11-07,73
2023-11-08,80
2023-11-09,71
2023-11-10,52
2023-11-11,32
2023-11-12,35
2023-11-13,76
2023-11-14,80
2023-11-15,76
2023-11-16,81
2023-11-17,72
2023-11-18,32
2023-11-19,32
2023-11-20,56
2023-11-21,53
2023-11-22,37
2023-11-23,24
2023-11-24,27
2023-11-25,27
2023-11-26,33
2023-11-27,72
2023-11-28,79
2023-11-29,80
2023-11-30,78
2023-12-01,71
2023-12-02,35
2023-12-03,36
2023-12-04,80
2023-12-05,86
2023-12-06,81
2023-12-07,80
2023-12-08,82
2023-12-09,41
2023-12-10,43
2023-12-11,91
2023-12-12,90
2023-12-13,91
2023-12-14,68
2023-12-15,61
2023-12-16,32
2023-12-17,31
2023-12-18,55
2023-12-19,54
2023-12-20,51
2023-12-21,45
2023-12-22,35
2023-12-23,24
2023-12-24,21
2023-12-25,22
2023-12-26,28
2023-12-27,32
2023-12-28,35
2023-12-29,31
2023-12-30,24
2023-12-31,24
2024-01-01,25
2024-01-02,40
2024-01-03,50
2024-01-04,45
2024-01-05,50
2024-01-06,30
2024-01-07,31
2024-01-08,61
2024-01-09,60
2024-01-10,66
2024-01-11,65
2024-01-12,57
2024-01-13,30
2024-01-14,29
2024-01-15,37
2024-01-16,58
2024-01-17,67
2024-01-18,74
2024-01-19,56
2024-01-20,36
